"Pathway","KO","protein_id","gene","product","Description"
"map00020","K00174","WP_010902308.1","QSJ49_RS03330","2-oxoacid:acceptor oxidoreductase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00162","WP_205251147.1","QSJ49_RS10310","alpha-ketoacid dehydrogenase subunit beta","Citrate cycle (TCA cycle)"
"map00020","K00240","WP_010902948.1","QSJ49_RS06650","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","Citrate cycle (TCA cycle)"
"map00020","K01902","WP_010903125.1","QSJ49_RS07590","succinate--CoA ligase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00175","WP_010902307.1","QSJ49_RS03325","2-oxoacid:ferredoxin oxidoreductase subunit beta","Citrate cycle (TCA cycle)"
"map00020","K00174","WP_012289282.1","QSJ49_RS05915","2-oxoacid:acceptor oxidoreductase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00382","WP_205251148.1","QSJ49_RS10320","dihydrolipoyl dehydrogenase","Citrate cycle (TCA cycle)"
"map00020","K18118","WP_205251177.1","QSJ49_RS00090","acetyl-CoA hydrolase/transferase family protein","Citrate cycle (TCA cycle)"
"map00020","K01903","WP_012289349.1","QSJ49_RS07585","ADP-forming succinate--CoA ligase subunit beta","Citrate cycle (TCA cycle)"
"map00020","K01679","WP_205251853.1","QSJ49_RS06840","class II fumarate hydratase","Citrate cycle (TCA cycle)"
"map00020","K01659","WP_205251101.1","QSJ49_RS09815","citrate synthase","Citrate cycle (TCA cycle)"
"map00020","K00031","WP_010903372.1","QSJ49_RS08895","NADP-dependent isocitrate dehydrogenase","Citrate cycle (TCA cycle)"
"map00020","K00241","WP_012289306.1","QSJ49_RS06660","succinate dehydrogenase-2C cytochrome b556 subunit","Citrate cycle (TCA cycle)"
"map00030","K00874","WP_205251372.1","QSJ49_RS02150","bifunctional 2-dehydro-3-deoxygluconokinase/2-dehydro-3-deoxygalactonokinase","Pentose phosphate pathway"
"map00030","K03841","WP_205251605.1","QSJ49_RS04190","class 1 fructose-1-2C6-bisphosphatase","Pentose phosphate pathway"
"map00030","K19813","WP_338416897.1","QSJ49_RS05540","GMC family oxidoreductase","Pentose phosphate pathway"
"map00030","K16306","WP_010902183.1","QSJ49_RS02700","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Pentose phosphate pathway"
"map00030","K01810","WP_205251055.1","QSJ49_RS09370","glucose-6-phosphate isomerase","Pentose phosphate pathway"
"map00030","K15778","WP_205251141.1","QSJ49_RS10265","phosphoglucosamine mutase","Pentose phosphate pathway"
"map00030","K01619","WP_205250991.1","QSJ49_RS08840","deoxyribose-phosphate aldolase","Pentose phosphate pathway"
"map00030","K00948","WP_205251138.1","QSJ49_RS10250","ribose-phosphate pyrophosphokinase","Pentose phosphate pathway"
"map00030","K00033","WP_205251290.1","QSJ49_RS01200","NADP-dependent phosphogluconate dehydrogenase","Pentose phosphate pathway"
"map00030","K00852","WP_010903880.1","QSJ49_RS01055","carbohydrate kinase family protein","Pentose phosphate pathway"
"map00030","K22969","WP_010902286.1","QSJ49_RS03220","glucose 1-dehydrogenase","Pentose phosphate pathway"
"map00030","K26208","WP_010903356.1","QSJ49_RS08815","carbohydrate kinase family protein","Pentose phosphate pathway"
"map00030","K01807","WP_205251169.1","QSJ49_RS00010","ribose 5-phosphate isomerase A","Pentose phosphate pathway"
"map00030","K11645","WP_010902472.1","QSJ49_RS04185","class I fructose-bisphosphate aldolase","Pentose phosphate pathway"
"map00051","K01803","WP_010902734.1","QSJ49_RS05510","triose-phosphate isomerase","Fructose and mannose metabolism"
"map00051","K00971","WP_205251123.1","QSJ49_RS10065","sugar phosphate nucleotidyltransferase","Fructose and mannose metabolism"
"map00051","K11645","WP_010902472.1","QSJ49_RS04185","class I fructose-bisphosphate aldolase","Fructose and mannose metabolism"
"map00051","K15778","WP_205251141.1","QSJ49_RS10265","phosphoglucosamine mutase","Fructose and mannose metabolism"
"map00051","K03841","WP_205251605.1","QSJ49_RS04190","class 1 fructose-1-2C6-bisphosphatase","Fructose and mannose metabolism"
"map00051","K16306","WP_010902183.1","QSJ49_RS02700","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Fructose and mannose metabolism"
"map00052","K15778","WP_205251141.1","QSJ49_RS10265","phosphoglucosamine mutase","Galactose metabolism"
"map00052","K25026","WP_136361000.1","QSJ49_RS01520","ROK family protein","Galactose metabolism"
"map00052","K01784","WP_205251624.1","QSJ49_RS04450","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00053","K18981","WP_205251354.1","QSJ49_RS02000","NAD-dependent glucose-6-phosphate dehydrogenase Azf","Ascorbate and aldarate metabolism"
"map00053","K00128","WP_010903877.1","QSJ49_RS01040","aldehyde dehydrogenase family protein","Ascorbate and aldarate metabolism"
"map00053","K00012","WP_235158084.1","QSJ49_RS05585","UDP-glucose 6-dehydrogenase AglM","Ascorbate and aldarate metabolism"
"map00061","K00059","WP_136361001.1","QSJ49_RS01530","SDR family oxidoreductase","Fatty acid biosynthesis"
"map00061","K00059","WP_285271477.1","QSJ49_RS06780","SDR family NAD(P)-dependent oxidoreductase","Fatty acid biosynthesis"
"map00061","K01897","WP_205251840.1","QSJ49_RS06770","long-chain fatty acid--CoA ligase","Fatty acid biosynthesis"
"map00061","K00059","WP_205251122.1","QSJ49_RS10060","SDR family oxidoreductase","Fatty acid biosynthesis"
"map00061","K11263","WP_205250846.1","QSJ49_RS07545","acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha","Fatty acid biosynthesis"
"map00061","K01897","WP_205251084.1","QSJ49_RS09670","long-chain fatty acid--CoA ligase","Fatty acid biosynthesis"
"map00071","K01897","WP_205251084.1","QSJ49_RS09670","long-chain fatty acid--CoA ligase","Fatty acid degradation"
"map00071","K00248","WP_010903082.1","QSJ49_RS07355","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K01897","WP_205251840.1","QSJ49_RS06770","long-chain fatty acid--CoA ligase","Fatty acid degradation"
"map00071","K00626","WP_205251681.1","QSJ49_RS05135","thiolase family protein","Fatty acid degradation"
"map00071","K00248","WP_205251601.1","QSJ49_RS04165","acyl-CoA dehydrogenase","Fatty acid degradation"
"map00071","K00128","WP_010903877.1","QSJ49_RS01040","aldehyde dehydrogenase family protein","Fatty acid degradation"
"map00071","K00632","WP_205251081.1","QSJ49_RS09650","thiolase family protein","Fatty acid degradation"
"map00071","K00626","WP_205251599.1","QSJ49_RS04155","thiolase domain-containing protein","Fatty acid degradation"
"map00071","K00248","WP_205251630.1","QSJ49_RS04535","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K00252","WP_012289518.1","QSJ49_RS00955","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00100","K00801","WP_205251602.1","QSJ49_RS04170","phytoene/squalene synthase family protein","Steroid biosynthesis"
"map00130","K01911","WP_010902770.1","QSJ49_RS05710","class I adenylate-forming enzyme family protein","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K02552","WP_010902776.1","QSJ49_RS05740","isochorismate synthase MenF","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K02551","WP_235158065.1","QSJ49_RS05735","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K02548","WP_136361384.1","QSJ49_RS05720","1-2C4-dihydroxy-2-naphthoate polyprenyltransferase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K01661","WP_010902774.1","QSJ49_RS05730","1-2C4-dihydroxy-2-naphthoyl-CoA synthase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00190","K13378","WP_010902435.1","QSJ49_RS03995","NADH-quinone oxidoreductase subunit D","Oxidative phosphorylation"
"map00190","K02117","WP_010903579.1","QSJ49_RS09965","ATP synthase subunit A","Oxidative phosphorylation"
"map00190","K02275","WP_010902455.1","QSJ49_RS04100","cytochrome c oxidase subunit II","Oxidative phosphorylation"
"map00190","K02274","WP_010902450.1","QSJ49_RS04075","cytochrome c oxidase subunit I","Oxidative phosphorylation"
"map00190","K02276","WP_205251591.1","QSJ49_RS04090","heme-copper oxidase subunit III","Oxidative phosphorylation"
"map00190","K00239","WP_010902947.1","QSJ49_RS06645","FAD-binding protein","Oxidative phosphorylation"
"map00190","K02123","WP_205251114.1","QSJ49_RS09990","V-type ATP synthase subunit I","Oxidative phosphorylation"
"map00190","K02120","WP_010903575.1","QSJ49_RS09945","V-type ATP synthase subunit D","Oxidative phosphorylation"
"map00190","K03885","WP_205251667.1","QSJ49_RS04990","NAD(P)/FAD-dependent oxidoreductase","Oxidative phosphorylation"
"map00190","K02119","WP_205251113.1","QSJ49_RS09975","V-type ATP synthase subunit C","Oxidative phosphorylation"
"map00190","K00342","WP_205251586.1","QSJ49_RS04030","NuoM family protein","Oxidative phosphorylation"
"map00190","K02275","WP_049892532.1","QSJ49_RS10220","cytochrome c oxidase subunit II","Oxidative phosphorylation"
"map00190","K00425","WP_136361714.1","QSJ49_RS11225","cytochrome ubiquinol oxidase subunit I","Oxidative phosphorylation"
"map00190","K05578","WP_010902438.1","QSJ49_RS04010","NADH-quinone oxidoreductase subunit J","Oxidative phosphorylation"
"map00190","K02274","WP_010903627.1","QSJ49_RS10215","b(o/a)3-type cytochrome-c oxidase subunit 1","Oxidative phosphorylation"
"map00190","K00343","WP_205251587.1","QSJ49_RS04035","NADH-quinone oxidoreductase subunit N","Oxidative phosphorylation"
"map00190","K00341","WP_010902441.1","QSJ49_RS04025","NADH-quinone oxidoreductase subunit L","Oxidative phosphorylation"
"map00190","K01507","WP_010902148.1","QSJ49_RS02520","inorganic diphosphatase","Oxidative phosphorylation"
"map00190","K02257","WP_010902456.1","QSJ49_RS04105","heme o synthase","Oxidative phosphorylation"
"map00190","K00242","WP_010902949.1","QSJ49_RS06655","succinate dehydrogenase hydrophobic membrane anchor subunit","Oxidative phosphorylation"
"map00190","K00240","WP_010902948.1","QSJ49_RS06650","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","Oxidative phosphorylation"
"map00190","K00340","WP_010902440.1","QSJ49_RS04020","NADH-quinone oxidoreductase subunit NuoK","Oxidative phosphorylation"
"map00190","K00426","WP_136361715.1","QSJ49_RS11220","cytochrome d ubiquinol oxidase subunit II","Oxidative phosphorylation"
"map00190","K00404","WP_227970929.1","QSJ49_RS05385","hypothetical protein","Oxidative phosphorylation"
"map00190","K00241","WP_012289306.1","QSJ49_RS06660","succinate dehydrogenase-2C cytochrome b556 subunit","Oxidative phosphorylation"
"map00190","K02118","WP_205251112.1","QSJ49_RS09960","ATP synthase subunit B","Oxidative phosphorylation"
"map00190","K02122","WP_010903580.1","QSJ49_RS09970","V-type ATP synthase subunit F","Oxidative phosphorylation"
"map00190","K05574","WP_010902433.1","QSJ49_RS03985","NADH-quinone oxidoreductase subunit A","Oxidative phosphorylation"
"map00190","K02121","WP_010903582.1","QSJ49_RS09980","V-type ATP synthase subunit E","Oxidative phosphorylation"
"map00190","K00337","WP_012289200.1","QSJ49_RS04000","NADH-quinone oxidoreductase subunit H","Oxidative phosphorylation"
"map00220","K00926","WP_205250656.1","QSJ49_RS11625","carbamate kinase","Arginine biosynthesis"
"map00220","K01915","WP_205251098.1","QSJ49_RS09770","type I glutamate--ammonia ligase","Arginine biosynthesis"
"map00220","K01940","WP_205251259.1","QSJ49_RS00705","argininosuccinate synthase","Arginine biosynthesis"
"map00220","K00261","WP_205251375.1","QSJ49_RS02170","glutamate dehydrogenase GdhB","Arginine biosynthesis"
"map00220","K01755","WP_205251258.1","QSJ49_RS00700","argininosuccinate lyase","Arginine biosynthesis"
"map00220","K00812","WP_205251525.1","QSJ49_RS03440","aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme","Arginine biosynthesis"
"map00220","K00812","WP_205251582.1","QSJ49_RS03960","pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis"
"map00220","K00261","WP_205251581.1","QSJ49_RS03955","NADP-specific glutamate dehydrogenase GdhA1","Arginine biosynthesis"
"map00220","K00611","WP_010904159.1","QSJ49_RS11630","ornithine carbamoyltransferase","Arginine biosynthesis"
"map00220","K23265","WP_010903428.1","QSJ49_RS09180","phosphoribosylformylglycinamidine synthase I","Arginine biosynthesis"
"map00220","K01956","WP_010903326.1","QSJ49_RS08665","glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","Arginine biosynthesis"
"map00220","K00261","WP_010902870.1","QSJ49_RS06235","glutamate dehydrogenase GdhA2","Arginine biosynthesis"
"map00220","K01955","WP_205250967.1","QSJ49_RS08660","carbamoyl-phosphate synthase large subunit","Arginine biosynthesis"
"map00220","K01478","WP_205250657.1","QSJ49_RS11620","arginine deiminase family protein","Arginine biosynthesis"
"map00230","K15778","WP_205251141.1","QSJ49_RS10265","phosphoglucosamine mutase","Purine metabolism"
"map00230","K01519","WP_010903503.1","QSJ49_RS09580","RdgB/HAM1 family non-canonical purine NTP pyrophosphatase","Purine metabolism"
"map00230","K11176","WP_010903769.1","QSJ49_RS00450","IMP cyclohydrolase","Purine metabolism"
"map00230","K01951","WP_205251271.1","QSJ49_RS00960","type 1 glutamine amidotransferase","Purine metabolism"
"map00230","K00764","WP_205250827.1","QSJ49_RS07400","amidophosphoribosyltransferase","Purine metabolism"
"map00230","K19710","WP_205250993.1","QSJ49_RS08855","HIT domain-containing protein","Purine metabolism"
"map00230","K01515","WP_136360977.1","QSJ49_RS01310","NUDIX hydrolase","Purine metabolism"
"map00230","K00525","WP_205250898.1","QSJ49_RS07980","adenosylcobalamin-dependent ribonucleoside-diphosphate reductase","Purine metabolism"
"map00230","K00088","WP_012289261.1","QSJ49_RS05400","IMP dehydrogenase","Purine metabolism"
"map00230","K23269","WP_285253815.1","QSJ49_RS04880","phosphoribosylformylglycinamidine synthase subunit PurL","Purine metabolism"
"map00230","K01939","WP_235158062.1","QSJ49_RS05770","adenylosuccinate synthase","Purine metabolism"
"map00230","K05873","WP_010902939.1","QSJ49_RS06605","class IV adenylate cyclase","Purine metabolism"
"map00230","K01933","WP_205251660.1","QSJ49_RS04930","phosphoribosylformylglycinamidine cyclo-ligase","Purine metabolism"
"map00230","K00602","WP_205251483.1","QSJ49_RS03090","formyltransferase family protein","Purine metabolism"
"map00230","K01588","WP_010902432.1","QSJ49_RS03980","5-(carboxyamino)imidazole ribonucleotide mutase","Purine metabolism"
"map00230","K03787","WP_338416919.1","QSJ49_RS06400","5'/3'-nucleotidase SurE","Purine metabolism"
"map00230","K00759","WP_010902373.1","QSJ49_RS03675","hypoxanthine/guanine phosphoribosyltransferase","Purine metabolism"
"map00230","K18532","WP_010902737.1","QSJ49_RS05525","adenylate kinase family protein","Purine metabolism"
"map00230","K00526","WP_235218898.1","QSJ49_RS00500","ribonucleotide-diphosphate reductase subunit beta","Purine metabolism"
"map00230","K00926","WP_205250656.1","QSJ49_RS11625","carbamate kinase","Purine metabolism"
"map00230","K00088","WP_338416913.1","QSJ49_RS06345","guanosine monophosphate reductase","Purine metabolism"
"map00230","K00940","WP_010902835.1","QSJ49_RS06055","nucleoside-diphosphate kinase","Purine metabolism"
"map00230","K01515","WP_205251035.1","QSJ49_RS09245","NUDIX hydrolase","Purine metabolism"
"map00230","K01951","WP_010902125.1","QSJ49_RS02400","GMP synthase subunit A","Purine metabolism"
"map00230","K23265","WP_010903428.1","QSJ49_RS09180","phosphoribosylformylglycinamidine synthase I","Purine metabolism"
"map00230","K01951","WP_010903336.1","QSJ49_RS08715","glutamine-hydrolyzing GMP synthase","Purine metabolism"
"map00230","K00525","WP_235218899.1","QSJ49_RS00505","ribonucleoside-diphosphate reductase subunit alpha","Purine metabolism"
"map00230","K00939","WP_010903261.1","QSJ49_RS08305","adenylate kinase","Purine metabolism"
"map00230","K01756","WP_338416983.1","QSJ49_RS03095","adenylosuccinate lyase","Purine metabolism"
"map00230","K00948","WP_205251138.1","QSJ49_RS10250","ribose-phosphate pyrophosphokinase","Purine metabolism"
"map00230","K01945","WP_285255027.1","QSJ49_RS06640","phosphoribosylamine--glycine ligase","Purine metabolism"
"map00230","K01923","WP_205251022.1","QSJ49_RS09150","phosphoribosylaminoimidazolesuccinocarboxamide synthase","Purine metabolism"
"map00240","K00857","WP_010903105.1","QSJ49_RS07480","thymidine kinase","Pyrimidine metabolism"
"map00240","K00610","WP_229373338.1","QSJ49_RS11645","aspartate carbamoyltransferase regulatory subunit","Pyrimidine metabolism"
"map00240","K00757","WP_205250986.1","QSJ49_RS08810","nucleoside phosphorylase","Pyrimidine metabolism"
"map00240","K00526","WP_235218898.1","QSJ49_RS00500","ribonucleotide-diphosphate reductase subunit beta","Pyrimidine metabolism"
"map00240","K00525","WP_235218899.1","QSJ49_RS00505","ribonucleoside-diphosphate reductase subunit alpha","Pyrimidine metabolism"
"map00240","K01955","WP_205250967.1","QSJ49_RS08660","carbamoyl-phosphate synthase large subunit","Pyrimidine metabolism"
"map00240","K01956","WP_010903326.1","QSJ49_RS08665","glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","Pyrimidine metabolism"
"map00240","K00525","WP_205250898.1","QSJ49_RS07980","adenosylcobalamin-dependent ribonucleoside-diphosphate reductase","Pyrimidine metabolism"
"map00240","K00762","WP_205251104.1","QSJ49_RS09875","orotate phosphoribosyltransferase","Pyrimidine metabolism"
"map00240","K00945","WP_010903263.1","QSJ49_RS08315","(d)CMP kinase","Pyrimidine metabolism"
"map00240","K03465","WP_205251832.1","QSJ49_RS06725","FAD-dependent thymidylate synthase","Pyrimidine metabolism"
"map00240","K01465","WP_010903894.1","QSJ49_RS01125","dihydroorotase","Pyrimidine metabolism"
"map00240","K00757","WP_010902630.1","QSJ49_RS05005","nucleoside phosphorylase","Pyrimidine metabolism"
"map00240","K00609","WP_012289640.1","QSJ49_RS11650","aspartate carbamoyltransferase","Pyrimidine metabolism"
"map00240","K01591","WP_205250911.1","QSJ49_RS08090","orotidine-5'-phosphate decarboxylase","Pyrimidine metabolism"
"map00240","K09903","WP_010903483.1","QSJ49_RS09470","UMP kinase","Pyrimidine metabolism"
"map00240","K01489","WP_010902631.1","QSJ49_RS05010","cytidine deaminase","Pyrimidine metabolism"
"map00240","K01494","WP_010902137.1","QSJ49_RS02465","dCTP deaminase","Pyrimidine metabolism"
"map00240","K03787","WP_338416919.1","QSJ49_RS06400","5'/3'-nucleotidase SurE","Pyrimidine metabolism"
"map00240","K00943","WP_010903416.1","QSJ49_RS09115","dTMP kinase","Pyrimidine metabolism"
"map00240","K01520","WP_010903920.1","QSJ49_RS01275","deoxyuridine 5'-triphosphate nucleotidohydrolase","Pyrimidine metabolism"
"map00240","K00761","WP_010903718.1","QSJ49_RS00155","uracil phosphoribosyltransferase","Pyrimidine metabolism"
"map00240","K01937","WP_205250974.1","QSJ49_RS08720","CTP synthase","Pyrimidine metabolism"
"map00240","K00940","WP_010902835.1","QSJ49_RS06055","nucleoside-diphosphate kinase","Pyrimidine metabolism"
"map00240","K00254","WP_010903871.1","QSJ49_RS00980","quinone-dependent dihydroorotate dehydrogenase","Pyrimidine metabolism"
"map00240","K00876","WP_136361433.1","QSJ49_RS06300","uridine kinase","Pyrimidine metabolism"
"map00250","K00610","WP_229373338.1","QSJ49_RS11645","aspartate carbamoyltransferase regulatory subunit","Alanine, aspartate and glutamate metabolism"
"map00250","K00812","WP_205251525.1","QSJ49_RS03440","aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme","Alanine, aspartate and glutamate metabolism"
"map00250","K01956","WP_010903326.1","QSJ49_RS08665","glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","Alanine, aspartate and glutamate metabolism"
"map00250","K01953","WP_338416985.1","QSJ49_RS04890","asparagine synthetase B","Alanine, aspartate and glutamate metabolism"
"map00250","K13051","WP_010903371.1","QSJ49_RS08890","isoaspartyl peptidase/L-asparaginase","Alanine, aspartate and glutamate metabolism"
"map00250","K01915","WP_205251098.1","QSJ49_RS09770","type I glutamate--ammonia ligase","Alanine, aspartate and glutamate metabolism"
"map00250","K00278","WP_205250999.1","QSJ49_RS08930","FAD-dependent oxidoreductase","Alanine, aspartate and glutamate metabolism"
"map00250","K01755","WP_205251258.1","QSJ49_RS00700","argininosuccinate lyase","Alanine, aspartate and glutamate metabolism"
"map00250","K01955","WP_205250967.1","QSJ49_RS08660","carbamoyl-phosphate synthase large subunit","Alanine, aspartate and glutamate metabolism"
"map00250","K00261","WP_205251581.1","QSJ49_RS03955","NADP-specific glutamate dehydrogenase GdhA1","Alanine, aspartate and glutamate metabolism"
"map00250","K00764","WP_205250827.1","QSJ49_RS07400","amidophosphoribosyltransferase","Alanine, aspartate and glutamate metabolism"
"map00250","K23265","WP_010903428.1","QSJ49_RS09180","phosphoribosylformylglycinamidine synthase I","Alanine, aspartate and glutamate metabolism"
"map00250","K01939","WP_235158062.1","QSJ49_RS05770","adenylosuccinate synthase","Alanine, aspartate and glutamate metabolism"
"map00250","K00261","WP_010902870.1","QSJ49_RS06235","glutamate dehydrogenase GdhA2","Alanine, aspartate and glutamate metabolism"
"map00250","K00135","WP_010902663.1","QSJ49_RS05165","aldehyde dehydrogenase family protein","Alanine, aspartate and glutamate metabolism"
"map00250","K00261","WP_205251375.1","QSJ49_RS02170","glutamate dehydrogenase GdhB","Alanine, aspartate and glutamate metabolism"
"map00250","K01940","WP_205251259.1","QSJ49_RS00705","argininosuccinate synthase","Alanine, aspartate and glutamate metabolism"
"map00250","K00820","WP_205251324.1","QSJ49_RS01745","glutamine--fructose-6-phosphate transaminase (isomerizing)","Alanine, aspartate and glutamate metabolism"
"map00250","K01756","WP_338416983.1","QSJ49_RS03095","adenylosuccinate lyase","Alanine, aspartate and glutamate metabolism"
"map00250","K00812","WP_205251582.1","QSJ49_RS03960","pyridoxal phosphate-dependent aminotransferase","Alanine, aspartate and glutamate metabolism"
"map00250","K00609","WP_012289640.1","QSJ49_RS11650","aspartate carbamoyltransferase","Alanine, aspartate and glutamate metabolism"
"map00250","K19244","WP_205251151.1","QSJ49_RS10335","ornithine cyclodeaminase family protein","Alanine, aspartate and glutamate metabolism"
"map00250","K00823","WP_010903110.1","QSJ49_RS07515","aspartate aminotransferase family protein","Alanine, aspartate and glutamate metabolism"
"map00260","K01758","WP_010902556.1","QSJ49_RS04615","PLP-dependent aspartate aminotransferase family protein","Glycine, serine and threonine metabolism"
"map00260","K00605","WP_205250875.1","QSJ49_RS07820","glycine cleavage system aminomethyltransferase GcvT","Glycine, serine and threonine metabolism"
"map00260","K01695","WP_205251434.1","QSJ49_RS02695","tryptophan synthase subunit alpha","Glycine, serine and threonine metabolism"
"map00260","K00283","WP_235262944.1","QSJ49_RS07805","aminomethyl-transferring glycine dehydrogenase subunit GcvPB","Glycine, serine and threonine metabolism"
"map00260","K00058","WP_235157063.1","QSJ49_RS00665","phosphoglycerate dehydrogenase","Glycine, serine and threonine metabolism"
"map00260","K00382","WP_205251148.1","QSJ49_RS10320","dihydrolipoyl dehydrogenase","Glycine, serine and threonine metabolism"
"map00260","K13745","WP_235158158.1","QSJ49_RS11965","aspartate aminotransferase family protein","Glycine, serine and threonine metabolism"
"map00260","K00836","WP_235158157.1","QSJ49_RS11970","diaminobutyrate--2-oxoglutarate transaminase family protein","Glycine, serine and threonine metabolism"
"map00260","K00282","WP_338416949.1","QSJ49_RS07810","aminomethyl-transferring glycine dehydrogenase subunit GcvPA","Glycine, serine and threonine metabolism"
"map00260","K01620","WP_205251261.1","QSJ49_RS00750","low specificity L-threonine aldolase","Glycine, serine and threonine metabolism"
"map00260","K02437","WP_010903167.1","QSJ49_RS07815","glycine cleavage system protein GcvH","Glycine, serine and threonine metabolism"
"map00260","K01733","WP_205251541.1","QSJ49_RS03600","threonine synthase","Glycine, serine and threonine metabolism"
"map00260","K00928","WP_010903772.1","QSJ49_RS00465","aspartate kinase","Glycine, serine and threonine metabolism"
