locus_tag,protein_id,product
QSJ49_RS00385,WP_235218851.1,ABC transporter substrate-binding protein
QSJ49_RS00390,WP_010903760.1,ABC transporter permease
QSJ49_RS00395,WP_235218850.1,ABC transporter permease
QSJ49_RS00400,WP_338416968.1,ABC transporter ATP-binding protein
QSJ49_RS00405,WP_235218849.1,oligopeptide/dipeptide ABC transporter ATP-binding protein
QSJ49_RS00410,WP_235218848.1,Sjogren's syndrome/scleroderma autoantigen 1 family protein
QSJ49_RS00415,WP_010903765.1,malate dehydrogenase
QSJ49_RS00420,NA,IS5/IS1182 family transposase
QSJ49_RS00425,WP_338416969.1,hypothetical protein
QSJ49_RS00430,WP_010903766.1,ferredoxin
QSJ49_RS00435,WP_338416970.1,ATP-dependent DNA helicase
QSJ49_RS00440,WP_010903768.1,KEOPS complex subunit Cgi121
QSJ49_RS00450,WP_010903769.1,IMP cyclohydrolase
QSJ49_RS00455,WP_338416971.1,metallophosphoesterase family protein
QSJ49_RS00460,WP_136361648.1,tryptophanase
QSJ49_RS00465,WP_010903772.1,aspartate kinase
QSJ49_RS00470,WP_285253226.1,hypothetical protein
QSJ49_RS00475,WP_010903774.1,ABC transporter permease
QSJ49_RS00480,WP_235157108.1,ABC transporter ATP-binding protein
QSJ49_RS00485,WP_338416972.1,hypothetical protein
QSJ49_RS00490,WP_010903777.1,DUF5518 domain-containing protein
QSJ49_RS00495,WP_338416973.1,excinuclease ABC subunit C
QSJ49_RS00500,WP_235218898.1,ribonucleotide-diphosphate reductase subunit beta
QSJ49_RS00505,WP_235218899.1,ribonucleoside-diphosphate reductase subunit alpha
QSJ49_RS00510,WP_235218900.1,hypothetical protein
QSJ49_RS00515,WP_012289494.1,universal stress protein
QSJ49_RS00520,WP_235157095.1,sulfite exporter TauE/SafE family protein
QSJ49_RS00525,WP_010903784.1,excinuclease ABC subunit UvrB
QSJ49_RS00530,WP_010903785.1,hypothetical protein
QSJ49_RS00535,WP_235157092.1,sulfurtransferase
QSJ49_RS00540,WP_235157091.1,sulfurtransferase
QSJ49_RS00545,WP_235218902.1,thiamine ABC transporter substrate binding subunit
QSJ49_RS00550,WP_338416974.1,iron ABC transporter permease
QSJ49_RS00555,WP_235218950.1,ABC transporter ATP-binding protein
QSJ49_RS00560,WP_136361659.1,class I SAM-dependent methyltransferase
QSJ49_RS00565,WP_010903792.1,DUF2391 family protein
QSJ49_RS00570,WP_012289498.1,hypothetical protein
QSJ49_RS00575,WP_235157080.1,hypothetical protein
QSJ49_RS00580,WP_136361662.1,MATE family efflux transporter
QSJ49_RS00585,WP_235157077.1,Zn-ribbon domain-containing protein
QSJ49_RS00590,WP_012289500.1,DUF2073 domain-containing protein
QSJ49_RS00595,WP_012289501.1,Era-like GTP-binding protein
QSJ49_RS00600,WP_235157074.1,DNA replication protein Orc7
QSJ49_RS00605,WP_010903801.1,hypothetical protein
QSJ49_RS00610,WP_010903802.1,DoxX family protein
QSJ49_RS00615,WP_338416975.1,helix-turn-helix domain-containing protein
QSJ49_RS00620,WP_010903804.1,hypothetical protein
QSJ49_RS00625,WP_235157072.1,S26 family signal peptidase
QSJ49_RS00630,WP_235157071.1,DNA-directed DNA polymerase II small subunit
QSJ49_RS00635,WP_235157070.1,alanine--glyoxylate aminotransferase family protein
QSJ49_RS00640,WP_235157069.1,MFS transporter
QSJ49_RS00645,WP_205251250.1,homoserine O-acetyltransferase
QSJ49_RS00650,WP_235157068.1,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein
QSJ49_RS00655,WP_235157067.1,FAD-binding and (Fe-S)-binding domain-containing protein
QSJ49_RS00660,WP_235157065.1,phosphoserine phosphatase SerB
QSJ49_RS00665,WP_235157063.1,phosphoglycerate dehydrogenase
QSJ49_RS00670,WP_205251254.1,acyl-CoA thioesterase
QSJ49_RS00675,WP_205251255.1,MFS transporter
QSJ49_RS00680,WP_338416976.1,threonine synthase
QSJ49_RS00685,WP_136360916.1,hypothetical protein
QSJ49_RS00690,WP_010903818.1,YbjQ family protein
QSJ49_RS00695,WP_205251257.1,hypothetical protein
QSJ49_RS00700,WP_205251258.1,argininosuccinate lyase
QSJ49_RS00705,WP_205251259.1,argininosuccinate synthase
QSJ49_RS00710,WP_205251260.1,hypothetical protein
QSJ49_RS00715,WP_136360920.1,2'-5' RNA ligase family protein
QSJ49_RS00720,WP_205251917.1,ATP-dependent DNA helicase
QSJ49_RS00725,WP_010903825.1,hypothetical protein
QSJ49_RS00730,WP_010903826.1,DNA starvation/stationary phase protection protein DpsA
QSJ49_RS00735,WP_012289508.1,metallophosphoesterase
QSJ49_RS00740,WP_010903828.1,helix-turn-helix domain-containing protein
QSJ49_RS00745,WP_260173106.1,hypothetical protein
QSJ49_RS00750,WP_205251261.1,low specificity L-threonine aldolase
QSJ49_RS00755,WP_010903831.1,aminopeptidase
QSJ49_RS00760,WP_157849923.1,hypothetical protein
QSJ49_RS00770,WP_205251262.1,AAA family ATPase
QSJ49_RS00775,WP_010903834.1,RNA-binding domain-containing protein
QSJ49_RS00780,WP_227970892.1,hypothetical protein
QSJ49_RS00785,WP_010903836.1,magnesium transporter
QSJ49_RS00790,WP_010903837.1,magnesium transporter
QSJ49_RS00795,WP_010903838.1,signal recognition particle protein Srp54
QSJ49_RS00800,WP_010903839.1,hypothetical protein
QSJ49_RS00805,WP_205251263.1,signal recognition particle-docking protein FtsY
QSJ49_RS00810,WP_205251264.1,prefoldin subunit alpha
QSJ49_RS00815,WP_010903842.1,translation initiation factor IF-6
QSJ49_RS00820,WP_010903843.1,50S ribosomal protein L31e
QSJ49_RS00825,WP_010903844.1,50S ribosomal protein L39e
QSJ49_RS00830,WP_010903845.1,tetratricopeptide repeat protein
QSJ49_RS00835,WP_010903846.1,DUF424 family protein
QSJ49_RS00840,WP_010903847.1,cysteine desulfurase
QSJ49_RS00845,WP_010903848.1,iron-sulfur cluster assembly scaffold protein
QSJ49_RS00850,WP_012289511.1,DNA repair and recombination protein RadA
QSJ49_RS00855,WP_010903850.1,60S ribosomal export protein NMD3
QSJ49_RS00860,WP_205251265.1,class I SAM-dependent methyltransferase family protein
QSJ49_RS00865,WP_049892570.1,hypothetical protein
QSJ49_RS00870,WP_157849924.1,hypothetical protein
QSJ49_RS00875,WP_205251266.1,ATP-dependent DNA helicase
QSJ49_RS00880,WP_136360931.1,hypothetical protein
QSJ49_RS00885,WP_205251267.1,phosphate uptake regulator PhoU
QSJ49_RS00890,WP_205251268.1,phosphate ABC transporter ATP-binding protein PstB
QSJ49_RS00895,WP_010903856.1,phosphate ABC transporter permease PstA
QSJ49_RS00900,WP_010903857.1,phosphate ABC transporter permease subunit PstC
QSJ49_RS00905,WP_205251269.1,substrate-binding domain-containing protein
QSJ49_RS00910,WP_010903859.1,NAD(P)H-binding protein
QSJ49_RS00915,WP_010903860.1,hypothetical protein
QSJ49_RS00920,WP_012289514.1,DUF5786 family protein
QSJ49_RS00925,WP_070807660.1,hypothetical protein
QSJ49_RS00930,WP_010903861.1,PHP domain-containing protein
QSJ49_RS00935,WP_012289516.1,DUF6757 family protein
QSJ49_RS00940,WP_010903863.1,ferredoxin family protein
QSJ49_RS00945,WP_012289517.1,cupin domain-containing protein
QSJ49_RS00950,WP_205251270.1,DCC1-like thiol-disulfide oxidoreductase family protein
QSJ49_RS00955,WP_012289518.1,acyl-CoA dehydrogenase family protein
QSJ49_RS00960,WP_205251271.1,type 1 glutamine amidotransferase
QSJ49_RS00965,WP_010903868.1,HD domain-containing protein
QSJ49_RS00970,WP_205251272.1,phenylalanine--tRNA ligase subunit alpha
QSJ49_RS00975,WP_010903870.1,phenylalanine--tRNA ligase subunit beta
QSJ49_RS00980,WP_010903871.1,quinone-dependent dihydroorotate dehydrogenase
QSJ49_RS00985,WP_010903872.1,non-histone chromosomal MC1 family protein
QSJ49_RS01015,WP_205251273.1,hypothetical protein
QSJ49_RS01020,WP_010903874.1,hypothetical protein
QSJ49_RS01030,WP_267875139.1,hypothetical protein
QSJ49_RS01035,WP_205251274.1,MBL fold metallo-hydrolase
QSJ49_RS01040,WP_010903877.1,aldehyde dehydrogenase family protein
QSJ49_RS01045,WP_205251275.1,30S ribosomal protein S6e
QSJ49_RS01050,WP_205251276.1,DUF5807 family protein
QSJ49_RS01055,WP_010903880.1,carbohydrate kinase family protein
QSJ49_RS01060,WP_205251277.1,BtpA/SgcQ family protein
QSJ49_RS01065,WP_010903882.1,hypothetical protein
QSJ49_RS01070,WP_012289521.1,universal stress protein
QSJ49_RS01075,WP_010903884.1,universal stress protein
QSJ49_RS01080,WP_010903885.1,GNAT family N-acetyltransferase
QSJ49_RS01085,WP_012289522.1,universal stress protein
QSJ49_RS01090,WP_010903887.1,DUF5806 family protein
QSJ49_RS01095,WP_205251278.1,hypothetical protein
QSJ49_RS01100,WP_205251279.1,ABC transporter ATP-binding protein
QSJ49_RS01105,WP_205251280.1,ABC transporter substrate-binding protein
QSJ49_RS01110,WP_205251281.1,ABC transporter permease
QSJ49_RS01115,WP_205251282.1,ABC transporter permease
QSJ49_RS01120,WP_205251283.1,hypothetical protein
QSJ49_RS01125,WP_010903894.1,dihydroorotase
QSJ49_RS01130,WP_205251284.1,biotin/lipoate A/B protein ligase family protein
QSJ49_RS01135,WP_205251285.1,hypothetical protein
QSJ49_RS01140,WP_010903897.1,phosphate-starvation-inducible PsiE family protein
QSJ49_RS01145,WP_205251286.1,isochorismatase family cysteine hydrolase
QSJ49_RS01150,WP_205251287.1,Hvo_1808 family surface protein
QSJ49_RS01155,WP_205251288.1,nicotinate phosphoribosyltransferase
QSJ49_RS01160,WP_010903901.1,TIGR00296 family protein
QSJ49_RS01170,WP_136360961.1,aminopeptidase
QSJ49_RS01175,WP_010903904.1,valine--tRNA ligase
QSJ49_RS01180,WP_136360963.1,ABC transporter substrate-binding protein
QSJ49_RS01185,WP_205251289.1,iron ABC transporter permease
QSJ49_RS01190,WP_010903907.1,ABC transporter ATP-binding protein
QSJ49_RS01195,WP_267875140.1,hypothetical protein
QSJ49_RS01200,WP_205251290.1,NADP-dependent phosphogluconate dehydrogenase
QSJ49_RS01205,WP_010903909.1,DJ-1/PfpI family protein
QSJ49_RS01210,WP_136360966.1,2Fe-2S iron-sulfur cluster-binding protein
QSJ49_RS01220,WP_205251291.1,hypothetical protein
QSJ49_RS01225,WP_010903912.1,ABC transporter ATP-binding protein
QSJ49_RS01230,WP_205251292.1,iron ABC transporter permease
QSJ49_RS01235,WP_205251293.1,ABC transporter substrate-binding protein
QSJ49_RS01240,WP_010903915.1,hypothetical protein
QSJ49_RS01245,WP_010903916.1,TrkH family potassium uptake protein
QSJ49_RS01250,WP_267875141.1,hypothetical protein
QSJ49_RS01255,WP_229373380.1,hypothetical protein
QSJ49_RS01265,WP_205251294.1,flagellin
QSJ49_RS01270,WP_010903919.1,hypothetical protein
QSJ49_RS01275,WP_010903920.1,deoxyuridine 5'-triphosphate nucleotidohydrolase
QSJ49_RS01280,WP_010903921.1,S8 family peptidase
QSJ49_RS01285,WP_010903922.1,aconitate hydratase
QSJ49_RS01290,WP_012289526.1,ribosomal protein S18-alanine N-acetyltransferase
QSJ49_RS01295,WP_205251295.1,DUF5810 domain-containing protein
QSJ49_RS01300,WP_010903925.1,DUF5809 family protein
QSJ49_RS01305,WP_205251296.1,metal-dependent transcriptional regulator
QSJ49_RS01310,WP_136360977.1,NUDIX hydrolase
QSJ49_RS01315,WP_010903928.1,heavy-metal-associated domain-containing protein
QSJ49_RS01320,WP_010903929.1,rhodanese-like domain-containing protein
QSJ49_RS01325,WP_010903930.1,stress response translation initiation inhibitor YciH
QSJ49_RS01330,WP_010903931.1,hypothetical protein
QSJ49_RS01335,WP_010903932.1,coenzyme F420-0:L-glutamate ligase
QSJ49_RS01340,WP_010903933.1,GTP-binding protein EngB
QSJ49_RS01345,WP_010903934.1,SIMPL domain-containing protein
QSJ49_RS01350,WP_012289527.1,TIGR00341 family protein
QSJ49_RS01355,WP_010903936.1,hypothetical protein
QSJ49_RS01360,WP_010903937.1,GTPase
QSJ49_RS01365,WP_010903938.1,DUF5518 domain-containing protein
QSJ49_RS01370,WP_010903939.1,phosphoribosyl-ATP diphosphatase
QSJ49_RS01375,WP_010903940.1,bifunctional nuclease family protein
QSJ49_RS01380,WP_010903941.1,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
QSJ49_RS01385,WP_010903942.1,preprotein translocase subunit Sec61beta
QSJ49_RS01390,WP_010903943.1,thioredoxin
QSJ49_RS01395,WP_010903944.1,SLC13 family permease
QSJ49_RS01400,WP_010903945.1,hypothetical protein
QSJ49_RS01405,WP_010903946.1,sulfide-dependent adenosine diphosphate thiazole synthase
QSJ49_RS01410,WP_205251297.1,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
QSJ49_RS01415,WP_010903948.1,NADPH-dependent F420 reductase
QSJ49_RS01420,WP_010903949.1,TIGR01548 family HAD-type hydrolase
QSJ49_RS01425,WP_010903950.1,UPF0146 family protein
QSJ49_RS01430,WP_010903951.1,archaemetzincin family Zn-dependent metalloprotease
QSJ49_RS01435,WP_010903952.1,GTPase HflX
QSJ49_RS01440,WP_010903953.1,ribosome biogenesis/translation initiation ATPase RLI
QSJ49_RS01445,WP_010903954.1,hypothetical protein
QSJ49_RS01450,WP_010903955.1,helix-turn-helix domain-containing protein
QSJ49_RS01455,WP_010903956.1,PINc/VapC family ATPase
QSJ49_RS01460,WP_205251298.1,carboxypeptidase M32
QSJ49_RS01465,WP_205251299.1,hypothetical protein
QSJ49_RS01470,WP_205251300.1,GNAT family protein
QSJ49_RS01475,WP_205251301.1,zinc-dependent alcohol dehydrogenase family protein
QSJ49_RS01480,WP_012289528.1,HVO_0416 family zinc finger protein
QSJ49_RS01485,WP_010903960.1,ATP-dependent helicase
QSJ49_RS01490,WP_205251302.1,M24 family metallopeptidase
QSJ49_RS01495,WP_049892579.1,hypothetical protein
QSJ49_RS01500,WP_168731194.1,riboflavin synthase
QSJ49_RS01505,WP_168731176.1,PrsW family intramembrane metalloprotease
QSJ49_RS01510,WP_205251303.1,ribonuclease E/G
QSJ49_RS01515,WP_010903966.1,NifU family protein
QSJ49_RS01520,WP_136361000.1,ROK family protein
QSJ49_RS01525,WP_010903968.1,AIM24 family protein
QSJ49_RS01530,WP_136361001.1,SDR family oxidoreductase
QSJ49_RS01535,WP_010903970.1,hypothetical protein
QSJ49_RS01540,WP_136361002.1,hypothetical protein
QSJ49_RS01545,WP_205251304.1,excinuclease ABC subunit UvrA
QSJ49_RS01550,WP_205251305.1,hypothetical protein
QSJ49_RS01555,WP_205251306.1,geranylgeranyl reductase family protein
QSJ49_RS01560,WP_205251307.1,UDP-N-acetylglucosamine 2-epimerase
QSJ49_RS01565,WP_205251308.1,aminomethyltransferase family protein
QSJ49_RS01570,WP_010903977.1,DUF6432 family protein
QSJ49_RS01575,WP_205251309.1,hypothetical protein
QSJ49_RS01580,WP_010903979.1,DUF5611 family protein
QSJ49_RS01585,WP_010903980.1,cell division protein SepF
QSJ49_RS01590,WP_205251310.1,DUF1028 domain-containing protein
QSJ49_RS01595,WP_010903982.1,RNA-binding protein
QSJ49_RS01600,WP_010903983.1,hypothetical protein
QSJ49_RS01605,WP_010903984.1,ribonuclease R family protein
QSJ49_RS01615,WP_010903985.1,30S ribosomal protein S10
QSJ49_RS01620,WP_010903986.1,translation elongation factor EF-1 subunit alpha
QSJ49_RS01625,WP_205251311.1,homoserine dehydrogenase
QSJ49_RS01630,WP_205251312.1,ACT domain-containing protein
QSJ49_RS01635,WP_010903990.1,elongation factor EF-2
QSJ49_RS01640,WP_205251313.1,DUF5781 family protein
QSJ49_RS01645,WP_010903992.1,30S ribosomal protein S7
QSJ49_RS01650,WP_010903993.1,30S ribosomal protein S12
QSJ49_RS01655,WP_010903994.1,NusA-like transcription termination signal-binding factor
QSJ49_RS01660,WP_136361011.1,DNA-directed RNA polymerase subunit A''
QSJ49_RS01665,WP_205251314.1,DNA-directed RNA polymerase subunit A'
QSJ49_RS01670,WP_136361012.1,DNA-directed RNA polymerase subunit B
QSJ49_RS01675,WP_010903998.1,DNA-directed RNA polymerase subunit B''
QSJ49_RS01680,WP_010903999.1,DNA-directed RNA polymerase subunit H
QSJ49_RS01690,WP_205251315.1,archaeosortase A
QSJ49_RS01695,WP_205251316.1,hypothetical protein
QSJ49_RS01700,WP_205251317.1,hypothetical protein
QSJ49_RS01705,WP_205251318.1,TetR/AcrR family transcriptional regulator
QSJ49_RS01710,WP_205251319.1,BGTF surface domain-containing protein
QSJ49_RS01715,WP_229373382.1,hypothetical protein
QSJ49_RS01720,WP_338416977.1,HVO_2072 family ArtA-dependent S-layer glycoprotein
QSJ49_RS01725,WP_338416978.1,COG1361 S-layer family protein
QSJ49_RS01730,WP_010901944.1,ABC transporter ATP-binding protein
QSJ49_RS01735,WP_229373383.1,ABC transporter permease
QSJ49_RS01740,WP_205251323.1,STT3 domain-containing protein
QSJ49_RS01745,WP_205251324.1,glutamine--fructose-6-phosphate transaminase (isomerizing)
QSJ49_RS01750,WP_205251325.1,bifunctional sugar-1-phosphate nucleotidylyltransferase/acetyltransferase
QSJ49_RS01755,WP_205251326.1,bifunctional sugar-1-phosphate nucleotidylyltransferase/acetyltransferase
QSJ49_RS01760,NA,sugar transferase
QSJ49_RS01765,WP_205251328.1,hypothetical protein
QSJ49_RS01770,WP_205251329.1,flippase
QSJ49_RS01775,WP_205251330.1,hypothetical protein
QSJ49_RS01780,WP_205251331.1,FkbM family methyltransferase
QSJ49_RS01785,WP_205251332.1,glycosyltransferase family 4 protein
QSJ49_RS01790,WP_205251333.1,sulfatase-like hydrolase/transferase
QSJ49_RS01795,WP_338416979.1,sulfatase-like hydrolase/transferase
QSJ49_RS01800,WP_338416980.1,sulfatase-like hydrolase/transferase
QSJ49_RS01805,WP_338416981.1,O-antigen ligase family protein
QSJ49_RS01810,WP_205251336.1,hypothetical protein
QSJ49_RS01815,WP_205251337.1,glycosyltransferase family 4 protein
QSJ49_RS01820,WP_205251338.1,glycosyltransferase
QSJ49_RS01825,WP_205251339.1,SDR family oxidoreductase
QSJ49_RS01830,WP_338416982.1,DUF4330 family protein
QSJ49_RS01835,WP_136361056.1,hypothetical protein
QSJ49_RS01840,WP_136361057.1,VanZ family protein
QSJ49_RS01845,WP_205251340.1,molybdopterin synthase
QSJ49_RS01850,WP_010902012.1,molybdopterin-synthase adenylyltransferase MoeB
QSJ49_RS01855,WP_205251341.1,GTP 3'%2C8-cyclase MoaA
QSJ49_RS01860,WP_136361060.1,molybdopterin biosynthesis protein
QSJ49_RS01865,WP_205251342.1,gephyrin-like molybdotransferase Glp
QSJ49_RS01870,WP_205251343.1,protein-L-isoaspartate O-methyltransferase
QSJ49_RS01875,WP_136361063.1,hypothetical protein
QSJ49_RS01880,WP_010902018.1,HVO_0476 family zinc finger protein
QSJ49_RS01885,WP_205251344.1,aminopeptidase
QSJ49_RS01890,WP_205251345.1,type II glyceraldehyde-3-phosphate dehydrogenase
QSJ49_RS01895,WP_010902021.1,Hsp20/alpha crystallin family protein
QSJ49_RS01900,WP_010902022.1,RimK family alpha-L-glutamate ligase
QSJ49_RS01905,WP_010902023.1,50S ribosomal protein L16
QSJ49_RS01910,WP_012289092.1,cold-shock protein
QSJ49_RS01915,WP_010902025.1,HAD family hydrolase
QSJ49_RS01920,WP_205251346.1,C-terminal binding protein
QSJ49_RS01925,WP_229373384.1,hypothetical protein
QSJ49_RS01930,WP_205251347.1,tyrosine-type recombinase/integrase
QSJ49_RS01935,WP_205251348.1,hypothetical protein
QSJ49_RS01940,WP_268825823.1,hypothetical protein
QSJ49_RS01945,WP_205251349.1,hypothetical protein
QSJ49_RS01955,NA,type IV pilin N-terminal domain-containing protein
QSJ49_RS01960,WP_205251350.1,helix-turn-helix domain-containing protein
QSJ49_RS01965,WP_010902034.1,SDR family oxidoreductase
QSJ49_RS01975,WP_205251351.1,DUF192 domain-containing protein
QSJ49_RS01980,WP_205251352.1,ABC transporter ATP-binding protein
QSJ49_RS01985,WP_136361072.1,creatininase family protein
QSJ49_RS01990,WP_136361073.1,DUF5790 family protein
QSJ49_RS01995,WP_205251353.1,dihydroneopterin aldolase family protein
QSJ49_RS02000,WP_205251354.1,NAD-dependent glucose-6-phosphate dehydrogenase Azf
QSJ49_RS02005,WP_205251355.1,hypothetical protein
QSJ49_RS02010,WP_012289100.1,M48 family metalloprotease
QSJ49_RS02015,WP_229373386.1,hypothetical protein
QSJ49_RS02020,WP_205251356.1,hypothetical protein
QSJ49_RS02025,WP_205251357.1,hypothetical protein
QSJ49_RS02035,WP_205251358.1,single-stranded DNA binding protein
QSJ49_RS02040,WP_205251359.1,histone family protein
QSJ49_RS02045,WP_010902051.1,histone deacetylase
QSJ49_RS02050,WP_205251360.1,CCA tRNA nucleotidyltransferase
QSJ49_RS02065,WP_205251361.1,hypothetical protein
QSJ49_RS02070,WP_205251362.1,ABC transporter ATP-binding protein
QSJ49_RS02075,WP_205251363.1,hypothetical protein
QSJ49_RS02080,WP_229373387.1,hypothetical protein
QSJ49_RS02085,WP_205251364.1,helix-turn-helix domain-containing protein
QSJ49_RS02090,WP_205251365.1,DUF302 domain-containing protein
QSJ49_RS02095,WP_010902060.1,hypothetical protein
QSJ49_RS02100,WP_012289104.1,CopG family ribbon-helix-helix protein
QSJ49_RS02105,WP_205251366.1,hypothetical protein
QSJ49_RS02110,WP_205251367.1,cation-translocating P-type ATPase
QSJ49_RS02115,WP_205251368.1,cytochrome c biogenesis protein CcdA
QSJ49_RS02120,WP_205251369.1,TlpA disulfide reductase family protein
QSJ49_RS02125,WP_010902066.1,SCO family protein
QSJ49_RS02130,WP_010902067.1,rod shape-determining protein
QSJ49_RS02135,WP_205251370.1,NAD(P)/FAD-dependent oxidoreductase
QSJ49_RS02140,WP_010902069.1,helix-turn-helix domain-containing protein
QSJ49_RS02145,WP_205251371.1,MFS transporter
QSJ49_RS02150,WP_205251372.1,bifunctional 2-dehydro-3-deoxygluconokinase/2-dehydro-3-deoxygalactonokinase
QSJ49_RS02155,WP_205251373.1,DNA mismatch repair endonuclease MutL
QSJ49_RS02160,WP_205251374.1,bacterio-opsin activator domain-containing protein
QSJ49_RS02165,WP_012289109.1,rubrerythrin-like domain-containing protein
QSJ49_RS02170,WP_205251375.1,glutamate dehydrogenase GdhB
QSJ49_RS02175,WP_205251376.1,AMP-binding protein
QSJ49_RS02180,WP_205251377.1,DNA mismatch repair protein MutS
QSJ49_RS02185,WP_205251378.1,AIR synthase-related protein
QSJ49_RS02190,WP_205251379.1,archaeal proteasome endopeptidase complex subunit alpha
QSJ49_RS02195,WP_205251380.1,thioredoxin family protein
