"strain_id","#query","eggNOG_OGs","KEGG_ko","KEGG_Pathway","EC","COG_category","Description"
"hm","WP_170093148.1","COG0174@1|root,arCOG01909@2157|Archaea,2XSYS@28890|Euryarchaeota,23SVV@183963|Halobacteria","ko:K01915","ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727","6.3.1.2","E","glutamine synthetase"
"hm","WP_170093996.1","COG3256@1|root,arCOG04703@2157|Archaea,2XU3H@28890|Euryarchaeota,23S8S@183963|Halobacteria","ko:K04561","ko00910,ko01120,map00910,map01120","1.7.2.5","P","COG3256 Nitric oxide reductase large subunit"
"hm","WP_372479826.1","COG2132@1|root,arCOG03914@2157|Archaea,2XUYI@28890|Euryarchaeota,23T0H@183963|Halobacteria","ko:K00368","ko00910,ko01120,map00910,map01120","1.7.2.1","Q","Nitrite reductase"
"hm","WP_372480445.1","COG0067@1|root,arCOG04553@2157|Archaea,2XTX9@28890|Euryarchaeota,23S7Q@183963|Halobacteria","ko:K00265","ko00250,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00910,map01100,map01110,map01120,map01130,map01230","1.4.1.13,1.4.1.14","E","COG0067 Glutamate synthase domain 1"
"hm","WP_372480460.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23TBD@183963|Halobacteria","ko:K00261,ko:K00262","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3,1.4.1.4","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
"hm","WP_372480900.1","COG0174@1|root,arCOG01909@2157|Archaea,2XUWT@28890|Euryarchaeota,23UAJ@183963|Halobacteria","ko:K01915","ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727","6.3.1.2","E","Glutamine synthetase N-terminal domain"
"ha","WP_008309650.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23S08@183963|Halobacteria","ko:K00261","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
"ha","WP_014039093.1","COG0174@1|root,arCOG01909@2157|Archaea,2XSYS@28890|Euryarchaeota,23SVV@183963|Halobacteria","ko:K01915","ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727","6.3.1.2","E","glutamine synthetase"
"ha","WP_014039257.1","COG0155@1|root,arCOG02055@2157|Archaea,2XT6K@28890|Euryarchaeota,23SAD@183963|Halobacteria","ko:K00366","ko00910,ko01120,map00910,map01120","1.7.7.1","P","COG0155 Sulfite reductase, beta subunit (hemoprotein)"
"ha","WP_014041394.1","COG3256@1|root,arCOG04703@2157|Archaea,2XU3H@28890|Euryarchaeota,23S8S@183963|Halobacteria","ko:K04561","ko00910,ko01120,map00910,map01120","1.7.2.5","P","COG3256 Nitric oxide reductase large subunit"
"ha","WP_050038380.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23TBD@183963|Halobacteria","ko:K00261","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
"ha","WP_064287083.1","COG2132@1|root,arCOG03914@2157|Archaea,2XUYI@28890|Euryarchaeota,23T0H@183963|Halobacteria","ko:K00368","ko00910,ko01120,map00910,map01120","1.7.2.1","Q","Nitrite reductase"
"ha","WP_064287192.1","COG1140@1|root,arCOG01501@2157|Archaea,2XVCI@28890|Euryarchaeota,23S7Y@183963|Halobacteria","ko:K00371","ko00910,ko01120,ko02020,map00910,map01120,map02020","1.7.5.1","C","COG1140 Nitrate reductase beta subunit"
"ha","WP_064288571.1","COG0155@1|root,arCOG02055@2157|Archaea,2XT6K@28890|Euryarchaeota,23SAD@183963|Halobacteria","ko:K00366","ko00910,ko01120,map00910,map01120","1.7.7.1","P","COG0155 Sulfite reductase, beta subunit (hemoprotein)"
"ha","WP_129755008.1","COG4263@1|root,arCOG06217@2157|Archaea,2XUQC@28890|Euryarchaeota,23SRY@183963|Halobacteria","ko:K00376","ko00910,ko01120,map00910,map01120","1.7.2.4","C","COG4263 Nitrous oxide reductase"
"ha","WP_151103036.1","COG2070@1|root,arCOG00635@2157|Archaea,2XUN7@28890|Euryarchaeota,23UZ3@183963|Halobacteria","ko:K00459","ko00910,map00910","1.13.12.16","S","COG2070 Dioxygenases related to 2-nitropropane dioxygenase"
"ha","WP_151104054.1","COG1153@1|root,COG5013@1|root,arCOG01497@2157|Archaea,arCOG02674@2157|Archaea,2XTNG@28890|Euryarchaeota,23TXI@183963|Halobacteria","ko:K00370","ko00910,ko01120,ko02020,map00910,map01120,map02020","1.7.5.1","C","Nitrate reductase alpha subunit"
"ha","WP_336331118.1","COG0174@1|root,arCOG01909@2157|Archaea,2XUWT@28890|Euryarchaeota,23UAJ@183963|Halobacteria","ko:K01915","ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727","6.3.1.2","E","Glutamine synthetase N-terminal domain"
"ha","WP_420182221.1","COG2223@1|root,arCOG00148@2157|Archaea,2XV70@28890|Euryarchaeota,23TJ5@183963|Halobacteria","ko:K02575","ko00910,map00910","-","G","COG2223 Nitrate nitrite transporter"
"ha","WP_420182222.1","COG0243@1|root,arCOG01491@2157|Archaea,2XT94@28890|Euryarchaeota,23T2I@183963|Halobacteria","ko:K00372,ko:K08356","ko00910,ko01120,map00910,map01120","1.20.2.1,1.20.9.1","C","COG0243 Anaerobic dehydrogenases, typically selenocysteine-containing"
"ha","WP_420182521.1","COG0067@1|root,arCOG04553@2157|Archaea,2XTX9@28890|Euryarchaeota,23S7Q@183963|Halobacteria","ko:K00265","ko00250,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00910,map01100,map01110,map01120,map01130,map01230","1.4.1.13,1.4.1.14","E","COG0067 Glutamate synthase domain 1"
"ha","WP_420182682.1","COG0288@1|root,arCOG02860@2157|Archaea,2XUWI@28890|Euryarchaeota,23UNB@183963|Halobacteria","ko:K01673","ko00910,map00910","4.2.1.1","P","carbonic anhydrase"
"ha","WP_420182689.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23TBD@183963|Halobacteria","ko:K00261,ko:K00262","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3,1.4.1.4","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
"ha","WP_420182935.1","COG0477@1|root,arCOG00130@2157|Archaea,2XVFV@28890|Euryarchaeota,23URY@183963|Halobacteria","ko:K02575","ko00910,map00910","-","G","Major facilitator superfamily"
"ha","WP_420183001.1","COG0334@1|root,arCOG01352@2157|Archaea,2XU0F@28890|Euryarchaeota,23S08@183963|Halobacteria","ko:K00261","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964","1.4.1.3","E","Belongs to the Glu Leu Phe Val dehydrogenases family"
