"KO","name","definition","category"
"K00240","succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]",NA,"Core"
"K00241","succinate dehydrogenase cytochrome b subunit",NA,"Core"
"K00248","butyryl-CoA dehydrogenase [EC:1.3.8.1]",NA,"Core"
"K00252","glutaryl-CoA dehydrogenase [EC:1.3.8.6]",NA,"Core"
"K00254","dihydroorotate dehydrogenase [EC:1.3.5.2]",NA,"Core"
"K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA,"Core"
"K00278","L-aspartate oxidase [EC:1.4.3.16]",NA,"Core"
"K00282","glycine cleavage system P protein (glycine dehydrogenase) subunit 1 [EC:1.4.4.2]",NA,"Core"
"K00283","glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]",NA,"Core"
"K00311","electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]",NA,"Core"
"K00318","proline dehydrogenase [EC:1.5.5.2]",NA,"Core"
"K00337","NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]",NA,"Core"
"K00340","NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]",NA,"Core"
"K00341","NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]",NA,"Core"
"K00342","NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]",NA,"Core"
"K00343","NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]",NA,"Core"
"K00382","dihydrolipoyl dehydrogenase [EC:1.8.1.4]",NA,"Core"
"K00384","thioredoxin reductase (NADPH) [EC:1.8.1.9]",NA,"Core"
"K00390","phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]",NA,"Core"
"K00425","cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]",NA,"Core"
"K00426","cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]",NA,"Core"
"K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",NA,"Core"
"K00549","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]",NA,"Core"
"K00555","tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]",NA,"Core"
"K00567","methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]",NA,"Core"
"K00573","protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]",NA,"Core"
"K00575","chemotaxis protein methyltransferase CheR [EC:2.1.1.80]",NA,"Core"
"K00600","glycine hydroxymethyltransferase [EC:2.1.2.1]",NA,"Core"
"K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]",NA,"Core"
"K00605","glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]",NA,"Core"
"K00606","3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]",NA,"Core"
"K00609","aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]",NA,"Core"
"K00610","aspartate carbamoyltransferase regulatory subunit",NA,"Core"
"K00611","ornithine carbamoyltransferase [EC:2.1.3.3]",NA,"Core"
"K00626","acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",NA,"Core"
"K00627","pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]",NA,"Core"
"K00632","acetyl-CoA acyltransferase [EC:2.3.1.16]",NA,"Core"
"K00640","serine O-acetyltransferase [EC:2.3.1.30]",NA,"Core"
"K00641","homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]",NA,"Core"
"K00757","uridine phosphorylase [EC:2.4.2.3]",NA,"Core"
"K00759","adenine phosphoribosyltransferase [EC:2.4.2.7]",NA,"Core"
"K00761","uracil phosphoribosyltransferase [EC:2.4.2.9]",NA,"Core"
"K00762","orotate phosphoribosyltransferase [EC:2.4.2.10]",NA,"Core"
"K00763","nicotinate phosphoribosyltransferase [EC:6.3.4.21]",NA,"Core"
"K00764","amidophosphoribosyltransferase [EC:2.4.2.14]",NA,"Core"
"K00765","ATP phosphoribosyltransferase [EC:2.4.2.17]",NA,"Core"
"K00766","anthranilate phosphoribosyltransferase [EC:2.4.2.18]",NA,"Core"
"K00767","nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]",NA,"Core"
"K00784","ribonuclease Z [EC:3.1.26.11]",NA,"Core"
"K00789","S-adenosylmethionine synthetase [EC:2.5.1.6]",NA,"Core"
"K00793","riboflavin synthase [EC:2.5.1.9]",NA,"Core"
"K00794","6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]",NA,"Core"
"K00796","dihydropteroate synthase [EC:2.5.1.15]",NA,"Core"
"K00798","cob(I)alamin adenosyltransferase [EC:2.5.1.17]",NA,"Core"
"K00800","3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]",NA,"Core"
"K00801","farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]",NA,"Core"
"K00806","undecaprenyl diphosphate synthase [EC:2.5.1.31]",NA,"Core"
"K00809","deoxyhypusine synthase [EC:2.5.1.46]",NA,"Core"
"K00812","aspartate aminotransferase [EC:2.6.1.1]",NA,"Core"
"K00817","histidinol-phosphate aminotransferase [EC:2.6.1.9]",NA,"Core"
"K00820","glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]",NA,"Core"
"K00823","4-aminobutyrate aminotransferase [EC:2.6.1.19]",NA,"Core"
"K00826","branched-chain amino acid aminotransferase [EC:2.6.1.42]",NA,"Core"
"K00836","diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]",NA,"Core"
"K00858","NAD+ kinase [EC:2.7.1.23]",NA,"Core"
"K00864","glycerol kinase [EC:2.7.1.30]",NA,"Core"
"K00869","mevalonate kinase [EC:2.7.1.36]",NA,"Core"
"K00872","homoserine kinase [EC:2.7.1.39]",NA,"Core"
"K00873","pyruvate kinase [EC:2.7.1.40]",NA,"Core"
"K00874","2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]",NA,"Core"
"K00891","shikimate kinase [EC:2.7.1.71]",NA,"Core"
"K00927","phosphoglycerate kinase [EC:2.7.2.3]",NA,"Core"
"K00928","aspartate kinase [EC:2.7.2.4]",NA,"Core"
"K00939","adenylate kinase [EC:2.7.4.3]",NA,"Core"
"K00940","nucleoside-diphosphate kinase [EC:2.7.4.6]",NA,"Core"
"K00941","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]",NA,"Core"
"K00943","dTMP kinase [EC:2.7.4.9]",NA,"Core"
"K00945","CMP/dCMP kinase [EC:2.7.4.25]",NA,"Core"
"K00946","thiamine-monophosphate kinase [EC:2.7.4.16]",NA,"Core"
"K00948","ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",NA,"Core"
"K00952","nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]",NA,"Core"
"K00973","glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]",NA,"Core"
"K01007","pyruvate, water dikinase [EC:2.7.9.2]",NA,"Core"
"K01011","thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]",NA,"Core"
"K01079","phosphoserine phosphatase [EC:3.1.3.3]",NA,"Core"
"K01091","phosphoglycolate phosphatase [EC:3.1.3.18]",NA,"Core"
"K01092","myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",NA,"Core"
"K01126","glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]",NA,"Core"
"K01151","deoxyribonuclease IV [EC:3.1.21.2]",NA,"Core"
"K01170","tRNA-intron endonuclease, archaea type [EC:4.6.1.16]",NA,"Core"
"K01247","DNA-3-methyladenine glycosylase II [EC:3.2.2.21]",NA,"Core"
"K01251","adenosylhomocysteinase [EC:3.13.2.1]",NA,"Core"
"K01265","methionyl aminopeptidase [EC:3.4.11.18]",NA,"Core"
"K01299","carboxypeptidase Taq [EC:3.4.17.19]",NA,"Core"
"K01433","formyltetrahydrofolate deformylase [EC:3.5.1.10]",NA,"Core"
"K01465","dihydroorotase [EC:3.5.2.3]",NA,"Core"
"K01470","creatinine amidohydrolase [EC:3.5.2.10]",NA,"Core"
"K01480","agmatinase [EC:3.5.3.11]",NA,"Core"
"K01489","cytidine deaminase [EC:3.5.4.5]",NA,"Core"
"K01491","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]",NA,"Core"
"K01494","dCTP deaminase [EC:3.5.4.13]",NA,"Core"
"K01496","phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]",NA,"Core"
"K01499","methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]",NA,"Core"
"K01507","inorganic pyrophosphatase [EC:3.6.1.1]",NA,"Core"
"K01515","ADP-ribose diphosphatase [EC:3.6.1.13 3.6.1.-]",NA,"Core"
"K01519","XTP/dITP diphosphohydrolase [EC:3.6.1.66]",NA,"Core"
"K01520","dUTP diphosphatase [EC:3.6.1.23]",NA,"Core"
"K01523","phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]",NA,"Core"
"K01534","Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]",NA,"Core"
"K01551","arsenite/tail-anchored protein-transporting ATPase [EC:7.3.2.7 7.3.-.-]",NA,"Core"
"K01588","5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]",NA,"Core"
"K01591","orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]",NA,"Core"
"K01595","phosphoenolpyruvate carboxylase [EC:4.1.1.31]",NA,"Core"
"K01609","indole-3-glycerol phosphate synthase [EC:4.1.1.48]",NA,"Core"
"K01619","deoxyribose-phosphate aldolase [EC:4.1.2.4]",NA,"Core"
"K01641","hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]",NA,"Core"
"K01644","citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]",NA,"Core"
"K01657","anthranilate synthase component I [EC:4.1.3.27]",NA,"Core"
"K01658","anthranilate synthase component II [EC:4.1.3.27]",NA,"Core"
"K01659","2-methylcitrate synthase [EC:2.3.3.5]",NA,"Core"
"K01661","naphthoate synthase [EC:4.1.3.36]",NA,"Core"
"K01669","deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]",NA,"Core"
"K01673","carbonic anhydrase [EC:4.2.1.1]",NA,"Core"
"K01679","fumarate hydratase, class II [EC:4.2.1.2]",NA,"Core"
"K01689","enolase 1/2/3 [EC:4.2.1.11]",NA,"Core"
"K01693","imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]",NA,"Core"
"K01695","tryptophan synthase alpha chain [EC:4.2.1.20]",NA,"Core"
"K01696","tryptophan synthase beta chain [EC:4.2.1.20]",NA,"Core"
"K01698","porphobilinogen synthase [EC:4.2.1.24]",NA,"Core"
"K01714","4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]",NA,"Core"
"K01719","uroporphyrinogen-III synthase [EC:4.2.1.75]",NA,"Core"
"K01724","4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]",NA,"Core"
"K01733","threonine synthase [EC:4.2.3.1]",NA,"Core"
"K01736","chorismate synthase [EC:4.2.3.5]",NA,"Core"
"K01737","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]",NA,"Core"
"K01738","cysteine synthase [EC:2.5.1.47]",NA,"Core"
"K01740","O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]",NA,"Core"
"K01749","hydroxymethylbilane synthase [EC:2.5.1.61]",NA,"Core"
"K01754","threonine dehydratase [EC:4.3.1.19]",NA,"Core"
"K01755","argininosuccinate lyase [EC:4.3.2.1]",NA,"Core"
"K01756","adenylosuccinate lyase [EC:4.3.2.2]",NA,"Core"
"K01759","lactoylglutathione lyase [EC:4.4.1.5]",NA,"Core"
"K01784","UDP-glucose 4-epimerase [EC:5.1.3.2]",NA,"Core"
"K01803","triosephosphate isomerase (TIM) [EC:5.3.1.1]",NA,"Core"
"K01807","ribose 5-phosphate isomerase A [EC:5.3.1.6]",NA,"Core"
"K01810","glucose-6-phosphate isomerase [EC:5.3.1.9]",NA,"Core"
"K01814","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]",NA,"Core"
"K01817","phosphoribosylanthranilate isomerase [EC:5.3.1.24]",NA,"Core"
"K01823","isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]",NA,"Core"
"K01845","glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",NA,"Core"
"K01846","methylaspartate mutase sigma subunit [EC:5.4.99.1]",NA,"Core"
"K01848","methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]",NA,"Core"
"K01849","methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]",NA,"Core"
"K01866","tyrosyl-tRNA synthetase [EC:6.1.1.1]",NA,"Core"
"K01867","tryptophanyl-tRNA synthetase [EC:6.1.1.2]",NA,"Core"
"K01868","threonyl-tRNA synthetase [EC:6.1.1.3]",NA,"Core"
"K01869","leucyl-tRNA synthetase [EC:6.1.1.4]",NA,"Core"
"K01870","isoleucyl-tRNA synthetase [EC:6.1.1.5]",NA,"Core"
"K01872","alanyl-tRNA synthetase [EC:6.1.1.7]",NA,"Core"
"K01873","valyl-tRNA synthetase [EC:6.1.1.9]",NA,"Core"
"K01874","methionyl-tRNA synthetase [EC:6.1.1.10]",NA,"Core"
"K01875","seryl-tRNA synthetase [EC:6.1.1.11]",NA,"Core"
"K01880","glycyl-tRNA synthetase [EC:6.1.1.14]",NA,"Core"
"K01881","prolyl-tRNA synthetase [EC:6.1.1.15]",NA,"Core"
"K01883","cysteinyl-tRNA synthetase [EC:6.1.1.16]",NA,"Core"
"K01885","glutamyl-tRNA synthetase [EC:6.1.1.17]",NA,"Core"
"K01887","arginyl-tRNA synthetase [EC:6.1.1.19]",NA,"Core"
"K01889","phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]",NA,"Core"
"K01890","phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]",NA,"Core"
"K01892","histidyl-tRNA synthetase [EC:6.1.1.21]",NA,"Core"
"K01895","acetyl-CoA synthetase [EC:6.2.1.1]",NA,"Core"
"K01897","long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]",NA,"Core"
"K01902","succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]",NA,"Core"
"K01903","succinyl-CoA synthetase beta subunit [EC:6.2.1.5]",NA,"Core"
"K01911","o-succinylbenzoate---CoA ligase [EC:6.2.1.26]",NA,"Core"
"K01915","glutamine synthetase [EC:6.3.1.2]",NA,"Core"
"K01916","NAD+ synthase [EC:6.3.1.5]",NA,"Core"
"K01923","phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]",NA,"Core"
"K01933","phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]",NA,"Core"
"K01934","5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]",NA,"Core"
"K01937","CTP synthase [EC:6.3.4.2]",NA,"Core"
"K01939","adenylosuccinate synthase [EC:6.3.4.4]",NA,"Core"
"K01940","argininosuccinate synthase [EC:6.3.4.5]",NA,"Core"
"K01945","phosphoribosylamine---glycine ligase [EC:6.3.4.13]",NA,"Core"
"K01951","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",NA,"Core"
"K01953","asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]",NA,"Core"
"K01955","carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]",NA,"Core"
"K01956","carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]",NA,"Core"
"K01990","ABC-2 type transport system ATP-binding protein",NA,"Core"
"K01992","ABC-2 type transport system permease protein",NA,"Core"
"K01998","branched-chain amino acid transport system permease protein",NA,"Core"
"K02003","putative ABC transport system ATP-binding protein",NA,"Core"
"K02004","putative ABC transport system permease protein",NA,"Core"
"K02006","cobalt/nickel transport system ATP-binding protein",NA,"Core"
"K02007","cobalt/nickel transport system permease protein",NA,"Core"
"K02010","iron(III) transport system ATP-binding protein [EC:7.2.2.7]",NA,"Core"
"K02011","iron(III) transport system permease protein",NA,"Core"
"K02012","iron(III) transport system substrate-binding protein",NA,"Core"
"K02015","iron complex transport system permease protein",NA,"Core"
"K02016","iron complex transport system substrate-binding protein",NA,"Core"
"K02031","peptide/nickel transport system ATP-binding protein",NA,"Core"
"K02032","peptide/nickel transport system ATP-binding protein",NA,"Core"
"K02033","peptide/nickel transport system permease protein",NA,"Core"
"K02034","peptide/nickel transport system permease protein",NA,"Core"
"K02035","peptide/nickel transport system substrate-binding protein",NA,"Core"
"K02036","phosphate transport system ATP-binding protein [EC:7.3.2.1]",NA,"Core"
"K02037","phosphate transport system permease protein",NA,"Core"
"K02038","phosphate transport system permease protein",NA,"Core"
"K02039","phosphate transport system protein",NA,"Core"
"K02040","phosphate transport system substrate-binding protein",NA,"Core"
"K02063","thiamine transport system permease protein",NA,"Core"
"K02064","thiamine transport system substrate-binding protein",NA,"Core"
"K02117","V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]",NA,"Core"
"K02118","V/A-type H+/Na+-transporting ATPase subunit B",NA,"Core"
"K02119","V/A-type H+/Na+-transporting ATPase subunit C",NA,"Core"
"K02120","V/A-type H+/Na+-transporting ATPase subunit D",NA,"Core"
"K02122","V/A-type H+/Na+-transporting ATPase subunit F",NA,"Core"
"K02123","V/A-type H+/Na+-transporting ATPase subunit I",NA,"Core"
"K02124","V/A-type H+/Na+-transporting ATPase subunit K",NA,"Core"
"K02189","cobalt-precorrin 5A hydrolase [EC:3.7.1.12]",NA,"Core"
"K02191","cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]",NA,"Core"
"K02201","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]",NA,"Core"
"K02224","cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",NA,"Core"
"K02227","adenosylcobinamide-phosphate synthase [EC:6.3.1.10]",NA,"Core"
"K02230","cobaltochelatase CobN [EC:6.6.1.2]",NA,"Core"
"K02232","adenosylcobyric acid synthase [EC:6.3.5.10]",NA,"Core"
"K02233","adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]",NA,"Core"
"K02257","heme o synthase [EC:2.5.1.141]",NA,"Core"
"K02274","cytochrome c oxidase subunit I [EC:7.1.1.9]",NA,"Core"
"K02275","cytochrome c oxidase subunit II [EC:7.1.1.9]",NA,"Core"
"K02276","cytochrome c oxidase subunit III [EC:7.1.1.9]",NA,"Core"
"K02291","15-cis-phytoene synthase [EC:2.5.1.32]",NA,"Core"
"K02303","uroporphyrin-III C-methyltransferase [EC:2.1.1.107]",NA,"Core"
"K02316","DNA primase [EC:2.7.7.101]",NA,"Core"
"K02322","DNA polymerase II large subunit [EC:2.7.7.7]",NA,"Core"
"K02323","DNA polymerase II small subunit [EC:2.7.7.7]",NA,"Core"
"K02346","DNA polymerase IV [EC:2.7.7.7]",NA,"Core"
"K02427","23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]",NA,"Core"
"K02433","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]",NA,"Core"
"K02434","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]",NA,"Core"
"K02437","glycine cleavage system H protein",NA,"Core"
"K02469","DNA gyrase subunit A [EC:5.6.2.2]",NA,"Core"
"K02470","DNA gyrase subunit B [EC:5.6.2.2]",NA,"Core"
"K02492","glutamyl-tRNA reductase [EC:1.2.1.70]",NA,"Core"
"K02493","release factor glutamine methyltransferase [EC:2.1.1.297]",NA,"Core"
"K02500","imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]",NA,"Core"
"K02501","imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]",NA,"Core"
"K02503","histidine triad (HIT) family protein [EC:3.9.1.-]",NA,"Core"
"K02528","16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]",NA,"Core"
"K02548","1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]",NA,"Core"
"K02551","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]",NA,"Core"
"K02552","menaquinone-specific isochorismate synthase [EC:5.4.4.2]",NA,"Core"
"K02600","transcription termination/antitermination protein NusA",NA,"Core"
"K02626","arginine decarboxylase [EC:4.1.1.19]",NA,"Core"
"K02635","cytochrome b6",NA,"Core"
"K02639","ferredoxin",NA,"Core"
"K02683","DNA primase small subunit [EC:2.7.7.102]",NA,"Core"
"K02858","3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]",NA,"Core"
"K02863","large subunit ribosomal protein L1",NA,"Core"
"K02864","large subunit ribosomal protein L10",NA,"Core"
"K02866","large subunit ribosomal protein L10e",NA,"Core"
"K02867","large subunit ribosomal protein L11",NA,"Core"
"K02869","large subunit ribosomal protein L12",NA,"Core"
"K02871","large subunit ribosomal protein L13",NA,"Core"
"K02874","large subunit ribosomal protein L14",NA,"Core"
"K02876","large subunit ribosomal protein L15",NA,"Core"
"K02877","large subunit ribosomal protein L15e",NA,"Core"
"K02881","large subunit ribosomal protein L18",NA,"Core"
"K02883","large subunit ribosomal protein L18e",NA,"Core"
"K02885","large subunit ribosomal protein L19e",NA,"Core"
"K02886","large subunit ribosomal protein L2",NA,"Core"
"K02890","large subunit ribosomal protein L22",NA,"Core"
"K02895","large subunit ribosomal protein L24",NA,"Core"
"K02896","large subunit ribosomal protein L24e",NA,"Core"
"K02904","large subunit ribosomal protein L29",NA,"Core"
"K02906","large subunit ribosomal protein L3",NA,"Core"
"K02907","large subunit ribosomal protein L30",NA,"Core"
"K02912","large subunit ribosomal protein L32e",NA,"Core"
"K02921","large subunit ribosomal protein L37Ae",NA,"Core"
"K02922","large subunit ribosomal protein L37e",NA,"Core"
"K02924","large subunit ribosomal protein L39e",NA,"Core"
"K02927","ubiquitin-large subunit ribosomal protein L40e",NA,"Core"
"K02929","large subunit ribosomal protein L44e",NA,"Core"
"K02930","large subunit ribosomal protein L4e",NA,"Core"
"K02931","large subunit ribosomal protein L5",NA,"Core"
"K02933","large subunit ribosomal protein L6",NA,"Core"
"K02936","large subunit ribosomal protein L7Ae",NA,"Core"
"K02946","small subunit ribosomal protein S10",NA,"Core"
"K02948","small subunit ribosomal protein S11",NA,"Core"
"K02950","small subunit ribosomal protein S12",NA,"Core"
"K02952","small subunit ribosomal protein S13",NA,"Core"
"K02961","small subunit ribosomal protein S17",NA,"Core"
"K02962","small subunit ribosomal protein S17e",NA,"Core"
"K02965","small subunit ribosomal protein S19",NA,"Core"
"K02966","small subunit ribosomal protein S19e",NA,"Core"
"K02967","small subunit ribosomal protein S2",NA,"Core"
"K02974","small subunit ribosomal protein S24e",NA,"Core"
"K02977","ubiquitin-small subunit ribosomal protein S27Ae",NA,"Core"
"K02978","small subunit ribosomal protein S27e",NA,"Core"
"K02979","small subunit ribosomal protein S28e",NA,"Core"
"K02982","small subunit ribosomal protein S3",NA,"Core"
"K02984","small subunit ribosomal protein S3Ae",NA,"Core"
"K02986","small subunit ribosomal protein S4",NA,"Core"
"K02987","small subunit ribosomal protein S4e",NA,"Core"
"K02988","small subunit ribosomal protein S5",NA,"Core"
"K02991","small subunit ribosomal protein S6e",NA,"Core"
"K02992","small subunit ribosomal protein S7",NA,"Core"
"K02994","small subunit ribosomal protein S8",NA,"Core"
"K02995","small subunit ribosomal protein S8e",NA,"Core"
"K02996","small subunit ribosomal protein S9",NA,"Core"
"K03041","DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]",NA,"Core"
"K03042","DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]",NA,"Core"
"K03044","DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]",NA,"Core"
"K03045","DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]",NA,"Core"
"K03047","DNA-directed RNA polymerase subunit D [EC:2.7.7.6]",NA,"Core"
"K03049","DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]",NA,"Core"
"K03057","transcription factor S",NA,"Core"
"K03059","DNA-directed RNA polymerase subunit P [EC:2.7.7.6]",NA,"Core"
"K03072","preprotein translocase subunit SecD",NA,"Core"
"K03074","preprotein translocase subunit SecF",NA,"Core"
"K03076","preprotein translocase subunit SecY",NA,"Core"
"K03106","signal recognition particle subunit SRP54 [EC:3.6.5.4]",NA,"Core"
"K03110","fused signal recognition particle receptor",NA,"Core"
"K03113","translation initiation factor 1",NA,"Core"
"K03118","sec-independent protein translocase protein TatC",NA,"Core"
"K03120","transcription initiation factor TFIID TATA-box-binding protein",NA,"Core"
"K03124","transcription initiation factor TFIIB",NA,"Core"
"K03136","transcription initiation factor TFIIE subunit alpha",NA,"Core"
"K03147","phosphomethylpyrimidine synthase [EC:4.1.99.17]",NA,"Core"
