"KO","name","definition"
"K03408","purine-binding chemotaxis protein CheW",NA
"K07331","archaeal flagellar protein FlaH",NA
"K09156","taxis protein CheF",NA
"K03410","chemotaxis protein CheC",NA
"K03413","two-component system, chemotaxis family, chemotaxis protein CheY",NA
"K28350","cell division protein B",NA
"K01803","triosephosphate isomerase (TIM) [EC:5.3.1.1]",NA
"K03627","putative transcription factor",NA
"K17884","archaetidylinositol phosphate synthase [EC:2.7.8.39]",NA
"K18532","adenylate kinase [EC:2.7.4.3]",NA
"K01911","o-succinylbenzoate---CoA ligase [EC:6.2.1.26]",NA
"K01661","naphthoate synthase [EC:4.1.3.36]",NA
"K02552","menaquinone-specific isochorismate synthase [EC:5.4.4.2]",NA
"K03795","sirohydrochlorin cobaltochelatase [EC:4.99.1.3]",NA
"K02869","large subunit ribosomal protein L12",NA
"K02864","large subunit ribosomal protein L10",NA
"K02863","large subunit ribosomal protein L1",NA
"K02867","large subunit ribosomal protein L11",NA
"K01759","lactoylglutathione lyase [EC:4.4.1.5]",NA
"K15429","tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]",NA
"K03718","Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA",NA
"K03593","ATP-binding protein involved in chromosome partitioning",NA
"K02952","small subunit ribosomal protein S13",NA
"K02986","small subunit ribosomal protein S4",NA
"K02948","small subunit ribosomal protein S11",NA
"K03047","DNA-directed RNA polymerase subunit D [EC:2.7.7.6]",NA
"K02883","large subunit ribosomal protein L18e",NA
"K02871","large subunit ribosomal protein L13",NA
"K02996","small subunit ribosomal protein S9",NA
"K03007","DNA-directed RNA polymerases I, II, and III subunit RPABC5",NA
"K01689","enolase 1/2/3 [EC:4.2.1.11]",NA
"K02967","small subunit ribosomal protein S2",NA
"K00869","mevalonate kinase [EC:2.7.1.36]",NA
"K12574","ribonuclease J [EC:3.1.-.-]",NA
"K13787","geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]",NA
"K02936","large subunit ribosomal protein L7Ae",NA
"K02979","small subunit ribosomal protein S28e",NA
"K02896","large subunit ribosomal protein L24e",NA
"K00940","nucleoside-diphosphate kinase [EC:2.7.4.6]",NA
"K02493","release factor glutamine methyltransferase [EC:2.1.1.297]",NA
"K07572","putative nucleotide binding protein",NA
"K03051","DNA-directed RNA polymerase subunit F [EC:2.7.7.6]",NA
"K02889","large subunit ribosomal protein L21e",NA
"K07580","Zn-ribbon RNA-binding protein",NA
"K04795","fibrillarin-like pre-rRNA processing protein",NA
"K07304","peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]",NA
"K22226","Fe-coproporphyrin III synthase",NA
"K04564","superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",NA
"K03564","thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]",NA
"K00261","glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",NA
"K01479","formiminoglutamase [EC:3.5.3.8]",NA
"K10725","archaeal cell division control protein 6",NA
"K09728","uncharacterized protein",NA
"K03238","translation initiation factor 2 subunit 2",NA
"K03660","N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]",NA
"K14574","ribosome maturation protein SDO1",NA
"K03537","ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]",NA
"K03498","trk/ktr system potassium uptake protein",NA
"K07581","RNA-binding protein",NA
"K03775","FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]",NA
"K05873","adenylate cyclase, class 2 [EC:4.6.1.1]",NA
"K00239","succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]",NA
"K00240","succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]",NA
"K00242","succinate dehydrogenase membrane anchor subunit",NA
"K01247","DNA-3-methyladenine glycosylase II [EC:3.2.2.21]",NA
"K25133","heme transport system permease protein",NA
"K03719","Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",NA
"K01092","myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",NA
"K02201","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]",NA
"K09763","uncharacterized protein",NA
"K09730","uncharacterized protein",NA
"K07305","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]",NA
"K07107","acyl-CoA thioester hydrolase [EC:3.1.2.-]",NA
"K01491","methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]",NA
"K02962","small subunit ribosomal protein S17e",NA
"K04641","bacteriorhodopsin",NA
"K09723","DNA replication factor GINS",NA
"K07003","uncharacterized protein",NA
"K00640","serine O-acetyltransferase [EC:2.3.1.30]",NA
"K00248","butyryl-CoA dehydrogenase [EC:1.3.8.1]",NA
"K02922","large subunit ribosomal protein L37e",NA
"K00857","thymidine kinase [EC:2.7.1.21]",NA
"K03406","methyl-accepting chemotaxis protein",NA
"K00823","4-aminobutyrate aminotransferase [EC:2.6.1.19]",NA
"K03308","neurotransmitter:Na+ symporter, NSS family",NA
"K01902","succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]",NA
"K24451","modification methylase",NA
"K07730","putative transcriptional regulator",NA
"K02191","cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]",NA
"K03394","precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]",NA
"K05936","precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]",NA
"K02437","glycine cleavage system H protein",NA
"K00029","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",NA
"K00766","anthranilate phosphoribosyltransferase [EC:2.4.2.18]",NA
"K04484","DNA repair protein RadB",NA
"K13525","transitional endoplasmic reticulum ATPase",NA
"K02995","small subunit ribosomal protein S8e",NA
"K02291","15-cis-phytoene synthase [EC:2.5.1.32]",NA
"K20616","lycopene elongase/hydratase (dihydrobisanhydrobacterioruberin-forming) [EC:2.5.1.150]",NA
"K01499","methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]",NA
"K09142","methyltransferase [EC:2.1.1.-]",NA
"K02906","large subunit ribosomal protein L3",NA
"K02892","large subunit ribosomal protein L23",NA
"K02886","large subunit ribosomal protein L2",NA
"K02965","small subunit ribosomal protein S19",NA
"K02890","large subunit ribosomal protein L22",NA
"K02982","small subunit ribosomal protein S3",NA
"K02904","large subunit ribosomal protein L29",NA
"K03538","ribonuclease P protein subunit POP4 [EC:3.1.26.5]",NA
"K02961","small subunit ribosomal protein S17",NA
"K02874","large subunit ribosomal protein L14",NA
"K02895","large subunit ribosomal protein L24",NA
"K02987","small subunit ribosomal protein S4e",NA
"K02994","small subunit ribosomal protein S8",NA
"K02933","large subunit ribosomal protein L6",NA
"K02912","large subunit ribosomal protein L32e",NA
"K02885","large subunit ribosomal protein L19e",NA
"K02881","large subunit ribosomal protein L18",NA
"K02988","small subunit ribosomal protein S5",NA
"K02876","large subunit ribosomal protein L15",NA
"K00939","adenylate kinase [EC:2.7.4.3]",NA
"K00945","CMP/dCMP kinase [EC:2.7.4.25]",NA
"K09166","uncharacterized protein",NA
"K01480","agmatinase [EC:3.5.3.11]",NA
"K03263","translation initiation factor 5A",NA
"K02492","glutamyl-tRNA reductase [EC:1.2.1.70]",NA
"K15888","tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific] [EC:2.5.1.89]",NA
"K06215","pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]",NA
"K01956","carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]",NA
"K03704","cold shock protein",NA
"K07721","ArsR family transcriptional regulator",NA
"K26208","alpha-D-ribose-1-phosphate 5-kinase (ATP) [EC:2.7.1.239]",NA
"K01265","methionyl aminopeptidase [EC:3.4.11.18]",NA
"K11071","spermidine/putrescine transport system permease protein",NA
"K13051","L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]",NA
"K00031","isocitrate dehydrogenase [EC:1.1.1.42]",NA
"K00021","hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]",NA
"K03517","quinolinate synthase [EC:2.5.1.72]",NA
"K00858","NAD+ kinase [EC:2.7.1.23]",NA
"K17488","GTP cyclohydrolase IV [EC:3.5.4.39]",NA
"K23356","HTH-type transcriptional regulator, sugar sensing transcriptional regulator",NA
"K22225","siroheme decarboxylase [EC:4.1.1.111]",NA
"K17104","phosphoglycerol geranylgeranyltransferase [EC:2.5.1.41]",NA
"K00943","dTMP kinase [EC:2.7.4.9]",NA
"K14941","2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase [EC:2.7.7.68 2.7.7.105]",NA
"K23265","phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]",NA
"K18779","7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]",NA
"K16317","tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]",NA
"K03470","ribonuclease HII [EC:3.1.26.4]",NA
"K03243","translation initiation factor 5B",NA
"K03420","proteasome regulatory subunit",NA
"K06173","tRNA pseudouridine38-40 synthase [EC:5.4.99.12]",NA
"K01892","histidyl-tRNA synthetase [EC:6.1.1.21]",NA
"K07585","tRNA methyltransferase",NA
"K02966","small subunit ribosomal protein S19e",NA
"K09903","uridylate kinase [EC:2.7.4.22]",NA
"K01916","NAD+ synthase [EC:6.3.1.5]",NA
"K01519","XTP/dITP diphosphohydrolase [EC:3.6.1.66]",NA
"K15904","bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]",NA
"K02977","ubiquitin-small subunit ribosomal protein S27Ae",NA
"K02974","small subunit ribosomal protein S24e",NA
"K03049","DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]",NA
"K03242","translation initiation factor 2 subunit 3",NA
"K02927","ubiquitin-large subunit ribosomal protein L40e",NA
"K07148","uncharacterized protein",NA
"K09022","2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]",NA
"K01754","threonine dehydratase [EC:4.3.1.19]",NA
"K06987","uncharacterized protein",NA
"K01733","threonine synthase [EC:4.2.3.1]",NA
"K06901","adenine/guanine/hypoxanthine permease",NA
"K00318","proline dehydrogenase [EC:1.5.5.2]",NA
"K00826","branched-chain amino acid aminotransferase [EC:2.6.1.42]",NA
"K02120","V/A-type H+/Na+-transporting ATPase subunit D",NA
"K21817","beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]",NA
"K02117","V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]",NA
"K02122","V/A-type H+/Na+-transporting ATPase subunit F",NA
"K02121","V/A-type H+/Na+-transporting ATPase subunit E",NA
"K02124","V/A-type H+/Na+-transporting ATPase subunit K",NA
"K08975","putative membrane protein",NA
"K09746","uncharacterized protein",NA
"K01867","tryptophanyl-tRNA synthetase [EC:6.1.1.2]",NA
"K03168","DNA topoisomerase I [EC:5.6.2.1]",NA
"K03644","lipoyl synthase [EC:2.8.1.8]",NA
"K00627","pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]",NA
"K06961","ribosomal RNA assembly protein",NA
"K03236","translation initiation factor 1A",NA
"K03120","transcription initiation factor TFIID TATA-box-binding protein",NA
"K01251","adenosylhomocysteinase [EC:3.13.2.1]",NA
"K04802","proliferating cell nuclear antigen",NA
"K07301","cation:H+ antiporter",NA
"K01595","phosphoenolpyruvate carboxylase [EC:4.1.1.31]",NA
"K02427","23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]",NA
"K03118","sec-independent protein translocase protein TatC",NA
"K07461","putative endonuclease",NA
"K04801","replication factor C small subunit",NA
"K02639","ferredoxin",NA
"K01693","imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]",NA
"K00384","thioredoxin reductase (NADPH) [EC:1.8.1.9]",NA
"K00761","uracil phosphoribosyltransferase [EC:2.4.2.9]",NA
"K07566","L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]",NA
"K02032","peptide/nickel transport system ATP-binding protein",NA
"K02034","peptide/nickel transport system permease protein",NA
"K02033","peptide/nickel transport system permease protein",NA
"K00016","L-lactate dehydrogenase [EC:1.1.1.27]",NA
"K05337","ferredoxin",NA
"K11176","IMP cyclohydrolase [EC:3.5.4.10]",NA
"K00928","aspartate kinase [EC:2.7.2.4]",NA
"K03702","excinuclease ABC subunit B",NA
"K16937","thiosulfate dehydrogenase (quinone) large subunit [EC:1.8.5.2]",NA
"K04047","starvation-inducible DNA-binding protein",NA
"K19689","aminopeptidase [EC:3.4.11.-]",NA
"K03106","signal recognition particle subunit SRP54 [EC:3.6.5.4]",NA
"K03264","translation initiation factor 6",NA
"K02910","large subunit ribosomal protein L31e",NA
"K02924","large subunit ribosomal protein L39e",NA
"K11717","cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]",NA
"K04488","nitrogen fixation protein NifU and related proteins",NA
"K07562","60S ribosomal export protein NMD3",NA
"K02038","phosphate transport system permease protein",NA
"K07053","3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]",NA
"K01890","phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]",NA
"K00254","dihydroorotate dehydrogenase [EC:1.3.5.2]",NA
"K28135","chromosomal protein MC1",NA
"K00128","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]",NA
"K00852","ribokinase [EC:2.7.1.15]",NA
"K07097","uncharacterized protein",NA
"K01465","dihydroorotase [EC:3.5.2.3]",NA
"K09141","uncharacterized protein",NA
"K01873","valyl-tRNA synthetase [EC:6.1.1.9]",NA
"K23188","iron-siderophore transport system ATP-binding protein [EC:7.2.2.17 7.2.2.-]",NA
"K01520","dUTP diphosphatase [EC:3.6.1.23]",NA
"K14645","serine protease [EC:3.4.21.-]",NA
"K27802","aconitate hydratase A / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]",NA
"K03113","translation initiation factor 1",NA
"K12234","coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]",NA
"K06943","nucleolar GTP-binding protein",NA
"K01523","phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]",NA
"K08999","uncharacterized protein",NA
"K08681","pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]",NA
"K03671","thioredoxin",NA
"K22699","sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]",NA
"K06988","8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]",NA
"K06974","archaemetzincin [EC:3.4.-.-]",NA
"K03665","GTPase",NA
"K06174","ATP-binding cassette, sub-family E, member 1",NA
"K06865","ATPase",NA
"K03657","ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]",NA
"K09152","cell division protein SepF",NA
"K12573","ribonuclease R [EC:3.1.13.1]",NA
"K02946","small subunit ribosomal protein S10",NA
"K03231","elongation factor 1-alpha",NA
"K03234","elongation factor 2",NA
"K02992","small subunit ribosomal protein S7",NA
"K02950","small subunit ribosomal protein S12",NA
"K02600","transcription termination/antitermination protein NusA",NA
"K03045","DNA-directed RNA polymerase subunit B"" [EC:2.7.7.6]",NA
"K01548","potassium-transporting ATPase KdpC subunit",NA
"K03499","trk/ktr system potassium uptake protein",NA
"K03496","chromosome partitioning protein",NA
"K23262","gas vesicle structural protein",NA
"K00005","glycerol dehydrogenase [EC:1.1.1.6]",NA
"K10026","7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]",NA
"K01737","6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]",NA
"K00611","ornithine carbamoyltransferase [EC:2.1.3.3]",NA
"K07722","CopG family transcriptional regulator, nickel-responsive regulator",NA
"K02921","large subunit ribosomal protein L37Ae",NA
"K03785","3-dehydroquinate dehydratase I [EC:4.2.1.10]",NA
"K22585","DNA repair protein NreA",NA
"K07390","monothiol glutaredoxin",NA
"K06222","2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]",NA
"K23541","Ca2+/H+ antiporter, TMEM165/GDT1 family",NA
"K02929","large subunit ribosomal protein L44e",NA
"K01738","cysteine synthase [EC:2.5.1.47]",NA
"K00337","NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]",NA
"K01974","RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]",NA
"K03136","transcription initiation factor TFIIE subunit alpha",NA
"K07332","archaeal flagellar protein FlaI",NA
"K02435","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]",NA
"K22221","HEAT repeat-containing taxis protein",NA
"K00575","chemotaxis protein methyltransferase CheR [EC:2.1.1.80]",NA
"K00088","IMP dehydrogenase [EC:1.1.1.205]",NA
"K08974","putative membrane protein",NA
"K07502","uncharacterized protein",NA
"K09228","KRAB domain-containing zinc finger protein",NA
"K03539","ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]",NA
"K00241","succinate dehydrogenase cytochrome b subunit",NA
"K13075","N-acyl homoserine lactone hydrolase [EC:3.1.1.81]",NA
"K15396","tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]",NA
"K01091","phosphoglycolate phosphatase [EC:3.1.3.18]",NA
"K01903","succinyl-CoA synthetase beta subunit [EC:6.2.1.5]",NA
"K07731","putative transcriptional regulator",NA
"K00806","undecaprenyl diphosphate synthase [EC:2.5.1.31]",NA
"K03636","sulfur-carrier protein",NA
"K03767","peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]",NA
"K07060","endoribonuclease Nob1 [EC:3.1.-.-]",NA
"K09140","rRNA small subunit aminocarboxypropyltransferase [EC:2.5.1.157]",NA
"K22447","archaeal chaperonin",NA
"K07728","putative transcriptional regulator",NA
"K19664","CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase [EC:2.7.7.67]",NA
"K03265","peptide chain release factor subunit 1",NA
"K07129","uncharacterized protein",NA
"K03725","putative ATP-dependent RNA helicase [EC:5.6.2.-]",NA
"K16692","tyrosine-protein kinase Etk/Wzc [EC:2.7.10.3]",NA
"K07178","RIO kinase 1 [EC:2.7.11.1]",NA
"K01613","phosphatidylserine decarboxylase [EC:4.1.1.65]",NA
"K07991","archaeal preflagellin peptidase FlaK [EC:3.4.23.52]",NA
"K07103","uncharacterized protein",NA
"K09743","uncharacterized protein",NA
"K03595","GTPase",NA
"K07095","uncharacterized protein",NA
"K04483","DNA repair protein RadA",NA
"K00252","glutaryl-CoA dehydrogenase [EC:1.3.8.6]",NA
"K03789","[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]",NA
"K00609","aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]",NA
"K02055","putative spermidine/putrescine transport system substrate-binding protein",NA
"K07755","arsenite methyltransferase [EC:2.1.1.137]",NA
"K02039","phosphate transport system protein",NA
"K02016","iron complex transport system substrate-binding protein",NA
"K01515","ADP-ribose diphosphatase [EC:3.6.1.13 3.6.1.-]",NA
"K25026","glucokinase [EC:2.7.1.2]",NA
"K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]",NA
"K03042","DNA-directed RNA polymerase subunit A"" [EC:2.7.7.6]",NA
"K03044","DNA-directed RNA polymerase subunit B' [EC:2.7.7.6]",NA
"K03750","molybdopterin molybdotransferase [EC:2.10.1.1]",NA
"K07219","putative molybdopterin biosynthesis protein",NA
"K01470","creatinine amidohydrolase [EC:3.5.2.10]",NA
"K09786","uncharacterized protein",NA
"K14656","FAD synthetase [EC:2.7.7.2]",NA
"K02984","small subunit ribosomal protein S3Ae",NA
"K09163","uncharacterized protein",NA
"K07341","death on curing protein",NA
"K07112","uncharacterized protein",NA
"K23536","general nucleoside transport system permease protein",NA
"K03411","chemotaxis protein CheD [EC:3.5.1.44]",NA
"K03412","two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]",NA
"K01895","acetyl-CoA synthetase [EC:6.2.1.1]",NA
"K02548","1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]",NA
"K06981","isopentenyl phosphate kinase [EC:2.7.4.26]",NA
"K02528","16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]",NA
"K01745","histidine ammonia-lyase [EC:4.3.1.3]",NA
"K00927","phosphoglycerate kinase [EC:2.7.2.3]",NA
"K00876","uridine kinase [EC:2.7.1.48]",NA
"K21929","uracil-DNA glycosylase [EC:3.2.2.27]",NA
"K14654","2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302]",NA
"K02189","cobalt-precorrin 5A hydrolase [EC:3.7.1.12]",NA
"K05934","precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]",NA
"K15449","tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]",NA
"K00765","ATP phosphoribosyltransferase [EC:2.4.2.17]",NA
"K01496","phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]",NA
"K24129","glutaredoxin-dependent peroxiredoxin [EC:1.11.1.25]",NA
"K01698","porphobilinogen synthase [EC:4.2.1.24]",NA
"K01667","tryptophanase [EC:4.1.99.1]",NA
"K00425","cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]",NA
"K00426","cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]",NA
"K00901","diacylglycerol kinase (ATP) [EC:2.7.1.107]",NA
"K08221","MFS transporter, ACDE family, multidrug resistance protein",NA
