"protein_id","gene","product","KO"
"WP_008307361.1","ACNO8S_RS14705","phosphoribosyl-AMP cyclohydrolase","K01496"
"WP_008307449.1","ACNO8S_RS14410","ABC transporter ATP-binding protein","K01996"
"WP_008307521.1","ACNO8S_RS14200","30S ribosomal protein S7","K02992"
"WP_008307604.1","ACNO8S_RS13930","type I glyceraldehyde-3-phosphate dehydrogenase","K00134"
"WP_008307635.1","ACNO8S_RS13850","nucleotidyltransferase family protein","K00973"
"WP_008307666.1","ACNO8S_RS13715","dihydroneopterin aldolase family protein","K09739"
"WP_008307710.1","ACNO8S_RS13425","nickel-responsive transcriptional regulator NikR","K07722"
"WP_008307828.1","ACNO8S_RS13075","chemotaxis protein CheW","K03408"
"WP_008307882.1","ACNO8S_RS12900","methylglyoxal synthase","K01734"
"WP_008307970.1","ACNO8S_RS12670","thioredoxin family protein","K03671"
"WP_008308034.1","ACNO8S_RS12450","50S ribosomal protein L15e","K02877"
"WP_008308044.1","ACNO8S_RS12415","ubiquitin-like small modifier protein 1","K03636"
"WP_008308066.1","ACNO8S_RS12340","ABC transporter permease","K02033"
"WP_008308075.1","ACNO8S_RS12315","serine/threonine-protein kinase RIO2","K07179"
"WP_008308087.1","ACNO8S_RS12275","lipoate--protein ligase family protein","K03800"
"WP_008308124.1","ACNO8S_RS12155","YihY/virulence factor BrkB family protein","K07058"
"WP_008308249.1","ACNO8S_RS19010","histidinol-phosphatase HisJ family protein","K04486"
"WP_008308314.1","ACNO8S_RS19160","phosphonate ABC transporter ATP-binding protein","K02041"
"WP_008308325.1","ACNO8S_RS19200","ABC transporter substrate-binding protein","K05813"
"WP_008308407.1","ACNO8S_RS19455","carbohydrate ABC transporter permease","K02025"
"WP_008308436.1","ACNO8S_RS19540","pyridoxal phosphate-dependent aminotransferase","K00812"
"WP_008308731.1","ACNO8S_RS08645","class IV adenylate cyclase","K05873"
"WP_008308746.1","ACNO8S_RS08610","aspartate carbamoyltransferase","K00609"
"WP_008308747.1","ACNO8S_RS08605","aspartate carbamoyltransferase regulatory subunit","K00610"
"WP_008309110.1","ACNO8S_RS07375","thiolase domain-containing protein","K00626"
"WP_008309125.1","ACNO8S_RS07335","carbohydrate ABC transporter permease","K10238"
"WP_008309164.1","ACNO8S_RS07200","DNA starvation/stationary phase protection protein DpsA","K04047"
"WP_008309199.1","ACNO8S_RS07080","fibrillarin-like rRNA/tRNA 2'-O-methyltransferase","K04795"
"WP_008309249.1","ACNO8S_RS06910","superoxide dismutase","K04564"
"WP_008309371.1","ACNO8S_RS06515","PRC-barrel domain-containing protein","K28350"
"WP_008309387.1","ACNO8S_RS06460","cytochrome b","K02635"
"WP_008309416.1","ACNO8S_RS06360","alpha-amylase domain-containing protein","K01176"
"WP_008309650.1","ACNO8S_RS05755","glutamate dehydrogenase GdhB","K00261"
"WP_008309732.1","ACNO8S_RS05505","archaeal proteasome endopeptidase complex subunit beta","K03433"
"WP_008309777.1","ACNO8S_RS05445","DNA topoisomerase IV subunit A","K03166"
"WP_008309824.1","ACNO8S_RS05300","zinc ribbon domain-containing protein","K07069"
"WP_008309944.1","ACNO8S_RS04990","DUF1684 domain-containing protein","K09164"
"WP_008309974.1","ACNO8S_RS04900","acetolactate synthase small subunit","K01653"
"WP_008310097.1","ACNO8S_RS04545","methionine synthase","K00549"
"WP_008310152.1","ACNO8S_RS04345","nascent polypeptide-associated complex protein","K03626"
"WP_008310273.1","ACNO8S_RS03995","translation initiation factor IF-2 subunit beta","K03238"
"WP_008310318.1","ACNO8S_RS03860","nucleoside-diphosphate kinase","K00940"
"WP_008310347.1","ACNO8S_RS03750","geranylfarnesyl diphosphate synthase","K13787"
"WP_008310363.1","ACNO8S_RS03680","50S ribosomal protein L13","K02871"
"WP_008310371.1","ACNO8S_RS03650","30S ribosomal protein S13","K02952"
"WP_008310442.1","ACNO8S_RS03455","transcription initiation factor IIB","K03124"
"WP_008310505.1","ACNO8S_RS03305","monovalent cation/H(+) antiporter subunit G","K05571"
"WP_008310591.1","ACNO8S_RS03070","NUDIX hydrolase","K01823"
"WP_008310611.1","ACNO8S_RS03015","glutamine-hydrolyzing GMP synthase","K01951"
"WP_008310877.1","ACNO8S_RS02210","TrmB family transcriptional regulator","K23356"
"WP_008310888.1","ACNO8S_RS02180","peptidylprolyl isomerase","K03767"
"WP_008310913.1","ACNO8S_RS02110","Lrp/AsnC family transcriptional regulator","K03719"
"WP_008311015.1","ACNO8S_RS01695","CheF family chemotaxis protein","K09156"
"WP_008311110.1","ACNO8S_RS01425","V-type ATP synthase subunit E","K02121"
"WP_008311113.1","ACNO8S_RS01420","F0F1 ATP synthase subunit C","K02124"
"WP_008311121.1","ACNO8S_RS01390","electron transfer flavoprotein subunit beta/FixA family protein","K03521"
"WP_008311217.1","ACNO8S_RS01075","iron-sulfur cluster assembly scaffold protein","K04488"
"WP_008311261.1","ACNO8S_RS00955","DUF120 domain-containing protein","K07732"
"WP_008311262.1","ACNO8S_RS00950","3%2C4-dihydroxy-2-butanone-4-phosphate synthase","K02858"
"WP_008311538.1","ACNO8S_RS10125","DNA repair and recombination protein RadB","K04484"
"WP_008311571.1","ACNO8S_RS10015","30S ribosomal protein S8e","K02995"
"WP_008311607.1","ACNO8S_RS09920","phosphomevalonate decarboxylase MvaD","K17942"
"WP_008312058.1","ACNO8S_RS17850","Rid family detoxifying hydrolase","K09022"
"WP_008312162.1","ACNO8S_RS18100","M48 family metallopeptidase","K03799"
"WP_008312256.1","ACNO8S_RS18360","carbohydrate ABC transporter permease","K02026"
"WP_008312457.1","ACNO8S_RS11385","HD domain-containing protein","K06950"
"WP_008312519.1","ACNO8S_RS11210","sulfide-dependent adenosine diphosphate thiazole synthase","K22699"
"WP_008312536.1","ACNO8S_RS11165","dCTP deaminase","K01494"
"WP_008312570.1","ACNO8S_RS11060","COX15/CtaA family protein","K02259"
"WP_008312635.1","ACNO8S_RS10935","tRNA-binding protein","K06878"
"WP_008312658.1","ACNO8S_RS10865","4a-hydroxytetrahydrobiopterin dehydratase","K01724"
"WP_008312676.1","ACNO8S_RS10815","AAA family ATPase","K03924"
"WP_008312890.1","ACNO8S_RS10400","50S ribosomal protein L3","K02906"
"WP_008312913.1","ACNO8S_RS10375","50S ribosomal protein L22","K02890"
"WP_008312918.1","ACNO8S_RS10355","30S ribosomal protein S17","K02961"
"WP_008312927.1","ACNO8S_RS10290","uL15m family ribosomal protein","K02876"
"WP_008313104.1","ACNO8S_RS09585","hypothetical protein","K13110"
"WP_008313196.1","ACNO8S_RS09250","transcription initiation factor IIB","K03124"
"WP_008313198.1","ACNO8S_RS09245","Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC","K02435"
"WP_008313236.1","ACNO8S_RS09145","IclR family transcriptional regulator","K13641"
"WP_008313275.1","ACNO8S_RS09015","glutaredoxin family protein","K07390"
"WP_008313341.1","ACNO8S_RS08825","thiamine pyrophosphate-dependent enzyme","K00175"
"WP_008313351.1","ACNO8S_RS08800","Cdc6/Cdc18 family protein","K10725"
"WP_008313353.1","ACNO8S_RS08795","acyl-CoA dehydrogenase family protein","K00248"
"WP_008313377.1","ACNO8S_RS08735","type II/IV secretion system ATPase subunit","K07332"
"WP_011223955.1","ACNO8S_RS12030","VOC family protein","K01759"
"WP_014030579.1","ACNO8S_RS18430","ParA family protein","K03496"
"WP_014030614.1","ACNO8S_RS18600","type II toxin-antitoxin system death-on-curing family toxin","K07341"
"WP_014030854.1","ACNO8S_RS19560","ABC transporter ATP-binding protein","K01996"
"WP_014030855.1","ACNO8S_RS19555","ABC transporter ATP-binding protein","K01995"
"WP_014030867.1","ACNO8S_RS19495","NAD-dependent succinate-semialdehyde dehydrogenase","K00135"
"WP_014030872.1","ACNO8S_RS19470","galactonate dehydratase","K01684"
"WP_014030882.1","ACNO8S_RS19420","ABC transporter ATP-binding protein","K01996"
"WP_014030883.1","ACNO8S_RS19415","ABC transporter ATP-binding protein","K01995"
"WP_014030891.1","ACNO8S_RS19375","3-hydroxyacyl-CoA dehydrogenase family protein","K00074"
"WP_014030896.1","ACNO8S_RS19350","hydroxyphenylacetyl-CoA thioesterase PaaI","K02614"
"WP_014030973.1","ACNO8S_RS18950","heavy metal translocating P-type ATPase","K17686"
"WP_014031006.1","ACNO8S_RS17620","FecCD family ABC transporter permease","K02015"
"WP_014031007.1","ACNO8S_RS17615","ABC transporter ATP-binding protein","K23188"
"WP_014031017.1","ACNO8S_RS17560","Na+/H+ antiporter NhaC","K03315"
"WP_014031028.1","ACNO8S_RS17515","rubrerythrin-like domain-containing protein","K09228"
"WP_014031038.1","ACNO8S_RS17455","ABC transporter ATP-binding protein","K19340"
"WP_014031053.1","ACNO8S_RS17375","YeeE/YedE family protein","K07112"
"WP_014031054.1","ACNO8S_RS17370","YeeE/YedE family protein","K07112"
"WP_014031063.1","ACNO8S_RS17320","thioredoxin","K03671"
"WP_014031066.1","ACNO8S_RS17305","urease accessory protein UreF","K03188"
"WP_014031070.1","ACNO8S_RS17285","urease subunit gamma","K01430"
"WP_014031074.1","ACNO8S_RS17265","urea ABC transporter%2C permease protein UrtB","K11960"
"WP_014031104.1","ACNO8S_RS17110","TrkH family potassium uptake protein","K03498"
"WP_014031138.1","ACNO8S_RS16930","IclR family transcriptional regulator","K27923"
"WP_014031166.1","ACNO8S_RS16805","PTS fructose transporter subunit IIC","K02770"
"WP_014031173.1","ACNO8S_RS16770","electron transfer flavoprotein subunit alpha/FixB family protein","K03522"
"WP_014031176.1","ACNO8S_RS16755","formate--tetrahydrofolate ligase","K01938"
"WP_014031202.1","ACNO8S_RS18365","carbohydrate ABC transporter permease","K02025"
"WP_014031207.1","ACNO8S_RS18340","Rid family detoxifying hydrolase","K09022"
"WP_014031216.1","ACNO8S_RS18290","NAD-binding protein","K10716"
"WP_014031229.1","ACNO8S_RS18210","iron-sulfur cluster repair di-iron protein","K07322"
"WP_014031232.1","ACNO8S_RS18195","MATE family efflux transporter","K26937"
"WP_014031281.1","ACNO8S_RS17940","ABC transporter permease","K23535"
"WP_014031287.1","ACNO8S_RS17910","(2Fe-2S)-binding protein","K03518"
"WP_014031317.1","ACNO8S_RS17785","lipopolysaccharide biosynthesis protein","K03328"
"WP_014039045.1","ACNO8S_RS15520","phosphoserine phosphatase SerB","K01079"
"WP_014039050.1","ACNO8S_RS15545","metallophosphoesterase","K07095"
"WP_014039064.1","ACNO8S_RS15630","SDR family oxidoreductase","K00059"
"WP_014039067.1","ACNO8S_RS15650","RPA family protein","K09746"
"WP_014039093.1","ACNO8S_RS15805","type I glutamate--ammonia ligase","K01915"
"WP_014039110.1","ACNO8S_RS15905","DUF367 family protein","K09140"
"WP_014039131.1","ACNO8S_RS16030","GTP-dependent dephospho-CoA kinase family protein","K09735"
"WP_014039144.1","ACNO8S_RS16105","Holliday junction resolvase Hjc","K03552"
"WP_014039149.1","ACNO8S_RS16135","23S rRNA (uridine(2552)-2'-O)-methyltransferase","K02427"
"WP_014039191.1","ACNO8S_RS00200","DNA repair and recombination protein RadA","K04483"
"WP_014039193.1","ACNO8S_RS00210","CPBP family intramembrane glutamic endopeptidase","K07052"
"WP_014039223.1","ACNO8S_RS00370","prephenate dehydratase","K04518"
"WP_014039257.1","ACNO8S_RS00590","nitrite/sulfite reductase","K00366"
"WP_014039261.1","ACNO8S_RS00615","cobalt-factor II C(20)-methyltransferase","K03394"
"WP_014039263.1","ACNO8S_RS00625","cobalt-precorrin 5A hydrolase","K02189"
"WP_014039266.1","ACNO8S_RS00640","precorrin-3B C(17)-methyltransferase","K05934"
"WP_014039268.1","ACNO8S_RS00655","CbiX/SirB N-terminal domain-containing protein","K03795"
"WP_014039274.1","ACNO8S_RS00685","VWA domain-containing protein","K03404"
"WP_014039280.1","ACNO8S_RS00715","cation:proton antiporter regulatory subunit","K07228"
"WP_014039292.1","ACNO8S_RS00780","aldehyde dehydrogenase family protein","K22187"
"WP_014039302.1","ACNO8S_RS00830","methyl-accepting chemotaxis protein","K03406"
"WP_014039336.1","ACNO8S_RS01015","uroporphyrinogen-III C-methyltransferase","K02303"
"WP_014039341.1","ACNO8S_RS01040","single-stranded-DNA-specific exonuclease RecJ","K07462"
"WP_014039345.1","ACNO8S_RS01060","S49 family peptidase","K04773"
"WP_014039365.1","ACNO8S_RS01165","DUF354 domain-containing protein","K09726"
"WP_014039371.1","ACNO8S_RS01205","ZIP family metal transporter","K07238"
"WP_014039382.1","ACNO8S_RS01280","signal recognition particle protein Srp54","K03106"
"WP_014039385.1","ACNO8S_RS01295","ABC transporter ATP-binding protein","K01996"
"WP_014039386.1","ACNO8S_RS01300","ABC transporter ATP-binding protein","K01995"
"WP_014039388.1","ACNO8S_RS01310","branched-chain amino acid ABC transporter permease","K01997"
"WP_014039391.1","ACNO8S_RS01325","magnesium transporter","K07244"
"WP_014039392.1","ACNO8S_RS01330","magnesium transporter","K07244"
"WP_014039400.1","ACNO8S_RS01370","RNA-binding domain-containing protein","K09736"
"WP_014039407.1","ACNO8S_RS01430","V-type ATP synthase subunit C","K02119"
"WP_014039408.1","ACNO8S_RS01435","V-type ATP synthase subunit F","K02122"
"WP_014039410.1","ACNO8S_RS01445","ATP synthase subunit B","K02118"
"WP_014039421.1","ACNO8S_RS01510","UMP kinase","K09903"
"WP_014039426.1","ACNO8S_RS01540","DNA-binding protein","K06875"
"WP_014039437.1","ACNO8S_RS01595","pyruvoyl-dependent arginine decarboxylase","K02626"
"WP_014039441.1","ACNO8S_RS01625","NOB1 family endonuclease","K07060"
"WP_014039448.1","ACNO8S_RS01660","protein translocase subunit SecF","K03074"
"WP_014039451.1","ACNO8S_RS01675","tRNA pseudouridine(54/55) synthase Pus10","K07583"
"WP_014039463.1","ACNO8S_RS01740","CheF family chemotaxis protein","K09156"
"WP_014039465.1","ACNO8S_RS01750","glutamine--fructose-6-phosphate transaminase (isomerizing)","K00820"
"WP_014039467.1","ACNO8S_RS01760","UTP--glucose-1-phosphate uridylyltransferase AglF","K00973"
"WP_014039477.1","ACNO8S_RS01965","tRNA (pseudouridine(54)-N(1))-methyltransferase TrmY","K16317"
"WP_014039481.1","ACNO8S_RS01990","tRNA guanosine(15) transglycosylase TgtA","K18779"
"WP_014039486.1","ACNO8S_RS02015","archaeosine biosynthesis radical SAM protein RaSEA","K06936"
"WP_014039489.1","ACNO8S_RS02030","ABC transporter permease","K05773"
"WP_014039494.1","ACNO8S_RS02055","formyltetrahydrofolate deformylase","K01433"
"WP_014039495.1","ACNO8S_RS02060","phosphoribosylaminoimidazolesuccinocarboxamide synthase","K01923"
"WP_014039499.1","ACNO8S_RS02080","2-phospho-L-lactate guanylyltransferase","K14941"
"WP_014039512.1","ACNO8S_RS02160","ABC transporter permease","K02033"
"WP_014039518.1","ACNO8S_RS02190","anthranilate phosphoribosyltransferase","K00766"
"WP_014039519.1","ACNO8S_RS02195","AsnC family transcriptional regulator","K22225"
"WP_014039533.1","ACNO8S_RS02300","tubulin/FtsZ family protein","K22222"
"WP_014039547.1","ACNO8S_RS02370","nucleotide exchange factor GrpE","K03687"
"WP_014039550.1","ACNO8S_RS02385","RNA-guided pseudouridylation complex pseudouridine synthase subunit Cbf5","K03177"
"WP_014039569.1","ACNO8S_RS02505","DEAD/DEAH box helicase","K06877"
"WP_014039575.1","ACNO8S_RS02600","dihydrolipoyl dehydrogenase family protein","K03423"
"WP_014039596.1","ACNO8S_RS02720","L-aspartate oxidase","K00278"
"WP_014039605.1","ACNO8S_RS02770","isocitrate dehydrogenase (NADP(+))","K00031"
"WP_014039607.1","ACNO8S_RS02780","type II methionyl aminopeptidase","K01265"
"WP_014039622.1","ACNO8S_RS02865","ubiquitin-like small modifier protein 1","K03636"
"WP_014039625.1","ACNO8S_RS02880","Glu-tRNA(Gln) amidotransferase subunit GatD","K09482"
"WP_014039640.1","ACNO8S_RS02970","threonine--tRNA ligase","K01868"
"WP_014039644.1","ACNO8S_RS02990","PspA/IM30 family protein","K03969"
"WP_014039645.1","ACNO8S_RS02995","alpha/beta hydrolase","K07018"
"WP_014039664.1","ACNO8S_RS03120","pyridoxal phosphate-dependent aminotransferase","K00812"
"WP_014039689.1","ACNO8S_RS03290","cation:proton antiporter subunit C","K05567"
"WP_014039707.1","ACNO8S_RS03385","biotin--[acetyl-CoA-carboxylase] ligase","K03524"
"WP_014039714.1","ACNO8S_RS03420","sodium-dependent transporter","K03308"
"WP_014039729.1","ACNO8S_RS03505","class II fumarate hydratase","K01679"
"WP_014039730.1","ACNO8S_RS03510","carbohydrate ABC transporter permease","K17316"
"WP_014039731.1","ACNO8S_RS03515","carbohydrate ABC transporter permease","K17317"
"WP_014039748.1","ACNO8S_RS03600","ABC transporter permease","K01992"
"WP_014039754.1","ACNO8S_RS03635","Mrp/NBP35 family ATP-binding protein","K03593"
"WP_014039764.1","ACNO8S_RS03735","isopentenyl phosphate kinase","K06981"
"WP_014039766.1","ACNO8S_RS03745","ribonuclease J","K12574"
"WP_014039788.1","ACNO8S_RS03875","peptide-methionine (R)-S-oxide reductase MsrB","K07305"
"WP_014039791.1","ACNO8S_RS03895","GTP cyclohydrolase III","K08096"
"WP_014039805.1","ACNO8S_RS03975","thiamine pyrophosphate-binding protein","K01652"
"WP_014039819.1","ACNO8S_RS04055","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","K00161"
"WP_014039834.1","ACNO8S_RS04135","patatin-like phospholipase family protein","K07001"
"WP_014039856.1","ACNO8S_RS04235","formate/nitrite transporter family protein","K21990"
"WP_014039859.1","ACNO8S_RS04250","zinc-dependent alcohol dehydrogenase family protein","K00001"
"WP_014039867.1","ACNO8S_RS04290","aldehyde dehydrogenase family protein","K00128"
"WP_014039884.1","ACNO8S_RS04400","creatininase family protein","K01470"
"WP_014039898.1","ACNO8S_RS04470","6-hydroxymethylpterin diphosphokinase MptE-like protein","K07142"
"WP_014039900.1","ACNO8S_RS04490","potassium channel family protein","K03499"
"WP_014039903.1","ACNO8S_RS04505","dihydropteroate synthase","K00796"
"WP_014039908.1","ACNO8S_RS04530","ABC transporter ATP-binding protein","K02003"
"WP_014039957.1","ACNO8S_RS04815","transcription factor S","K03057"
"WP_014039961.1","ACNO8S_RS04835","bisanhydrobacterioruberin hydratase","K08977"
"WP_014039970.1","ACNO8S_RS04890","LeuA family protein","K01649"
"WP_014039975.1","ACNO8S_RS04920","3-isopropylmalate dehydratase small subunit","K01704"
"WP_014039978.1","ACNO8S_RS04935","HTH-type transcriptional regulator GlpR","K03436"
"WP_014039985.1","ACNO8S_RS04985","DnaJ domain-containing protein","K03686"
"WP_014039999.1","ACNO8S_RS05070","DNA polymerase IV","K02346"
"WP_014040001.1","ACNO8S_RS05080","5%2C6-dimethylbenzimidazole synthase","K04719"
"WP_014040014.1","ACNO8S_RS05170","peroxiredoxin","K24129"
"WP_014040015.1","ACNO8S_RS05175","HD domain-containing protein","K09163"
"WP_014040019.1","ACNO8S_RS05195","5'/3'-nucleotidase SurE","K03787"
"WP_014040031.1","ACNO8S_RS05255","metal ABC transporter substrate-binding protein","K09815"
"WP_014040032.1","ACNO8S_RS05260","metal ABC transporter ATP-binding protein","K09817"
"WP_014040033.1","ACNO8S_RS05265","metal ABC transporter permease","K09816"
