locus_tag,protein_id,product
ACNO8S_RS00155,WP_420182293.1,DUF7521 family protein
ACNO8S_RS00160,WP_004516469.1,cold-shock protein
ACNO8S_RS00165,WP_420182294.1,helicase C-terminal domain-containing protein
ACNO8S_RS00170,WP_420182295.1,class I SAM-dependent methyltransferase
ACNO8S_RS00175,WP_420182296.1,60S ribosomal export protein NMD3
ACNO8S_RS00180,WP_420182297.1,NAD-dependent epimerase/dehydratase family protein
ACNO8S_RS00185,WP_008306935.1,zinc metalloprotease HtpX
ACNO8S_RS00190,WP_420182298.1,PspA-associated protein PspAB
ACNO8S_RS00195,WP_420182299.1,hypothetical protein
ACNO8S_RS00200,WP_014039191.1,DNA repair and recombination protein RadA
ACNO8S_RS00205,WP_050007583.1,aldo/keto reductase
ACNO8S_RS00210,WP_014039193.1,CPBP family intramembrane glutamic endopeptidase
ACNO8S_RS00215,WP_146417747.1,acyltransferase
ACNO8S_RS00220,WP_336329604.1,hypothetical protein
ACNO8S_RS00225,WP_044951579.1,RAD55 family ATPase
ACNO8S_RS00230,WP_014039197.1,hypothetical protein
ACNO8S_RS00235,WP_023843068.1,DUF5789 family protein
ACNO8S_RS00240,WP_050007581.1,PHP domain-containing protein
ACNO8S_RS00245,WP_014039200.1,DUF6757 family protein
ACNO8S_RS00250,WP_420182300.1,cupin domain-containing protein
ACNO8S_RS00255,WP_420182301.1,type 1 glutamine amidotransferase
ACNO8S_RS00260,WP_004516449.1,hypothetical protein
ACNO8S_RS00265,WP_420182302.1,hypothetical protein
ACNO8S_RS00270,WP_420182796.1,aldo/keto reductase
ACNO8S_RS00275,WP_050037390.1,Gfo/Idh/MocA family protein
ACNO8S_RS00280,WP_420182303.1,hypothetical protein
ACNO8S_RS00285,WP_004590026.1,zinc ribbon domain-containing protein
ACNO8S_RS00290,WP_420182304.1,DUF6735 family protein
ACNO8S_RS00295,WP_420182305.1,endonuclease NucS
ACNO8S_RS00300,WP_336329608.1,HalOD1 output domain-containing protein
ACNO8S_RS00305,WP_023843070.1,helix-turn-helix domain-containing protein
ACNO8S_RS00310,WP_420182306.1,DNA mismatch repair protein MutS
ACNO8S_RS00315,WP_064287056.1,DUF7383 domain-containing protein
ACNO8S_RS00320,WP_050037394.1,thermosome subunit beta
ACNO8S_RS00325,WP_420182307.1,hypothetical protein
ACNO8S_RS00330,WP_420182308.1,ornithine cyclodeaminase family protein
ACNO8S_RS00335,WP_014039216.1,DUF7535 family protein
ACNO8S_RS00340,WP_014039217.1,hypothetical protein
ACNO8S_RS00345,WP_014039218.1,hypothetical protein
ACNO8S_RS00350,WP_151144717.1,sensor histidine kinase
ACNO8S_RS00355,WP_420182309.1,leucine--tRNA ligase
ACNO8S_RS00360,WP_050037399.1,peroxiredoxin
ACNO8S_RS00365,WP_050037400.1,Hsp20/alpha crystallin family protein
ACNO8S_RS00370,WP_014039223.1,prephenate dehydratase
ACNO8S_RS00375,WP_420182310.1,hypothetical protein
ACNO8S_RS00380,WP_129755887.1,hypothetical protein
ACNO8S_RS00385,WP_420182311.1,dihydrolipoyl dehydrogenase
ACNO8S_RS00390,WP_050007658.1,hypothetical protein
ACNO8S_RS00395,WP_050037403.1,dihydrolipoamide acetyltransferase family protein
ACNO8S_RS00400,WP_064287048.1,alpha-ketoacid dehydrogenase subunit beta
ACNO8S_RS00405,WP_420182312.1,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
ACNO8S_RS00410,WP_420182313.1,lipoyl synthase
ACNO8S_RS00415,WP_420182314.1,class I SAM-dependent methyltransferase
ACNO8S_RS00420,WP_050037408.1,DEAD/DEAH box helicase
ACNO8S_RS00425,WP_225306736.1,hypothetical protein
ACNO8S_RS00430,WP_014039234.1,HAD family hydrolase
ACNO8S_RS00435,WP_420182315.1,topoisomerase DNA-binding C4 zinc finger domain-containing protein
ACNO8S_RS00440,WP_420182316.1,tRNA-intron lyase
ACNO8S_RS00445,WP_420182317.1,tryptophan--tRNA ligase
ACNO8S_RS00450,WP_420182318.1,phenylalanine--tRNA ligase subunit alpha
ACNO8S_RS00455,WP_420182319.1,phenylalanine--tRNA ligase subunit beta
ACNO8S_RS00460,NA,RDD family protein
ACNO8S_RS00465,WP_420182320.1,quinone-dependent dihydroorotate dehydrogenase
ACNO8S_RS00470,WP_004516407.1,hypothetical protein
ACNO8S_RS00475,WP_004516406.1,non-histone chromosomal MC1 family protein
ACNO8S_RS00505,WP_420182321.1,DUF5305 domain-containing protein
ACNO8S_RS00510,WP_420182322.1,hypothetical protein
ACNO8S_RS00515,WP_014039244.1,hypothetical protein
ACNO8S_RS00520,WP_420182323.1,hypothetical protein
ACNO8S_RS00525,WP_050007652.1,DUF7344 domain-containing protein
ACNO8S_RS00530,WP_050007651.1,LamG domain-containing protein
ACNO8S_RS00535,WP_420182324.1,signal peptidase I
ACNO8S_RS00540,WP_014039249.1,hypothetical protein
ACNO8S_RS00545,WP_129755900.1,hypothetical protein
ACNO8S_RS00550,WP_014039251.1,hypothetical protein
ACNO8S_RS00555,WP_420182325.1,hypothetical protein
ACNO8S_RS00560,WP_146418050.1,hypothetical protein
ACNO8S_RS00565,WP_261385018.1,hypothetical protein
ACNO8S_RS00575,WP_050037418.1,DUF7119 family protein
ACNO8S_RS00580,WP_008311379.1,hypothetical protein
ACNO8S_RS00585,WP_005536443.1,hypothetical protein
ACNO8S_RS00590,WP_014039257.1,nitrite/sulfite reductase
ACNO8S_RS00600,WP_014039258.1,hypothetical protein
ACNO8S_RS00605,WP_420182326.1,excinuclease ABC subunit UvrB
ACNO8S_RS00610,WP_050037422.1,precorrin-6Y C5%2C15-methyltransferase (decarboxylating) subunit CbiT
ACNO8S_RS00615,WP_014039261.1,cobalt-factor II C(20)-methyltransferase
ACNO8S_RS00620,WP_420182327.1,cobalt-precorrin-4/precorrin-4 C(11)-methyltransferase
ACNO8S_RS00625,WP_014039263.1,cobalt-precorrin 5A hydrolase
ACNO8S_RS00630,WP_050037425.1,SDR family oxidoreductase
ACNO8S_RS00635,WP_050007644.1,precorrin-3B C(17)-methyltransferase
ACNO8S_RS00640,WP_014039266.1,precorrin-3B C(17)-methyltransferase
ACNO8S_RS00645,WP_420182328.1,ferredoxin
ACNO8S_RS00650,WP_420182329.1,cobalamin biosynthesis protein
ACNO8S_RS00655,WP_014039268.1,CbiX/SirB N-terminal domain-containing protein
ACNO8S_RS00660,WP_014039269.1,DUF3209 family protein
ACNO8S_RS00665,WP_420182330.1,PQQ-binding-like beta-propeller repeat protein
ACNO8S_RS00670,WP_420182331.1,Rnase Y domain-containing protein
ACNO8S_RS00675,WP_050037432.1,CbtA family protein
ACNO8S_RS00680,WP_014039273.1,CbtB domain-containing protein
ACNO8S_RS00685,WP_014039274.1,VWA domain-containing protein
ACNO8S_RS00690,WP_420182332.1,cobaltochelatase subunit CobN
ACNO8S_RS00695,WP_064287280.1,precorrin-8X methylmutase
ACNO8S_RS00700,WP_420182333.1,cobalt-precorrin-7 (C(5))-methyltransferase
ACNO8S_RS00705,WP_014039278.1,DUF2062 domain-containing protein
ACNO8S_RS00710,WP_050037436.1,CbiX/SirB N-terminal domain-containing protein
ACNO8S_RS00715,WP_014039280.1,cation:proton antiporter regulatory subunit
ACNO8S_RS00720,WP_151144667.1,cation:proton antiporter
ACNO8S_RS00725,WP_044951606.1,zinc-binding dehydrogenase
ACNO8S_RS00730,WP_004518274.1,XapX domain-containing protein
ACNO8S_RS00735,WP_014039283.1,hypothetical protein
ACNO8S_RS00740,WP_420182334.1,CehA/McbA family metallohydrolase
ACNO8S_RS00745,WP_044951612.1,nucleoside hydrolase
ACNO8S_RS00750,WP_014039286.1,bifunctional metallophosphatase/5'-nucleotidase
ACNO8S_RS00755,WP_420182335.1,iron transporter
ACNO8S_RS00760,WP_420182336.1,DUF7405 family protein
ACNO8S_RS00765,WP_420182337.1,mandelate racemase family protein
ACNO8S_RS00770,WP_420182338.1,MBL fold metallo-hydrolase
ACNO8S_RS00775,WP_420182339.1,D-xylose 1-dehydrogenase Gfo6
ACNO8S_RS00780,WP_014039292.1,aldehyde dehydrogenase family protein
ACNO8S_RS00785,WP_014039293.1,hypothetical protein
ACNO8S_RS00790,WP_225306737.1,M48 family metallopeptidase
ACNO8S_RS00795,WP_151144645.1,fumarylacetoacetate hydrolase family protein
ACNO8S_RS00800,WP_151144642.1,excinuclease ABC subunit C
ACNO8S_RS00805,WP_050037444.1,hypothetical protein
ACNO8S_RS00810,WP_050007531.1,hypothetical protein
ACNO8S_RS00815,WP_154020793.1,hypothetical protein
ACNO8S_RS00820,WP_014039299.1,pyridoxal-phosphate-dependent aminotransferase family protein
ACNO8S_RS00825,WP_008311299.1,HalOD1 output domain-containing protein
ACNO8S_RS00830,WP_014039302.1,methyl-accepting chemotaxis protein
ACNO8S_RS00835,WP_050038265.1,bacteriorhodopsin
ACNO8S_RS00840,WP_420182340.1,NAD-dependent DNA ligase LigA
ACNO8S_RS00845,WP_420182341.1,ABC transporter permease
ACNO8S_RS00850,WP_420182342.1,ATP-binding cassette domain-containing protein
ACNO8S_RS00855,WP_008311289.1,hypothetical protein
ACNO8S_RS00860,WP_420182343.1,NosD domain-containing protein
ACNO8S_RS00865,WP_420182344.1,transglutaminase TgpA family protein
ACNO8S_RS00870,WP_151144630.1,DUF7269 family protein
ACNO8S_RS00875,WP_151144627.1,DUF58 domain-containing protein
ACNO8S_RS00880,WP_420182345.1,DUF7519 family protein
ACNO8S_RS00885,WP_420182346.1,SHOCT domain-containing protein
ACNO8S_RS00890,WP_050037452.1,DMT family transporter
ACNO8S_RS00895,WP_420182347.1,TrmB family transcriptional regulator
ACNO8S_RS00900,WP_050007727.1,AAA family ATPase
ACNO8S_RS00905,WP_064287320.1,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein
ACNO8S_RS00910,WP_050007728.1,homoserine O-acetyltransferase MetX
ACNO8S_RS00915,WP_008311270.1,DUF7130 family rubredoxin-like protein
ACNO8S_RS00920,WP_420182348.1,hypothetical protein
ACNO8S_RS00925,WP_129755936.1,ketopantoate reductase family protein
ACNO8S_RS00930,WP_420182349.1,galactonate dehydratase
ACNO8S_RS00935,WP_014039323.1,DUF502 domain-containing protein
ACNO8S_RS00940,WP_004964767.1,branched-chain amino acid transaminase
ACNO8S_RS00945,WP_008311264.1,hypothetical protein
ACNO8S_RS00950,WP_008311262.1,3%2C4-dihydroxy-2-butanone-4-phosphate synthase
ACNO8S_RS00955,WP_008311261.1,DUF120 domain-containing protein
ACNO8S_RS00960,WP_023843095.1,hypothetical protein
ACNO8S_RS00965,WP_044951627.1,4-demethylwyosine synthase TYW1
ACNO8S_RS00970,WP_004964745.1,hypothetical protein
ACNO8S_RS00975,WP_014039328.1,FmdB family zinc ribbon protein
ACNO8S_RS00980,WP_014039329.1,peroxidase-related enzyme
ACNO8S_RS00985,WP_014039330.1,DUF6789 family protein
ACNO8S_RS00990,WP_014039331.1,helix-turn-helix domain-containing protein
ACNO8S_RS00995,WP_014039332.1,NifU family protein
ACNO8S_RS01000,WP_151102831.1,CDP-2%2C3-bis-(O-geranylgeranyl)-sn-glycerol synthase
ACNO8S_RS01005,WP_151102832.1,hypothetical protein
ACNO8S_RS01010,WP_420182350.1,hydroxymethylbilane synthase
ACNO8S_RS01015,WP_014039336.1,uroporphyrinogen-III C-methyltransferase
ACNO8S_RS01020,WP_420182351.1,uroporphyrinogen-III synthase
ACNO8S_RS01025,WP_420182352.1,PspA/IM30 family protein
ACNO8S_RS01030,WP_023843099.1,hypothetical protein
ACNO8S_RS01035,WP_014039340.1,hypothetical protein
ACNO8S_RS01040,WP_014039341.1,single-stranded-DNA-specific exonuclease RecJ
ACNO8S_RS01045,WP_014039342.1,hypothetical protein
ACNO8S_RS01050,WP_014039343.1,DUF5783 family protein
ACNO8S_RS01055,WP_050037465.1,DUF4350 domain-containing protein
ACNO8S_RS01060,WP_014039345.1,S49 family peptidase
ACNO8S_RS01065,WP_420182353.1,heme-binding protein
ACNO8S_RS01070,WP_050037467.1,class I SAM-dependent methyltransferase
ACNO8S_RS01075,WP_008311217.1,iron-sulfur cluster assembly scaffold protein
ACNO8S_RS01080,WP_023843100.1,protein-tyrosine phosphatase family protein
ACNO8S_RS01085,WP_014039350.1,cupin domain-containing protein
ACNO8S_RS01090,WP_420182354.1,aminotransferase class V-fold PLP-dependent enzyme
ACNO8S_RS01095,WP_050037470.1,nucleotide sugar dehydrogenase
ACNO8S_RS01100,WP_014039353.1,Gfo/Idh/MocA family protein
ACNO8S_RS01105,WP_014039354.1,DegT/DnrJ/EryC1/StrS family aminotransferase
ACNO8S_RS01110,WP_014039355.1,acyltransferase
ACNO8S_RS01115,WP_014039356.1,GNAT family N-acetyltransferase
ACNO8S_RS01120,WP_014039357.1,GNAT family N-acetyltransferase
ACNO8S_RS01125,WP_023843102.1,glycosyltransferase
ACNO8S_RS01130,WP_044951633.1,glycosyltransferase family 2 protein
ACNO8S_RS01135,WP_420182799.1,hypothetical protein
ACNO8S_RS01140,NA,polysaccharide deacetylase family protein
ACNO8S_RS01145,WP_233425843.1,right-handed parallel beta-helix repeat-containing protein
ACNO8S_RS01150,WP_050037473.1,twin-arginine translocation signal domain-containing protein
ACNO8S_RS01155,WP_420182355.1,glycosyltransferase family 4 protein
ACNO8S_RS01160,WP_023843105.1,oligosaccharide flippase family protein
ACNO8S_RS01165,WP_014039365.1,DUF354 domain-containing protein
ACNO8S_RS01170,WP_225308064.1,DUF1616 domain-containing protein
ACNO8S_RS01175,WP_228841583.1,hypothetical protein
ACNO8S_RS01180,WP_420182356.1,hypothetical protein
ACNO8S_RS01185,WP_151144593.1,DUF424 domain-containing protein
ACNO8S_RS01190,WP_014039369.1,tetratricopeptide repeat protein
ACNO8S_RS01195,WP_023843107.1,hypothetical protein
ACNO8S_RS01200,WP_151144590.1,RNA 2'%2C3'-cyclic phosphodiesterase
ACNO8S_RS01205,WP_014039371.1,ZIP family metal transporter
ACNO8S_RS01210,WP_129756201.1,hypothetical protein
ACNO8S_RS01215,WP_004518346.1,50S ribosomal protein L39e
ACNO8S_RS01220,WP_004518347.1,50S ribosomal protein L31e
ACNO8S_RS01225,WP_064287345.1,translation initiation factor IF-6
ACNO8S_RS01230,WP_023843110.1,hypothetical protein
ACNO8S_RS01235,WP_014039374.1,hypothetical protein
ACNO8S_RS01240,WP_004594032.1,50S ribosomal protein L18Ae
ACNO8S_RS01245,WP_014039375.1,prefoldin subunit alpha
ACNO8S_RS01250,WP_050007681.1,signal recognition particle-docking protein FtsY
ACNO8S_RS01255,WP_079980820.1,hypothetical protein
ACNO8S_RS01260,WP_420182357.1,cell wall anchor protein
ACNO8S_RS01265,WP_420182358.1,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
ACNO8S_RS01270,WP_420182359.1,cupin domain-containing protein
ACNO8S_RS01275,WP_420182360.1,AEC family transporter
ACNO8S_RS01280,WP_014039382.1,signal recognition particle protein Srp54
ACNO8S_RS01285,WP_014039383.1,universal stress protein
ACNO8S_RS01290,WP_050037480.1,thioredoxin family protein
ACNO8S_RS01295,WP_014039385.1,ABC transporter ATP-binding protein
ACNO8S_RS01300,WP_014039386.1,ABC transporter ATP-binding protein
ACNO8S_RS01305,WP_064287357.1,branched-chain amino acid ABC transporter permease
ACNO8S_RS01310,WP_014039388.1,branched-chain amino acid ABC transporter permease
ACNO8S_RS01315,WP_014039389.1,substrate-binding protein
ACNO8S_RS01320,WP_420182361.1,DUF7537 family lipoprotein
ACNO8S_RS01325,WP_014039391.1,magnesium transporter
ACNO8S_RS01330,WP_014039392.1,magnesium transporter
ACNO8S_RS01335,WP_064287358.1,hypothetical protein
ACNO8S_RS01340,WP_014039394.1,GNAT family N-acetyltransferase
ACNO8S_RS01345,WP_014039395.1,CBS domain-containing protein
ACNO8S_RS01350,WP_044952137.1,lamin tail domain-containing protein
ACNO8S_RS01355,WP_146418001.1,molybdopterin-dependent oxidoreductase
ACNO8S_RS01360,WP_014039398.1,hypothetical protein
ACNO8S_RS01365,WP_420182362.1,HAD family hydrolase
ACNO8S_RS01370,WP_014039400.1,RNA-binding domain-containing protein
ACNO8S_RS01375,WP_050037486.1,AAA family ATPase
ACNO8S_RS01380,WP_004594002.1,polyprenyl synthetase family protein
ACNO8S_RS01385,WP_420182363.1,electron transfer flavoprotein subunit alpha/FixB family protein
ACNO8S_RS01390,WP_008311121.1,electron transfer flavoprotein subunit beta/FixA family protein
ACNO8S_RS01395,WP_014039403.1,helix-turn-helix transcriptional regulator
ACNO8S_RS01400,WP_023843112.1,DUF7096 domain-containing protein
ACNO8S_RS01405,WP_008311118.1,methyltransferase domain-containing protein
ACNO8S_RS01410,WP_129755962.1,ATP synthase archaeal subunit H
ACNO8S_RS01415,WP_050037489.1,V-type ATP synthase subunit I
ACNO8S_RS01420,WP_008311113.1,F0F1 ATP synthase subunit C
ACNO8S_RS01425,WP_008311110.1,V-type ATP synthase subunit E
ACNO8S_RS01430,WP_014039407.1,V-type ATP synthase subunit C
ACNO8S_RS01435,WP_014039408.1,V-type ATP synthase subunit F
ACNO8S_RS01440,WP_050037491.1,ATP synthase subunit A
ACNO8S_RS01445,WP_014039410.1,ATP synthase subunit B
ACNO8S_RS01450,WP_023843114.1,bacteriorhodopsin
ACNO8S_RS01455,WP_004593983.1,V-type ATP synthase subunit D
ACNO8S_RS01460,WP_420182364.1,DUF6276 family protein
ACNO8S_RS01465,WP_050037492.1,peptide chain release factor aRF-1
ACNO8S_RS01470,WP_050037493.1,MinD/ParA family ATP-binding protein
ACNO8S_RS01475,WP_050037494.1,helix-turn-helix domain-containing protein
ACNO8S_RS01480,WP_420182365.1,alpha/beta fold hydrolase
ACNO8S_RS01485,WP_151144560.1,arginine--tRNA ligase
ACNO8S_RS01490,WP_420182366.1,site-2 protease family protein
ACNO8S_RS01495,WP_050007567.1,universal stress protein
ACNO8S_RS01500,WP_014039419.1,hypothetical protein
ACNO8S_RS01505,WP_420182367.1,lysine--tRNA ligase
ACNO8S_RS01510,WP_014039421.1,UMP kinase
ACNO8S_RS01515,WP_004518404.1,DUF7123 family protein
ACNO8S_RS01520,WP_191449656.1,site-2 protease family protein
ACNO8S_RS01525,WP_151102870.1,thiamine-phosphate kinase
ACNO8S_RS01530,WP_064287374.1,lysylphosphatidylglycerol synthase transmembrane domain-containing protein
ACNO8S_RS01535,WP_050007718.1,30S ribosomal protein S19e
ACNO8S_RS01540,WP_014039426.1,DNA-binding protein
ACNO8S_RS01545,WP_420182368.1,DUF7411 family protein
ACNO8S_RS01550,WP_014039428.1,RAD55 family ATPase
ACNO8S_RS01555,WP_420182369.1,histidine--tRNA ligase
ACNO8S_RS01560,WP_014039430.1,SHOCT domain-containing protein
ACNO8S_RS01565,WP_014039431.1,hypothetical protein
ACNO8S_RS01570,WP_014039432.1,GNAT family N-acetyltransferase
ACNO8S_RS01575,WP_191449659.1,tRNA pseudouridine(38-40) synthase TruA
ACNO8S_RS01580,WP_191449660.1,oligoendopeptidase F
ACNO8S_RS01585,WP_420182370.1,proteasome-activating nucleotidase Pan2
ACNO8S_RS01590,WP_146417985.1,PQQ-binding-like beta-propeller repeat protein
ACNO8S_RS01595,WP_014039437.1,pyruvoyl-dependent arginine decarboxylase
ACNO8S_RS01600,WP_004518427.1,DUF5811 family protein
ACNO8S_RS01605,WP_050037510.1,hypothetical protein
ACNO8S_RS01610,WP_058990875.1,translation initiation factor IF-2
ACNO8S_RS01615,WP_420182371.1,plastocyanin/azurin family copper-binding protein
ACNO8S_RS01620,WP_004518435.1,PRC-barrel domain-containing protein
ACNO8S_RS01625,WP_014039441.1,NOB1 family endonuclease
ACNO8S_RS01630,WP_050007795.1,CopG family transcriptional regulator
ACNO8S_RS01635,WP_050037512.1,CPBP family intramembrane glutamic endopeptidase
ACNO8S_RS01640,WP_420182372.1,glucose-6-phosphate isomerase
ACNO8S_RS01645,WP_050007796.1,hypothetical protein
ACNO8S_RS01650,WP_420182373.1,DUF5812 family protein
ACNO8S_RS01655,WP_420182374.1,hypothetical protein
ACNO8S_RS01660,WP_014039448.1,protein translocase subunit SecF
ACNO8S_RS01665,WP_129755985.1,preprotein translocase subunit SecD
ACNO8S_RS01670,WP_420182375.1,ribonuclease HII
ACNO8S_RS01675,WP_014039451.1,tRNA pseudouridine(54/55) synthase Pus10
ACNO8S_RS01680,WP_050037517.1,mechanosensitive ion channel family protein
ACNO8S_RS01685,WP_050037518.1,undecaprenyl-diphosphate phosphatase
ACNO8S_RS01690,WP_014039454.1,DUF4382 domain-containing protein
ACNO8S_RS01695,WP_008311015.1,CheF family chemotaxis protein
ACNO8S_RS01700,WP_064287508.1,hypothetical protein
ACNO8S_RS01705,WP_014039456.1,hypothetical protein
ACNO8S_RS01710,WP_014039457.1,universal stress protein
ACNO8S_RS01715,WP_420182376.1,sodium:solute symporter family transporter
ACNO8S_RS01720,WP_420182377.1,DUF4212 domain-containing protein
ACNO8S_RS01725,WP_050037520.1,acetate--CoA ligase
ACNO8S_RS01730,WP_420182378.1,bacterio-opsin activator domain-containing protein
ACNO8S_RS01735,WP_420182379.1,acetate--CoA ligase
ACNO8S_RS01740,WP_014039463.1,CheF family chemotaxis protein
ACNO8S_RS01745,WP_050037523.1,bifunctional sugar-1-phosphate nucleotidylyltransferase/acetyltransferase
ACNO8S_RS01750,WP_014039465.1,glutamine--fructose-6-phosphate transaminase (isomerizing)
ACNO8S_RS01755,WP_014039466.1,sugar transferase
ACNO8S_RS01760,WP_014039467.1,UTP--glucose-1-phosphate uridylyltransferase AglF
ACNO8S_RS01765,WP_064287517.1,UDP-glucose 6-dehydrogenase AglM
ACNO8S_RS01770,WP_420182380.1,hypothetical protein
ACNO8S_RS01775,WP_420182381.1,hypothetical protein
ACNO8S_RS01780,WP_420182382.1,STT3 domain-containing protein
ACNO8S_RS01785,WP_420182383.1,NAD-dependent epimerase/dehydratase family protein
ACNO8S_RS01790,WP_420182384.1,NAD-dependent epimerase/dehydratase family protein
ACNO8S_RS01795,WP_420182385.1,NAD-dependent epimerase/dehydratase family protein
ACNO8S_RS01800,WP_420182386.1,GDP-mannose mannosyl hydrolase
ACNO8S_RS01810,WP_004964360.1,SWIM zinc finger family protein
ACNO8S_RS01815,WP_058992735.1,hypothetical protein
ACNO8S_RS01820,WP_420182779.1,ribbon-helix-helix domain-containing protein
ACNO8S_RS01825,WP_420182387.1,hypothetical protein
ACNO8S_RS01830,WP_058992730.1,hypothetical protein
ACNO8S_RS01835,WP_058992728.1,hypothetical protein
ACNO8S_RS01840,WP_154021006.1,hypothetical protein
ACNO8S_RS01845,WP_058992725.1,hypothetical protein
ACNO8S_RS01850,WP_058992723.1,hypothetical protein
ACNO8S_RS01855,WP_058992721.1,hypothetical protein
ACNO8S_RS01860,WP_064287524.1,hypothetical protein
ACNO8S_RS01865,WP_336357625.1,hypothetical protein
ACNO8S_RS01870,WP_420182388.1,hypothetical protein
ACNO8S_RS01875,WP_101349220.1,hypothetical protein
ACNO8S_RS01880,WP_420182389.1,hypothetical protein
ACNO8S_RS01885,WP_420182390.1,hypothetical protein
ACNO8S_RS01890,WP_064287529.1,hypothetical protein
ACNO8S_RS01895,WP_191907484.1,hypothetical protein
ACNO8S_RS01900,WP_420182391.1,hypothetical protein
ACNO8S_RS01905,WP_420182392.1,hypothetical protein
ACNO8S_RS01910,WP_420182393.1,hypothetical protein
ACNO8S_RS01915,WP_121303816.1,site-specific integrase
ACNO8S_RS01920,WP_420182394.1,DUF7557 family protein
ACNO8S_RS01925,WP_191449902.1,type II toxin-antitoxin system VapC family toxin
ACNO8S_RS01930,WP_420182395.1,hypothetical protein
ACNO8S_RS01935,WP_420182396.1,MarR family transcriptional regulator
ACNO8S_RS01940,WP_058992702.1,hypothetical protein
ACNO8S_RS01945,WP_420182397.1,hypothetical protein
ACNO8S_RS01950,WP_058992698.1,DUF7389 domain-containing protein
ACNO8S_RS01955,WP_191449904.1,tyrosine-type recombinase/integrase
ACNO8S_RS01960,WP_420182398.1,hypothetical protein
ACNO8S_RS01965,WP_014039477.1,tRNA (pseudouridine(54)-N(1))-methyltransferase TrmY
ACNO8S_RS01970,WP_420182399.1,hypothetical protein
ACNO8S_RS01975,WP_255355512.1,hypothetical protein
ACNO8S_RS01980,WP_064287544.1,NUDIX hydrolase
ACNO8S_RS01985,WP_014039480.1,hypothetical protein
ACNO8S_RS01990,WP_014039481.1,tRNA guanosine(15) transglycosylase TgtA
ACNO8S_RS01995,WP_014039482.1,NAD-dependent epimerase/dehydratase family protein
ACNO8S_RS02000,WP_174878662.1,alginate lyase family protein
ACNO8S_RS02005,WP_064287547.1,archaeosine synthase subunit alpha
ACNO8S_RS02010,WP_014039485.1,VanZ family protein
ACNO8S_RS02015,WP_014039486.1,archaeosine biosynthesis radical SAM protein RaSEA
ACNO8S_RS02020,WP_050037534.1,TOBE domain-containing protein
ACNO8S_RS02025,WP_064287550.1,substrate-binding domain-containing protein
ACNO8S_RS02030,WP_014039489.1,ABC transporter permease
ACNO8S_RS02035,WP_014039490.1,phosphate ABC transporter ATP-binding protein
ACNO8S_RS02040,WP_420182400.1,phosphoribosylformylglycinamidine synthase I
ACNO8S_RS02045,WP_014039492.1,phosphoribosylformylglycinamidine synthase subunit PurS
ACNO8S_RS02050,WP_023843121.1,GAF domain-containing protein
ACNO8S_RS02055,WP_014039494.1,formyltetrahydrofolate deformylase
ACNO8S_RS02060,WP_014039495.1,phosphoribosylaminoimidazolesuccinocarboxamide synthase
ACNO8S_RS02065,WP_050038269.1,sodium:calcium antiporter
