"Pathway","KO","protein_id","gene","product","Description"
"map00010","K01895","WP_420183025.1","ACNO8S_RS19505","AMP-binding protein","Glycolysis / Gluconeogenesis"
"map00010","K15778","WP_420182180.1","ACNO8S_RS14695","phosphoglucosamine mutase","Glycolysis / Gluconeogenesis"
"map00010","K00161","WP_014039819.1","ACNO8S_RS04055","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Glycolysis / Gluconeogenesis"
"map00010","K03841","WP_151103345.1","ACNO8S_RS06660","class 1 fructose-bisphosphatase","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_420182379.1","ACNO8S_RS01735","acetate--CoA ligase","Glycolysis / Gluconeogenesis"
"map00010","K01895","WP_151103525.1","ACNO8S_RS09160","acyl-CoA synthetase","Glycolysis / Gluconeogenesis"
"map00010","K00162","WP_050036576.1","ACNO8S_RS19570","alpha-ketoacid dehydrogenase subunit beta","Glycolysis / Gluconeogenesis"
"map00010","K00016","WP_014041705.1","ACNO8S_RS15465","malate dehydrogenase","Glycolysis / Gluconeogenesis"
"map00010","K01810","WP_420182372.1","ACNO8S_RS01640","glucose-6-phosphate isomerase","Glycolysis / Gluconeogenesis"
"map00020","K00382","WP_420183029.1","ACNO8S_RS19580","dihydrolipoyl dehydrogenase","Citrate cycle (TCA cycle)"
"map00020","K00239","WP_014040516.1","ACNO8S_RS08040","FAD-binding protein","Citrate cycle (TCA cycle)"
"map00020","K00627","WP_050037403.1","ACNO8S_RS00395","dihydrolipoamide acetyltransferase family protein","Citrate cycle (TCA cycle)"
"map00020","K01903","WP_014040054.1","ACNO8S_RS05395","ADP-forming succinate--CoA ligase subunit beta","Citrate cycle (TCA cycle)"
"map00020","K00382","WP_420182311.1","ACNO8S_RS00385","dihydrolipoyl dehydrogenase","Citrate cycle (TCA cycle)"
"map00020","K27802","WP_014041311.1","ACNO8S_RS12880","aconitate hydratase","Citrate cycle (TCA cycle)"
"map00020","K00175","WP_151103327.1","ACNO8S_RS06395","2-oxoacid:ferredoxin oxidoreductase subunit beta","Citrate cycle (TCA cycle)"
"map00020","K00162","WP_050036576.1","ACNO8S_RS19570","alpha-ketoacid dehydrogenase subunit beta","Citrate cycle (TCA cycle)"
"map00020","K01902","WP_014040053.1","ACNO8S_RS05390","succinate--CoA ligase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00240","WP_129755225.1","ACNO8S_RS08015","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","Citrate cycle (TCA cycle)"
"map00020","K00161","WP_420182312.1","ACNO8S_RS00405","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K27802","WP_044952865.1","ACNO8S_RS17215","hypothetical protein","Citrate cycle (TCA cycle)"
"map00020","K00161","WP_014039819.1","ACNO8S_RS04055","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K01659","WP_014041557.1","ACNO8S_RS14640","citrate synthase","Citrate cycle (TCA cycle)"
"map00020","K00239","WP_151103053.1","ACNO8S_RS04020","L-aspartate oxidase","Citrate cycle (TCA cycle)"
"map00020","K00174","WP_151146412.1","ACNO8S_RS06390","2-oxoacid:acceptor oxidoreductase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00161","WP_050036575.1","ACNO8S_RS19565","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00241","WP_420182776.1","ACNO8S_RS08005","succinate dehydrogenase-2C cytochrome b556 subunit","Citrate cycle (TCA cycle)"
"map00020","K00175","WP_008313341.1","ACNO8S_RS08825","thiamine pyrophosphate-dependent enzyme","Citrate cycle (TCA cycle)"
"map00020","K00627","WP_420183028.1","ACNO8S_RS19575","dihydrolipoamide acetyltransferase family protein","Citrate cycle (TCA cycle)"
"map00020","K01679","WP_014039729.1","ACNO8S_RS03505","class II fumarate hydratase","Citrate cycle (TCA cycle)"
"map00020","K00174","WP_014040648.1","ACNO8S_RS08820","2-oxoacid:acceptor oxidoreductase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00031","WP_014039605.1","ACNO8S_RS02770","isocitrate dehydrogenase (NADP(+))","Citrate cycle (TCA cycle)"
"map00030","K00948","WP_050037253.1","ACNO8S_RS15200","ribose-phosphate diphosphokinase","Pentose phosphate pathway"
"map00030","K11645","WP_004962592.1","ACNO8S_RS04950","class I fructose-bisphosphate aldolase","Pentose phosphate pathway"
"map00030","K11529","WP_420182953.1","ACNO8S_RS16905","glycerate kinase type-2 family protein","Pentose phosphate pathway"
"map00030","K00033","WP_014041329.1","ACNO8S_RS12980","phosphogluconate dehydrogenase (NAD(+)-dependent-2C decarboxylating)","Pentose phosphate pathway"
"map00030","K00874","WP_420182636.1","ACNO8S_RS05830","bifunctional 2-dehydro-3-deoxygluconokinase/2-dehydro-3-deoxygalactonokinase","Pentose phosphate pathway"
"map00030","K26208","WP_044951743.1","ACNO8S_RS04520","carbohydrate kinase family protein","Pentose phosphate pathway"
"map00030","K01625","WP_420182358.1","ACNO8S_RS01265","bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase","Pentose phosphate pathway"
"map00030","K01810","WP_420182372.1","ACNO8S_RS01640","glucose-6-phosphate isomerase","Pentose phosphate pathway"
"map00030","K01807","WP_420182200.1","ACNO8S_RS14925","ribose-5-phosphate isomerase RpiA","Pentose phosphate pathway"
"map00030","K16306","WP_420181946.1","ACNO8S_RS11635","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Pentose phosphate pathway"
"map00030","K22969","WP_050038076.1","ACNO8S_RS07315","glucose 1-dehydrogenase","Pentose phosphate pathway"
"map00030","K05308","WP_014040150.1","ACNO8S_RS05940","mandelate racemase/muconate lactonizing enzyme family protein","Pentose phosphate pathway"
"map00030","K03738","WP_420182007.1","ACNO8S_RS12330","aldehyde ferredoxin oxidoreductase family protein","Pentose phosphate pathway"
"map00030","K00874","WP_420182188.1","ACNO8S_RS14820","sugar kinase","Pentose phosphate pathway"
"map00030","K03738","WP_420182016.1","ACNO8S_RS12445","aldehyde ferredoxin oxidoreductase family protein","Pentose phosphate pathway"
"map00030","K22969","WP_420183024.1","ACNO8S_RS19480","glucose 1-dehydrogenase","Pentose phosphate pathway"
"map00030","K03841","WP_151103345.1","ACNO8S_RS06660","class 1 fructose-bisphosphatase","Pentose phosphate pathway"
"map00030","K01619","WP_146417570.1","ACNO8S_RS02815","deoxyribose-phosphate aldolase","Pentose phosphate pathway"
"map00030","K03738","WP_420181811.1","ACNO8S_RS09055","aldehyde ferredoxin oxidoreductase family protein","Pentose phosphate pathway"
"map00030","K15778","WP_420182180.1","ACNO8S_RS14695","phosphoglucosamine mutase","Pentose phosphate pathway"
"map00030","K03841","WP_004960905.1","ACNO8S_RS08225","class 1 fructose-bisphosphatase","Pentose phosphate pathway"
"map00040","K00012","WP_064287517.1","ACNO8S_RS01765","UDP-glucose 6-dehydrogenase AglM","Pentose and glucuronate interconversions"
"map00040","K01628","WP_420182959.1","ACNO8S_RS16960","class II aldolase/adducin family protein","Pentose and glucuronate interconversions"
"map00040","K00848","WP_420182960.1","ACNO8S_RS16965","rhamnulokinase","Pentose and glucuronate interconversions"
"map00040","K00008","WP_146417796.1","ACNO8S_RS16980","NAD(P)-dependent alcohol dehydrogenase","Pentose and glucuronate interconversions"
"map00040","K14259","WP_050007238.1","ACNO8S_RS09150","fumarylacetoacetate hydrolase family protein","Pentose and glucuronate interconversions"
"map00040","K22187","WP_014039292.1","ACNO8S_RS00780","aldehyde dehydrogenase family protein","Pentose and glucuronate interconversions"
"map00051","K11645","WP_004962592.1","ACNO8S_RS04950","class I fructose-bisphosphate aldolase","Fructose and mannose metabolism"
"map00051","K02770","WP_191449129.1","ACNO8S_RS16825","PTS fructose transporter subunit IIB","Fructose and mannose metabolism"
"map00051","K03841","WP_004960905.1","ACNO8S_RS08225","class 1 fructose-bisphosphatase","Fructose and mannose metabolism"
"map00051","K01803","WP_004515640.1","ACNO8S_RS05090","triose-phosphate isomerase","Fructose and mannose metabolism"
"map00051","K16306","WP_420181946.1","ACNO8S_RS11635","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Fructose and mannose metabolism"
"map00051","K03841","WP_151103345.1","ACNO8S_RS06660","class 1 fructose-bisphosphatase","Fructose and mannose metabolism"
"map00051","K00008","WP_146417796.1","ACNO8S_RS16980","NAD(P)-dependent alcohol dehydrogenase","Fructose and mannose metabolism"
"map00051","K02770","WP_014031166.1","ACNO8S_RS16805","PTS fructose transporter subunit IIC","Fructose and mannose metabolism"
"map00051","K00882","WP_420182576.1","ACNO8S_RS04940","1-phosphofructokinase","Fructose and mannose metabolism"
"map00051","K01628","WP_420182959.1","ACNO8S_RS16960","class II aldolase/adducin family protein","Fructose and mannose metabolism"
"map00051","K15778","WP_420182180.1","ACNO8S_RS14695","phosphoglucosamine mutase","Fructose and mannose metabolism"
"map00051","K27475","WP_420182577.1","ACNO8S_RS04945","hypothetical protein","Fructose and mannose metabolism"
"map00051","K00848","WP_420182960.1","ACNO8S_RS16965","rhamnulokinase","Fructose and mannose metabolism"
"map00052","K01784","WP_191449516.1","ACNO8S_RS07030","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00052","K05308","WP_014040150.1","ACNO8S_RS05940","mandelate racemase/muconate lactonizing enzyme family protein","Galactose metabolism"
"map00052","K01182","WP_420182544.1","ACNO8S_RS04405","glycoside hydrolase family 13 protein","Galactose metabolism"
"map00052","K01784","WP_420182383.1","ACNO8S_RS01785","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00052","K01684","WP_420182349.1","ACNO8S_RS00930","galactonate dehydratase","Galactose metabolism"
"map00052","K01684","WP_420182962.1","ACNO8S_RS16975","galactonate dehydratase","Galactose metabolism"
"map00052","K01784","WP_420182297.1","ACNO8S_RS00180","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00052","K15778","WP_420182180.1","ACNO8S_RS14695","phosphoglucosamine mutase","Galactose metabolism"
"map00052","K25026","WP_420182637.1","ACNO8S_RS05840","ROK family protein","Galactose metabolism"
"map00052","K01684","WP_014030872.1","ACNO8S_RS19470","galactonate dehydratase","Galactose metabolism"
"map00052","K01784","WP_420183006.1","ACNO8S_RS16900","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00052","K01187","WP_420182182.1","ACNO8S_RS14735","glycoside hydrolase family 97 catalytic domain-containing protein","Galactose metabolism"
"map00052","K01193","WP_420181854.1","ACNO8S_RS09875","GH32 C-terminal domain-containing protein","Galactose metabolism"
"map00052","K01784","WP_014040068.1","ACNO8S_RS05475","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00053","K14259","WP_050007238.1","ACNO8S_RS09150","fumarylacetoacetate hydrolase family protein","Ascorbate and aldarate metabolism"
"map00053","K00128","WP_420183014.1","ACNO8S_RS19340","aldehyde dehydrogenase family protein","Ascorbate and aldarate metabolism"
"map00053","K08679","WP_044951575.1","ACNO8S_RS00130","SDR family oxidoreductase","Ascorbate and aldarate metabolism"
"map00053","K00128","WP_014039867.1","ACNO8S_RS04290","aldehyde dehydrogenase family protein","Ascorbate and aldarate metabolism"
"map00053","K18981","WP_014041409.1","ACNO8S_RS13710","NAD-dependent glucose-6-phosphate dehydrogenase Azf","Ascorbate and aldarate metabolism"
"map00053","K00128","WP_420181984.1","ACNO8S_RS12060","aldehyde dehydrogenase family protein","Ascorbate and aldarate metabolism"
"map00053","K00012","WP_064287517.1","ACNO8S_RS01765","UDP-glucose 6-dehydrogenase AglM","Ascorbate and aldarate metabolism"
"map00061","K00059","WP_420182725.1","ACNO8S_RS07260","beta-ketoacyl-ACP reductase","Fatty acid biosynthesis"
"map00061","K01897","WP_129755219.1","ACNO8S_RS07940","AMP-dependent synthetase/ligase","Fatty acid biosynthesis"
"map00061","K01897","WP_420182910.1","ACNO8S_RS17990","bacteriohemerythrin","Fatty acid biosynthesis"
"map00061","K11263","WP_050036543.1","ACNO8S_RS19270","acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha","Fatty acid biosynthesis"
"map00061","K11263","WP_023843149.1","ACNO8S_RS03390","acetyl-CoA carboxylase biotin carboxylase subunit","Fatty acid biosynthesis"
"map00061","K00059","WP_050038446.1","ACNO8S_RS18345","SDR family NAD(P)-dependent oxidoreductase","Fatty acid biosynthesis"
"map00061","K00059","WP_014039064.1","ACNO8S_RS15630","SDR family oxidoreductase","Fatty acid biosynthesis"
"map00061","K00059","WP_050037425.1","ACNO8S_RS00630","SDR family oxidoreductase","Fatty acid biosynthesis"
"map00071","K00128","WP_420181984.1","ACNO8S_RS12060","aldehyde dehydrogenase family protein","Fatty acid degradation"
"map00071","K00249","WP_050036542.1","ACNO8S_RS19265","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K00001","WP_420181986.1","ACNO8S_RS12070","zinc-dependent alcohol dehydrogenase family protein","Fatty acid degradation"
"map00071","K00626","WP_420182461.1","ACNO8S_RS03130","thiolase family protein","Fatty acid degradation"
"map00071","K00128","WP_014039867.1","ACNO8S_RS04290","aldehyde dehydrogenase family protein","Fatty acid degradation"
"map00071","K00248","WP_420182693.1","ACNO8S_RS06700","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K00248","WP_050038008.1","ACNO8S_RS06650","acyl-CoA dehydrogenase","Fatty acid degradation"
"map00071","K00248","WP_008313353.1","ACNO8S_RS08795","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K01897","WP_420182910.1","ACNO8S_RS17990","bacteriohemerythrin","Fatty acid degradation"
"map00071","K00626","WP_420183015.1","ACNO8S_RS19360","thiolase domain-containing protein","Fatty acid degradation"
"map00071","K00128","WP_420183014.1","ACNO8S_RS19340","aldehyde dehydrogenase family protein","Fatty acid degradation"
"map00071","K00632","WP_023843054.1","ACNO8S_RS15960","thiolase family protein","Fatty acid degradation"
"map00071","K00001","WP_014039859.1","ACNO8S_RS04250","zinc-dependent alcohol dehydrogenase family protein","Fatty acid degradation"
"map00071","K00626","WP_151148314.1","ACNO8S_RS19210","thiolase C-terminal domain-containing protein","Fatty acid degradation"
"map00071","K00626","WP_008309110.1","ACNO8S_RS07375","thiolase domain-containing protein","Fatty acid degradation"
"map00071","K00249","WP_420181991.1","ACNO8S_RS12095","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K00626","WP_014040363.1","ACNO8S_RS07230","thiolase C-terminal domain-containing protein","Fatty acid degradation"
"map00071","K00632","WP_420183016.1","ACNO8S_RS19370","thiolase family protein","Fatty acid degradation"
"map00071","K00252","WP_420181983.1","ACNO8S_RS12055","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K00248","WP_014040344.1","ACNO8S_RS07125","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K01897","WP_129755219.1","ACNO8S_RS07940","AMP-dependent synthetase/ligase","Fatty acid degradation"
"map00071","K00248","WP_050037012.1","ACNO8S_RS12115","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00100","K00801","WP_014040800.1","ACNO8S_RS09860","phytoene/squalene synthase family protein","Steroid biosynthesis"
"map00130","K02548","WP_151103373.1","ACNO8S_RS06985","1-2C4-dihydroxy-2-naphthoate polyprenyltransferase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K02551","WP_420182706.1","ACNO8S_RS06945","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K01661","WP_420182707.1","ACNO8S_RS06960","1-2C4-dihydroxy-2-naphthoyl-CoA synthase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K02552","WP_420182705.1","ACNO8S_RS06940","isochorismate synthase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K01911","WP_420182709.1","ACNO8S_RS06975","AMP-binding protein","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00190","K02120","WP_004593983.1","ACNO8S_RS01455","V-type ATP synthase subunit D","Oxidative phosphorylation"
"map00190","K00240","WP_129755225.1","ACNO8S_RS08015","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","Oxidative phosphorylation"
"map00190","K03885","WP_420181808.1","ACNO8S_RS08985","NAD(P)/FAD-dependent oxidoreductase","Oxidative phosphorylation"
"map00190","K02257","WP_050037667.1","ACNO8S_RS03580","heme o synthase","Oxidative phosphorylation"
"map00190","K00241","WP_420182776.1","ACNO8S_RS08005","succinate dehydrogenase-2C cytochrome b556 subunit","Oxidative phosphorylation"
"map00190","K02122","WP_014039408.1","ACNO8S_RS01435","V-type ATP synthase subunit F","Oxidative phosphorylation"
"map00190","K00343","WP_420181850.1","ACNO8S_RS09800","NADH-quinone oxidoreductase subunit N","Oxidative phosphorylation"
"map00190","K00335","WP_420182927.1","ACNO8S_RS18270","NADH-ubiquinone oxidoreductase-F iron-sulfur binding region domain-containing protein","Oxidative phosphorylation"
"map00190","K03885","WP_420182611.1","ACNO8S_RS05485","NAD(P)/FAD-dependent oxidoreductase","Oxidative phosphorylation"
"map00190","K02275","WP_014040347.1","ACNO8S_RS07145","cytochrome c oxidase subunit II","Oxidative phosphorylation"
"map00190","K02276","WP_014040736.1","ACNO8S_RS09385","cytochrome c oxidase subunit 3","Oxidative phosphorylation"
"map00190","K00339","WP_004591678.1","ACNO8S_RS09775","NADH-quinone oxidoreductase subunit J","Oxidative phosphorylation"
"map00190","K00425","WP_050036509.1","ACNO8S_RS18960","cytochrome ubiquinol oxidase subunit I","Oxidative phosphorylation"
"map00190","K02275","WP_044952043.1","ACNO8S_RS13740","cytochrome c oxidase subunit II","Oxidative phosphorylation"
"map00190","K02274","WP_420182918.1","ACNO8S_RS18145","cbb3-type cytochrome c oxidase subunit I","Oxidative phosphorylation"
"map00190","K02121","WP_008311110.1","ACNO8S_RS01425","V-type ATP synthase subunit E","Oxidative phosphorylation"
"map00190","K02124","WP_008311113.1","ACNO8S_RS01420","F0F1 ATP synthase subunit C","Oxidative phosphorylation"
"map00190","K02274","WP_014040560.1","ACNO8S_RS08290","b(o/a)3-type cytochrome-c oxidase subunit 1","Oxidative phosphorylation"
"map00190","K02275","WP_014040559.1","ACNO8S_RS08285","cytochrome c oxidase subunit II","Oxidative phosphorylation"
"map00190","K02119","WP_014039407.1","ACNO8S_RS01430","V-type ATP synthase subunit C","Oxidative phosphorylation"
"map00190","K00937","WP_050038433.1","ACNO8S_RS18180","polyphosphate kinase 1","Oxidative phosphorylation"
"map00190","K02275","WP_050037666.1","ACNO8S_RS03575","cytochrome c oxidase subunit II","Oxidative phosphorylation"
"map00190","K02118","WP_014039410.1","ACNO8S_RS01445","ATP synthase subunit B","Oxidative phosphorylation"
"map00190","K00337","WP_014040786.1","ACNO8S_RS09765","complex I subunit 1/NuoH family protein","Oxidative phosphorylation"
"map00190","K00239","WP_151103053.1","ACNO8S_RS04020","L-aspartate oxidase","Oxidative phosphorylation"
"map00190","K02274","WP_050038059.1","ACNO8S_RS07150","DUF6789 family protein","Oxidative phosphorylation"
"map00190","K00342","WP_014040790.1","ACNO8S_RS09795","complex I subunit 4 family protein","Oxidative phosphorylation"
"map00190","K03941","WP_004518194.1","ACNO8S_RS09770","NuoI/complex I 23 kDa subunit family protein","Oxidative phosphorylation"
"map00190","K00341","WP_014040789.1","ACNO8S_RS09790","NADH-quinone oxidoreductase subunit L","Oxidative phosphorylation"
"map00190","K00239","WP_014040516.1","ACNO8S_RS08040","FAD-binding protein","Oxidative phosphorylation"
"map00190","K02274","WP_014040655.1","ACNO8S_RS08860","cytochrome c oxidase subunit I","Oxidative phosphorylation"
"map00190","K03885","WP_420181856.1","ACNO8S_RS09915","NAD(P)/FAD-dependent oxidoreductase","Oxidative phosphorylation"
"map00190","K02123","WP_050037489.1","ACNO8S_RS01415","V-type ATP synthase subunit I","Oxidative phosphorylation"
"map00190","K02276","WP_420182719.1","ACNO8S_RS07160","cytochrome c oxidase subunit 3","Oxidative phosphorylation"
"map00190","K02117","WP_050037491.1","ACNO8S_RS01440","ATP synthase subunit A","Oxidative phosphorylation"
"map00190","K00426","WP_023842943.1","ACNO8S_RS18955","cytochrome d ubiquinol oxidase subunit II","Oxidative phosphorylation"
"map00190","K01507","WP_004593839.1","ACNO8S_RS02285","inorganic diphosphatase","Oxidative phosphorylation"
"map00190","K02274","WP_420182107.1","ACNO8S_RS13745","cbb3-type cytochrome c oxidase subunit I","Oxidative phosphorylation"
"map00190","K13378","WP_014040785.1","ACNO8S_RS09760","NADH-quinone oxidoreductase subunit D","Oxidative phosphorylation"
"map00190","K02259","WP_008312570.1","ACNO8S_RS11060","COX15/CtaA family protein","Oxidative phosphorylation"
"map00190","K00340","WP_014040788.1","ACNO8S_RS09785","NADH-quinone oxidoreductase subunit NuoK","Oxidative phosphorylation"
"map00220","K01915","WP_336331118.1","ACNO8S_RS19670","gamma-glutamylputrescine synthetase","Arginine biosynthesis"
"map00220","K00812","WP_008308436.1","ACNO8S_RS19540","pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis"
"map00220","K05831","WP_420182235.1","ACNO8S_RS15355","[LysW]-lysine hydrolase","Arginine biosynthesis"
"map00220","K05829","WP_008307210.1","ACNO8S_RS15370","N-acetyl-gamma-glutamyl-phosphate reductase","Arginine biosynthesis"
"map00220","K01428","WP_420182984.1","ACNO8S_RS17280","urease subunit alpha","Arginine biosynthesis"
"map00220","K23265","WP_420182400.1","ACNO8S_RS02040","phosphoribosylformylglycinamidine synthase I","Arginine biosynthesis"
"map00220","K00261","WP_050038380.1","ACNO8S_RS17525","Glu/Leu/Phe/Val family dehydrogenase","Arginine biosynthesis"
"map00220","K01755","WP_050037274.1","ACNO8S_RS15385","argininosuccinate lyase","Arginine biosynthesis"
"map00220","K01940","WP_420182238.1","ACNO8S_RS15390","argininosuccinate synthase","Arginine biosynthesis"
"map00220","K01476","WP_014040067.1","ACNO8S_RS05470","arginase","Arginine biosynthesis"
"map00220","K00261","WP_008309650.1","ACNO8S_RS05755","glutamate dehydrogenase GdhB","Arginine biosynthesis"
"map00220","K00261","WP_420182689.1","ACNO8S_RS06680","Glu/Leu/Phe/Val family dehydrogenase","Arginine biosynthesis"
"map00220","K00611","WP_155120743.1","ACNO8S_RS08150","DUF7556 family protein","Arginine biosynthesis"
"map00220","K01438","WP_129755584.1","ACNO8S_RS12600","M20 family metallopeptidase","Arginine biosynthesis"
"map00220","K00812","WP_146417132.1","ACNO8S_RS09700","pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis"
"map00220","K01915","WP_014039093.1","ACNO8S_RS15805","type I glutamate--ammonia ligase","Arginine biosynthesis"
"map00220","K01476","WP_049942903.1","ACNO8S_RS05760","arginase","Arginine biosynthesis"
"map00220","K01429","WP_064289084.1","ACNO8S_RS17275","urease subunit beta","Arginine biosynthesis"
"map00220","K00812","WP_014039664.1","ACNO8S_RS03120","pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis"
"map00220","K01430","WP_014031070.1","ACNO8S_RS17285","urease subunit gamma","Arginine biosynthesis"
"map00220","K00261","WP_420183001.1","ACNO8S_RS17510","glutamate dehydrogenase GdhB","Arginine biosynthesis"
"map00220","K00812","WP_014040207.1","ACNO8S_RS06270","pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis"
"map00220","K05828","WP_420182237.1","ACNO8S_RS15365","acetylglutamate/acetylaminoadipate kinase","Arginine biosynthesis"
