Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HA|WP_014031012.1,HA,WP_014031012.1,None
HA|WP_014031013.1,HA,WP_014031013.1,None
HA|WP_014031015.1,HA,WP_014031015.1,None
HA|WP_014031018.1,HA,WP_014031018.1,None
HA|WP_014031024.1,HA,WP_014031024.1,None
HA|WP_014031043.1,HA,WP_014031043.1,None
HA|WP_014031044.1,HA,WP_014031044.1,None
HA|WP_014031046.1,HA,WP_014031046.1,None
HA|WP_014031050.1,HA,WP_014031050.1,None
HA|WP_014031092.1,HA,WP_014031092.1,None
HA|WP_014031096.1,HA,WP_014031096.1,None
HA|WP_014031107.1,HA,WP_014031107.1,None
HA|WP_014031109.1,HA,WP_014031109.1,None
HA|WP_014031114.1,HA,WP_014031114.1,None
HA|WP_014031117.1,HA,WP_014031117.1,None
HA|WP_014031118.1,HA,WP_014031118.1,None
HA|WP_014031137.1,HA,WP_014031137.1,None
HA|WP_014031168.1,HA,WP_014031168.1,None
HA|WP_014031182.1,HA,WP_014031182.1,None
HA|WP_014031189.1,HA,WP_014031189.1,None
HA|WP_014031191.1,HA,WP_014031191.1,None
HA|WP_014031192.1,HA,WP_014031192.1,None
HA|WP_014031209.1,HA,WP_014031209.1,None
HA|WP_014031224.1,HA,WP_014031224.1,None
HA|WP_014031234.1,HA,WP_014031234.1,None
HA|WP_014031250.1,HA,WP_014031250.1,None
HA|WP_014031253.1,HA,WP_014031253.1,None
HA|WP_014031267.1,HA,WP_014031267.1,None
HA|WP_014031268.1,HA,WP_014031268.1,None
HA|WP_014031272.1,HA,WP_014031272.1,None
HA|WP_014031274.1,HA,WP_014031274.1,None
HA|WP_014031275.1,HA,WP_014031275.1,None
HA|WP_014031293.1,HA,WP_014031293.1,None
HA|WP_014031294.1,HA,WP_014031294.1,None
HA|WP_014031309.1,HA,WP_014031309.1,None
HA|WP_014031320.1,HA,WP_014031320.1,None
HA|WP_014031321.1,HA,WP_014031321.1,None
HA|WP_014031322.1,HA,WP_014031322.1,None
HA|WP_014031323.1,HA,WP_014031323.1,None
HA|WP_014031325.1,HA,WP_014031325.1,None
HA|WP_014031334.1,HA,WP_014031334.1,None
HA|WP_014039048.1,HA,WP_014039048.1,None
HA|WP_014039060.1,HA,WP_014039060.1,None
HA|WP_014039068.1,HA,WP_014039068.1,None
HA|WP_014039076.1,HA,WP_014039076.1,None
HA|WP_014039086.1,HA,WP_014039086.1,None
HA|WP_014039088.1,HA,WP_014039088.1,None
HA|WP_014039108.1,HA,WP_014039108.1,None
HA|WP_014039112.1,HA,WP_014039112.1,None
HA|WP_014039115.1,HA,WP_014039115.1,None
HA|WP_014039119.1,HA,WP_014039119.1,None
HA|WP_014039121.1,HA,WP_014039121.1,None
HA|WP_014039123.1,HA,WP_014039123.1,None
HA|WP_014039125.1,HA,WP_014039125.1,None
HA|WP_014039133.1,HA,WP_014039133.1,None
HA|WP_014039134.1,HA,WP_014039134.1,None
HA|WP_014039142.1,HA,WP_014039142.1,None
HA|WP_014039145.1,HA,WP_014039145.1,None
HA|WP_014039172.1,HA,WP_014039172.1,None
HA|WP_014039173.1,HA,WP_014039173.1,None
HA|WP_014039216.1,HA,WP_014039216.1,None
HA|WP_014039234.1,HA,WP_014039234.1,None
HA|WP_014039244.1,HA,WP_014039244.1,None
HA|WP_014039249.1,HA,WP_014039249.1,None
HA|WP_014039258.1,HA,WP_014039258.1,None
HA|WP_014039273.1,HA,WP_014039273.1,None
HA|WP_014039278.1,HA,WP_014039278.1,None
HA|WP_014039283.1,HA,WP_014039283.1,None
HA|WP_014039286.1,HA,WP_014039286.1,None
HA|WP_014039293.1,HA,WP_014039293.1,None
HA|WP_014039328.1,HA,WP_014039328.1,None
HA|WP_014039329.1,HA,WP_014039329.1,None
HA|WP_014039331.1,HA,WP_014039331.1,None
HA|WP_014039340.1,HA,WP_014039340.1,None
HA|WP_014039342.1,HA,WP_014039342.1,None
HA|WP_014039350.1,HA,WP_014039350.1,None
HA|WP_014039353.1,HA,WP_014039353.1,None
HA|WP_014039354.1,HA,WP_014039354.1,None
HA|WP_014039355.1,HA,WP_014039355.1,None
HA|WP_014039356.1,HA,WP_014039356.1,None
HA|WP_014039357.1,HA,WP_014039357.1,None
HA|WP_014039374.1,HA,WP_014039374.1,None
HA|WP_014039375.1,HA,WP_014039375.1,None
HA|WP_014039383.1,HA,WP_014039383.1,None
HA|WP_014039389.1,HA,WP_014039389.1,None
HA|WP_014039395.1,HA,WP_014039395.1,None
HA|WP_014039398.1,HA,WP_014039398.1,None
HA|WP_014039403.1,HA,WP_014039403.1,None
HA|WP_014039419.1,HA,WP_014039419.1,None
HA|WP_014039428.1,HA,WP_014039428.1,None
HA|WP_014039430.1,HA,WP_014039430.1,None
HA|WP_014039431.1,HA,WP_014039431.1,None
HA|WP_014039432.1,HA,WP_014039432.1,None
HA|WP_014039454.1,HA,WP_014039454.1,None
HA|WP_014039456.1,HA,WP_014039456.1,None
HA|WP_014039466.1,HA,WP_014039466.1,None
HA|WP_014039480.1,HA,WP_014039480.1,None
HA|WP_014039482.1,HA,WP_014039482.1,None
HA|WP_014039485.1,HA,WP_014039485.1,None
HA|WP_014039490.1,HA,WP_014039490.1,None
HA|WP_014039538.1,HA,WP_014039538.1,None
HA|WP_014039548.1,HA,WP_014039548.1,None
HA|WP_014039549.1,HA,WP_014039549.1,None
HA|WP_014039566.1,HA,WP_014039566.1,None
HA|WP_014039578.1,HA,WP_014039578.1,None
HA|WP_014039579.1,HA,WP_014039579.1,None
HA|WP_014039582.1,HA,WP_014039582.1,None
HA|WP_014039589.1,HA,WP_014039589.1,None
HA|WP_014039593.1,HA,WP_014039593.1,None
HA|WP_014039604.1,HA,WP_014039604.1,None
HA|WP_014039609.1,HA,WP_014039609.1,None
HA|WP_014039616.1,HA,WP_014039616.1,None
HA|WP_014039617.1,HA,WP_014039617.1,None
HA|WP_014039624.1,HA,WP_014039624.1,None
HA|WP_014039628.1,HA,WP_014039628.1,None
HA|WP_014039639.1,HA,WP_014039639.1,None
HA|WP_014039641.1,HA,WP_014039641.1,None
HA|WP_014039646.1,HA,WP_014039646.1,None
HA|WP_014039655.1,HA,WP_014039655.1,None
HA|WP_014039667.1,HA,WP_014039667.1,None
HA|WP_014039674.1,HA,WP_014039674.1,None
HA|WP_014039682.1,HA,WP_014039682.1,None
HA|WP_014039735.1,HA,WP_014039735.1,None
HA|WP_014039742.1,HA,WP_014039742.1,None
HA|WP_014039755.1,HA,WP_014039755.1,None
HA|WP_014039759.1,HA,WP_014039759.1,None
HA|WP_014039787.1,HA,WP_014039787.1,None
HA|WP_014039793.1,HA,WP_014039793.1,None
HA|WP_014039804.1,HA,WP_014039804.1,None
HA|WP_014039820.1,HA,WP_014039820.1,None
HA|WP_014039838.1,HA,WP_014039838.1,None
HA|WP_014039844.1,HA,WP_014039844.1,None
HA|WP_014039855.1,HA,WP_014039855.1,None
HA|WP_014039891.1,HA,WP_014039891.1,None
HA|WP_014039904.1,HA,WP_014039904.1,None
HA|WP_014039916.1,HA,WP_014039916.1,None
HA|WP_014039927.1,HA,WP_014039927.1,None
HA|WP_014039930.1,HA,WP_014039930.1,None
HA|WP_014039944.1,HA,WP_014039944.1,None
HA|WP_014039956.1,HA,WP_014039956.1,None
HA|WP_014039966.1,HA,WP_014039966.1,None
HA|WP_014039976.1,HA,WP_014039976.1,None
HA|WP_014039998.1,HA,WP_014039998.1,None
HA|WP_014040030.1,HA,WP_014040030.1,None
HA|WP_014040040.1,HA,WP_014040040.1,None
HA|WP_014040047.1,HA,WP_014040047.1,None
HA|WP_014040056.1,HA,WP_014040056.1,None
HA|WP_014040066.1,HA,WP_014040066.1,None
HA|WP_014040074.1,HA,WP_014040074.1,None
HA|WP_014040080.1,HA,WP_014040080.1,None
HA|WP_014040085.1,HA,WP_014040085.1,None
HA|WP_014040109.1,HA,WP_014040109.1,None
HA|WP_014040113.1,HA,WP_014040113.1,None
HA|WP_014040126.1,HA,WP_014040126.1,None
HA|WP_014040132.1,HA,WP_014040132.1,None
HA|WP_014040151.1,HA,WP_014040151.1,None
HA|WP_014040168.1,HA,WP_014040168.1,None
HA|WP_014040201.1,HA,WP_014040201.1,None
HA|WP_014040221.1,HA,WP_014040221.1,None
HA|WP_014040227.1,HA,WP_014040227.1,None
HA|WP_014040247.1,HA,WP_014040247.1,None
HA|WP_014040250.1,HA,WP_014040250.1,None
HA|WP_014040258.1,HA,WP_014040258.1,None
HA|WP_014040322.1,HA,WP_014040322.1,None
HA|WP_014040359.1,HA,WP_014040359.1,None
HA|WP_014040361.1,HA,WP_014040361.1,None
HA|WP_014040364.1,HA,WP_014040364.1,None
HA|WP_014040373.1,HA,WP_014040373.1,None
HA|WP_014040375.1,HA,WP_014040375.1,None
HA|WP_014040380.1,HA,WP_014040380.1,None
HA|WP_014040394.1,HA,WP_014040394.1,None
HA|WP_014040412.1,HA,WP_014040412.1,None
HA|WP_014040429.1,HA,WP_014040429.1,None
HA|WP_014040431.1,HA,WP_014040431.1,None
HA|WP_014040447.1,HA,WP_014040447.1,None
HA|WP_014040453.1,HA,WP_014040453.1,None
HA|WP_014040465.1,HA,WP_014040465.1,None
HA|WP_014040470.1,HA,WP_014040470.1,None
HA|WP_014040471.1,HA,WP_014040471.1,None
HA|WP_014040523.1,HA,WP_014040523.1,None
HA|WP_014040529.1,HA,WP_014040529.1,None
HA|WP_014040537.1,HA,WP_014040537.1,None
HA|WP_014040558.1,HA,WP_014040558.1,None
HA|WP_014040561.1,HA,WP_014040561.1,None
HA|WP_014040565.1,HA,WP_014040565.1,None
HA|WP_014040596.1,HA,WP_014040596.1,None
HA|WP_014040618.1,HA,WP_014040618.1,None
HA|WP_014040619.1,HA,WP_014040619.1,None
HA|WP_014040631.1,HA,WP_014040631.1,None
HA|WP_014040633.1,HA,WP_014040633.1,None
HA|WP_014040637.1,HA,WP_014040637.1,None
HA|WP_014040644.1,HA,WP_014040644.1,None
HA|WP_014040668.1,HA,WP_014040668.1,None
HA|WP_014040671.1,HA,WP_014040671.1,None
HA|WP_014040675.1,HA,WP_014040675.1,None
HA|WP_014040677.1,HA,WP_014040677.1,None
HA|WP_014040683.1,HA,WP_014040683.1,None
HA|WP_014040693.1,HA,WP_014040693.1,None
HA|WP_014040694.1,HA,WP_014040694.1,None
HA|WP_014040696.1,HA,WP_014040696.1,None
HA|WP_014040701.1,HA,WP_014040701.1,None
HA|WP_014040704.1,HA,WP_014040704.1,None
HA|WP_014040706.1,HA,WP_014040706.1,None
HA|WP_014040709.1,HA,WP_014040709.1,None
HA|WP_014040726.1,HA,WP_014040726.1,None
HA|WP_014040730.1,HA,WP_014040730.1,None
HA|WP_014040741.1,HA,WP_014040741.1,None
HA|WP_014040745.1,HA,WP_014040745.1,None
HA|WP_014040748.1,HA,WP_014040748.1,None
HA|WP_014040755.1,HA,WP_014040755.1,None
HA|WP_014040763.1,HA,WP_014040763.1,None
HA|WP_014040764.1,HA,WP_014040764.1,None
HA|WP_014040787.1,HA,WP_014040787.1,None
HA|WP_014040801.1,HA,WP_014040801.1,None
HA|WP_014040813.1,HA,WP_014040813.1,None
HA|WP_014040814.1,HA,WP_014040814.1,None
HA|WP_014040827.1,HA,WP_014040827.1,None
HA|WP_014040880.1,HA,WP_014040880.1,None
HA|WP_014040883.1,HA,WP_014040883.1,None
HA|WP_014040888.1,HA,WP_014040888.1,None
HA|WP_014040890.1,HA,WP_014040890.1,None
HA|WP_014040891.1,HA,WP_014040891.1,None
HA|WP_014040892.1,HA,WP_014040892.1,None
HA|WP_014040894.1,HA,WP_014040894.1,None
HA|WP_014040896.1,HA,WP_014040896.1,None
HA|WP_014040912.1,HA,WP_014040912.1,None
HA|WP_014040916.1,HA,WP_014040916.1,None
HA|WP_014040934.1,HA,WP_014040934.1,None
HA|WP_014040936.1,HA,WP_014040936.1,None
HA|WP_014040942.1,HA,WP_014040942.1,None
HA|WP_014040950.1,HA,WP_014040950.1,None
HA|WP_014040972.1,HA,WP_014040972.1,None
HA|WP_014040973.1,HA,WP_014040973.1,None
HA|WP_014040987.1,HA,WP_014040987.1,None
HA|WP_014041000.1,HA,WP_014041000.1,None
HA|WP_014041003.1,HA,WP_014041003.1,None
HA|WP_014041011.1,HA,WP_014041011.1,None
HA|WP_014041014.1,HA,WP_014041014.1,None
HA|WP_014041041.1,HA,WP_014041041.1,None
HA|WP_014041061.1,HA,WP_014041061.1,None
HA|WP_014041062.1,HA,WP_014041062.1,None
HA|WP_014041067.1,HA,WP_014041067.1,None
HA|WP_014041070.1,HA,WP_014041070.1,None
HA|WP_014041082.1,HA,WP_014041082.1,None
HA|WP_014041085.1,HA,WP_014041085.1,None
HA|WP_014041096.1,HA,WP_014041096.1,None
HA|WP_014041136.1,HA,WP_014041136.1,None
HA|WP_014041146.1,HA,WP_014041146.1,None
HA|WP_014041147.1,HA,WP_014041147.1,None
HA|WP_014041151.1,HA,WP_014041151.1,None
HA|WP_014041225.1,HA,WP_014041225.1,None
HA|WP_014041238.1,HA,WP_014041238.1,None
HA|WP_014041268.1,HA,WP_014041268.1,None
HA|WP_014041283.1,HA,WP_014041283.1,None
HA|WP_014041297.1,HA,WP_014041297.1,None
HA|WP_014041318.1,HA,WP_014041318.1,None
HA|WP_014041321.1,HA,WP_014041321.1,None
HA|WP_014041325.1,HA,WP_014041325.1,None
HA|WP_014041335.1,HA,WP_014041335.1,None
HA|WP_014041378.1,HA,WP_014041378.1,None
HA|WP_014041386.1,HA,WP_014041386.1,None
HA|WP_014041393.1,HA,WP_014041393.1,None
HA|WP_014041401.1,HA,WP_014041401.1,None
HA|WP_014041416.1,HA,WP_014041416.1,None
HA|WP_014041424.1,HA,WP_014041424.1,None
HA|WP_014041427.1,HA,WP_014041427.1,None
HA|WP_014041440.1,HA,WP_014041440.1,None
HA|WP_014041443.1,HA,WP_014041443.1,None
HA|WP_014041479.1,HA,WP_014041479.1,None
HA|WP_014041491.1,HA,WP_014041491.1,None
HA|WP_014041498.1,HA,WP_014041498.1,None
HA|WP_014041510.1,HA,WP_014041510.1,None
HA|WP_014041519.1,HA,WP_014041519.1,None
HA|WP_014041526.1,HA,WP_014041526.1,None
HA|WP_014041551.1,HA,WP_014041551.1,None
HA|WP_014041554.1,HA,WP_014041554.1,None
HA|WP_014041573.1,HA,WP_014041573.1,None
HA|WP_014041577.1,HA,WP_014041577.1,None
HA|WP_014041585.1,HA,WP_014041585.1,None
HA|WP_014041586.1,HA,WP_014041586.1,None
HA|WP_014041598.1,HA,WP_014041598.1,None
HA|WP_014041663.1,HA,WP_014041663.1,None
HA|WP_014041693.1,HA,WP_014041693.1,None
HA|WP_014041697.1,HA,WP_014041697.1,None
HA|WP_023842880.1,HA,WP_023842880.1,None
HA|WP_023842882.1,HA,WP_023842882.1,None
HA|WP_023842890.1,HA,WP_023842890.1,None
HA|WP_023842893.1,HA,WP_023842893.1,None
HA|WP_023842902.1,HA,WP_023842902.1,None
HA|WP_023842904.1,HA,WP_023842904.1,None
HA|WP_023842926.1,HA,WP_023842926.1,None
HA|WP_023842934.1,HA,WP_023842934.1,None
HA|WP_023842947.1,HA,WP_023842947.1,None
HA|WP_023842963.1,HA,WP_023842963.1,None
HA|WP_023842980.1,HA,WP_023842980.1,None
HA|WP_023842982.1,HA,WP_023842982.1,None
HA|WP_023842983.1,HA,WP_023842983.1,None
HA|WP_023843005.1,HA,WP_023843005.1,None
HA|WP_023843018.1,HA,WP_023843018.1,None
HA|WP_023843050.1,HA,WP_023843050.1,None
HA|WP_023843068.1,HA,WP_023843068.1,None
HA|WP_023843070.1,HA,WP_023843070.1,None
HA|WP_023843095.1,HA,WP_023843095.1,None
HA|WP_023843099.1,HA,WP_023843099.1,None
HA|WP_023843100.1,HA,WP_023843100.1,None
HA|WP_023843102.1,HA,WP_023843102.1,None
HA|WP_023843105.1,HA,WP_023843105.1,None
HA|WP_023843107.1,HA,WP_023843107.1,None
HA|WP_023843112.1,HA,WP_023843112.1,None
HA|WP_023843121.1,HA,WP_023843121.1,None
HA|WP_023843132.1,HA,WP_023843132.1,None
HA|WP_023843134.1,HA,WP_023843134.1,None
HA|WP_023843140.1,HA,WP_023843140.1,None
HA|WP_023843142.1,HA,WP_023843142.1,None
HA|WP_023843143.1,HA,WP_023843143.1,None
HA|WP_023843165.1,HA,WP_023843165.1,None
HA|WP_023843170.1,HA,WP_023843170.1,None
HA|WP_023843175.1,HA,WP_023843175.1,None
HA|WP_023843184.1,HA,WP_023843184.1,None
HA|WP_023843188.1,HA,WP_023843188.1,None
HA|WP_023843189.1,HA,WP_023843189.1,None
HA|WP_023843192.1,HA,WP_023843192.1,None
HA|WP_023843195.1,HA,WP_023843195.1,None
HA|WP_023843212.1,HA,WP_023843212.1,None
HA|WP_023843222.1,HA,WP_023843222.1,None
HA|WP_023843227.1,HA,WP_023843227.1,None
HA|WP_023843290.1,HA,WP_023843290.1,None
HA|WP_023843293.1,HA,WP_023843293.1,None
HA|WP_023843295.1,HA,WP_023843295.1,None
HA|WP_023843297.1,HA,WP_023843297.1,None
HA|WP_023843307.1,HA,WP_023843307.1,None
HA|WP_023843309.1,HA,WP_023843309.1,None
HA|WP_023843316.1,HA,WP_023843316.1,None
HA|WP_023843318.1,HA,WP_023843318.1,None
HA|WP_023843329.1,HA,WP_023843329.1,None
HA|WP_023843340.1,HA,WP_023843340.1,None
HA|WP_023843365.1,HA,WP_023843365.1,None
HA|WP_023843402.1,HA,WP_023843402.1,None
HA|WP_023843422.1,HA,WP_023843422.1,None
HA|WP_023843424.1,HA,WP_023843424.1,None
HA|WP_023843450.1,HA,WP_023843450.1,None
HA|WP_023843457.1,HA,WP_023843457.1,None
HA|WP_023843459.1,HA,WP_023843459.1,None
HA|WP_023843462.1,HA,WP_023843462.1,None
HA|WP_023843468.1,HA,WP_023843468.1,None
HA|WP_044951571.1,HA,WP_044951571.1,None
HA|WP_044951612.1,HA,WP_044951612.1,None
HA|WP_044951633.1,HA,WP_044951633.1,None
HA|WP_044951686.1,HA,WP_044951686.1,None
HA|WP_044951716.1,HA,WP_044951716.1,None
HA|WP_044951753.1,HA,WP_044951753.1,None
HA|WP_044951813.1,HA,WP_044951813.1,None
HA|WP_044951815.1,HA,WP_044951815.1,None
HA|WP_044951827.1,HA,WP_044951827.1,None
HA|WP_044951868.1,HA,WP_044951868.1,None
HA|WP_044951872.1,HA,WP_044951872.1,None
HA|WP_044951885.1,HA,WP_044951885.1,None
HA|WP_044951905.1,HA,WP_044951905.1,None
HA|WP_044951910.1,HA,WP_044951910.1,None
HA|WP_044951969.1,HA,WP_044951969.1,None
HA|WP_044951976.1,HA,WP_044951976.1,None
HA|WP_044951980.1,HA,WP_044951980.1,None
HA|WP_044952006.1,HA,WP_044952006.1,None
HA|WP_044952010.1,HA,WP_044952010.1,None
HA|WP_044952033.1,HA,WP_044952033.1,None
HA|WP_044952077.1,HA,WP_044952077.1,None
HA|WP_044952137.1,HA,WP_044952137.1,None
HA|WP_044952180.1,HA,WP_044952180.1,None
HA|WP_044952185.1,HA,WP_044952185.1,None
HA|WP_044952195.1,HA,WP_044952195.1,None
HA|WP_044952198.1,HA,WP_044952198.1,None
HA|WP_044952261.1,HA,WP_044952261.1,None
HA|WP_044952285.1,HA,WP_044952285.1,None
HA|WP_044952666.1,HA,WP_044952666.1,None
HA|WP_044952795.1,HA,WP_044952795.1,None
HA|WP_044952797.1,HA,WP_044952797.1,None
HA|WP_044952811.1,HA,WP_044952811.1,None
HA|WP_044952849.1,HA,WP_044952849.1,None
HA|WP_044952851.1,HA,WP_044952851.1,None
HA|WP_049938980.1,HA,WP_049938980.1,None
HA|WP_049938981.1,HA,WP_049938981.1,None
HA|WP_049938994.1,HA,WP_049938994.1,None
HA|WP_049942937.1,HA,WP_049942937.1,None
