"Pathway","KO","protein_id","gene","product","Description"
"map00020","K01903","WP_153553772.1","ACAH01_RS07005","ADP-forming succinate--CoA ligase subunit beta","Citrate cycle (TCA cycle)"
"map00020","K00031","WP_170093607.1","ACAH01_RS13325","NADP-dependent isocitrate dehydrogenase","Citrate cycle (TCA cycle)"
"map00020","K00242","WP_372479125.1","ACAH01_RS10405","succinate dehydrogenase hydrophobic membrane anchor subunit","Citrate cycle (TCA cycle)"
"map00020","K00239","WP_372479552.1","ACAH01_RS13560","L-aspartate oxidase","Citrate cycle (TCA cycle)"
"map00020","K00382","WP_372479408.1","ACAH01_RS12515","NAD(P)/FAD-dependent oxidoreductase","Citrate cycle (TCA cycle)"
"map00020","K00175","WP_170095068.1","ACAH01_RS05220","2-oxoacid:ferredoxin oxidoreductase subunit beta","Citrate cycle (TCA cycle)"
"map00020","K00174","WP_372479068.1","ACAH01_RS09985","2-oxoacid:acceptor oxidoreductase subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K00241","WP_015763031.1","ACAH01_RS10410","succinate dehydrogenase-2C cytochrome b556 subunit","Citrate cycle (TCA cycle)"
"map00020","K00239","WP_153553208.1","ACAH01_RS10395","FAD-binding protein","Citrate cycle (TCA cycle)"
"map00020","K00240","WP_170094079.1","ACAH01_RS10400","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","Citrate cycle (TCA cycle)"
"map00020","K00161","WP_372480819.1","ACAH01_RS01550","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Citrate cycle (TCA cycle)"
"map00020","K01659","WP_372480004.1","ACAH01_RS01385","citrate synthase","Citrate cycle (TCA cycle)"
"map00030","K01807","WP_170093327.1","ACAH01_RS15140","ribose-5-phosphate isomerase RpiA","Pentose phosphate pathway"
"map00030","K16306","WP_153554043.1","ACAH01_RS05465","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Pentose phosphate pathway"
"map00030","K22969","WP_170094254.1","ACAH01_RS09395","glucose 1-dehydrogenase","Pentose phosphate pathway"
"map00030","K15778","WP_372480818.1","ACAH01_RS01305","phosphoglucosamine mutase","Pentose phosphate pathway"
"map00030","K11645","WP_170094613.1","ACAH01_RS07255","class I fructose-bisphosphate aldolase","Pentose phosphate pathway"
"map00030","K01810","WP_372479633.1","ACAH01_RS14205","glucose-6-phosphate isomerase","Pentose phosphate pathway"
"map00030","K11529","WP_372480858.1","ACAH01_RS16585","glycerate kinase","Pentose phosphate pathway"
"map00030","K00033","WP_372480142.1","ACAH01_RS02645","decarboxylating 6-phosphogluconate dehydrogenase","Pentose phosphate pathway"
"map00030","K26208","WP_372480650.1","ACAH01_RS06750","carbohydrate kinase family protein","Pentose phosphate pathway"
"map00030","K05308","WP_170094239.1","ACAH01_RS09490","mandelate racemase/muconate lactonizing enzyme family protein","Pentose phosphate pathway"
"map00030","K01619","WP_372479505.1","ACAH01_RS13230","deoxyribose-phosphate aldolase","Pentose phosphate pathway"
"map00030","K03841","WP_372480562.1","ACAH01_RS06020","class 1 fructose-bisphosphatase","Pentose phosphate pathway"
"map00030","K11645","WP_170094942.1","ACAH01_RS06025","class I fructose-bisphosphate aldolase","Pentose phosphate pathway"
"map00030","K00948","WP_372479957.1","ACAH01_RS01050","ribose-phosphate diphosphokinase","Pentose phosphate pathway"
"map00030","K00874","WP_208625816.1","ACAH01_RS08115","bifunctional 2-dehydro-3-deoxygluconokinase/2-dehydro-3-deoxygalactonokinase","Pentose phosphate pathway"
"map00030","K01625","WP_372479678.1","ACAH01_RS14560","bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase","Pentose phosphate pathway"
"map00030","K00874","WP_372480160.1","ACAH01_RS02785","sugar kinase","Pentose phosphate pathway"
"map00030","K07404","WP_372480724.1","ACAH01_RS07380","lactonase family protein","Pentose phosphate pathway"
"map00040","K00012","WP_372479557.1","ACAH01_RS13605","UDP-glucose 6-dehydrogenase AglM","Pentose and glucuronate interconversions"
"map00040","K22187","WP_372478958.1","ACAH01_RS09060","aldehyde dehydrogenase family protein","Pentose and glucuronate interconversions"
"map00051","K03841","WP_372480562.1","ACAH01_RS06020","class 1 fructose-bisphosphatase","Fructose and mannose metabolism"
"map00051","K27475","WP_372480711.1","ACAH01_RS07260","PfkB family carbohydrate kinase","Fructose and mannose metabolism"
"map00051","K11645","WP_170094613.1","ACAH01_RS07255","class I fructose-bisphosphate aldolase","Fructose and mannose metabolism"
"map00051","K16306","WP_153554043.1","ACAH01_RS05465","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Fructose and mannose metabolism"
"map00051","K15778","WP_372480818.1","ACAH01_RS01305","phosphoglucosamine mutase","Fructose and mannose metabolism"
"map00051","K00882","WP_372480712.1","ACAH01_RS07265","1-phosphofructokinase","Fructose and mannose metabolism"
"map00051","K01803","WP_170094391.1","ACAH01_RS08655","triose-phosphate isomerase","Fructose and mannose metabolism"
"map00051","K11645","WP_170094942.1","ACAH01_RS06025","class I fructose-bisphosphate aldolase","Fructose and mannose metabolism"
"map00052","K01684","WP_372480310.1","ACAH01_RS03995","galactonate dehydratase","Galactose metabolism"
"map00052","K15778","WP_372480818.1","ACAH01_RS01305","phosphoglucosamine mutase","Galactose metabolism"
"map00052","K25026","WP_153553578.1","ACAH01_RS08125","ROK family protein","Galactose metabolism"
"map00052","K01784","WP_372480344.1","ACAH01_RS04210","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00052","K01784","WP_372479148.1","ACAH01_RS10590","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00052","K01684","WP_153554267.1","ACAH01_RS04125","galactonate dehydratase","Galactose metabolism"
"map00052","K05308","WP_170094239.1","ACAH01_RS09490","mandelate racemase/muconate lactonizing enzyme family protein","Galactose metabolism"
"map00052","K01684","WP_372480196.1","ACAH01_RS03070","mandelate racemase/muconate lactonizing enzyme family protein","Galactose metabolism"
"map00052","K01784","WP_372480021.1","ACAH01_RS01510","NAD-dependent epimerase/dehydratase family protein","Galactose metabolism"
"map00052","K01182","WP_372480347.1","ACAH01_RS04230","alpha-glucosidase","Galactose metabolism"
"map00052","K01193","WP_372479214.1","ACAH01_RS11080","GH32 C-terminal domain-containing protein","Galactose metabolism"
"map00052","K01684","WP_372480312.1","ACAH01_RS04005","galactonate dehydratase","Galactose metabolism"
"map00052","K01182","WP_372479007.1","ACAH01_RS09460","alpha-glucosidase","Galactose metabolism"
"map00052","K25026","WP_372479134.1","ACAH01_RS10490","ROK family protein","Galactose metabolism"
"map00052","K01182","WP_372480346.1","ACAH01_RS04225","alpha-glucosidase","Galactose metabolism"
"map00052","K12111","WP_372480852.1","ACAH01_RS16545","glycoside hydrolase family 2 TIM barrel-domain containing protein","Galactose metabolism"
"map00053","K08679","WP_170093562.1","ACAH01_RS13595","SDR family oxidoreductase","Ascorbate and aldarate metabolism"
"map00053","K18981","WP_372480059.1","ACAH01_RS01830","NAD-dependent glucose-6-phosphate dehydrogenase Azf","Ascorbate and aldarate metabolism"
"map00053","K00012","WP_372479557.1","ACAH01_RS13605","UDP-glucose 6-dehydrogenase AglM","Ascorbate and aldarate metabolism"
"map00061","K11263","WP_372480752.1","ACAH01_RS07715","acetyl-CoA carboxylase biotin carboxylase subunit","Fatty acid biosynthesis"
"map00061","K00059","WP_153553319.1","ACAH01_RS09350","beta-ketoacyl-ACP reductase","Fatty acid biosynthesis"
"map00061","K00059","WP_208627608.1","ACAH01_RS00060","beta-ketoacyl-ACP reductase","Fatty acid biosynthesis"
"map00061","K00059","WP_153552027.1","ACAH01_RS00905","SDR family NAD(P)-dependent oxidoreductase","Fatty acid biosynthesis"
"map00061","K00059","WP_372479280.1","ACAH01_RS11590","SDR family NAD(P)-dependent oxidoreductase","Fatty acid biosynthesis"
"map00061","K00059","WP_170093213.1","ACAH01_RS15750","SDR family oxidoreductase","Fatty acid biosynthesis"
"map00061","K01897","WP_372480765.1","ACAH01_RS07820","bacteriohemerythrin","Fatty acid biosynthesis"
"map00061","K01897","WP_170094221.1","ACAH01_RS09590","long-chain fatty acid--CoA ligase","Fatty acid biosynthesis"
"map00061","K00059","WP_372480309.1","ACAH01_RS03990","SDR family NAD(P)-dependent oxidoreductase","Fatty acid biosynthesis"
"map00061","K00059","WP_372480647.1","ACAH01_RS06735","SDR family NAD(P)-dependent oxidoreductase","Fatty acid biosynthesis"
"map00071","K00248","WP_372480463.1","ACAH01_RS05125","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K00632","WP_170093132.1","ACAH01_RS00350","thiolase family protein","Fatty acid degradation"
"map00071","K00626","WP_372478991.1","ACAH01_RS09330","thiolase family protein","Fatty acid degradation"
"map00071","K00626","WP_372480622.1","ACAH01_RS06515","beta-ketoacyl synthase N-terminal-like domain-containing protein","Fatty acid degradation"
"map00071","K00248","WP_372479070.1","ACAH01_RS09995","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K00248","WP_372479122.1","ACAH01_RS10370","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K00248","WP_372480563.1","ACAH01_RS06035","acyl-CoA dehydrogenase","Fatty acid degradation"
"map00071","K01897","WP_372480765.1","ACAH01_RS07820","bacteriohemerythrin","Fatty acid degradation"
"map00071","K00252","WP_372479754.1","ACAH01_RS15230","acyl-CoA dehydrogenase family protein","Fatty acid degradation"
"map00071","K01897","WP_170094221.1","ACAH01_RS09590","long-chain fatty acid--CoA ligase","Fatty acid degradation"
"map00100","K00801","WP_372479965.1","ACAH01_RS01095","phytoene/squalene synthase family protein","Steroid biosynthesis"
"map00100","K00801","WP_372480867.1","ACAH01_RS16655","phytoene/squalene synthase family protein","Steroid biosynthesis"
"map00130","K02552","WP_372480356.1","ACAH01_RS04285","isochorismate synthase MenF","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K01911","WP_372479016.1","ACAH01_RS09520","AMP-binding protein","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K01661","WP_372479013.1","ACAH01_RS09500","1-2C4-dihydroxy-2-naphthoyl-CoA synthase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K02548","WP_372479014.1","ACAH01_RS09510","1-2C4-dihydroxy-2-naphthoate polyprenyltransferase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00130","K02551","WP_372478866.1","ACAH01_RS08245","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase","Ubiquinone and other terpenoid-quinone biosynthesis"
"map00190","K03885","WP_372479095.1","ACAH01_RS10165","NAD(P)/FAD-dependent oxidoreductase","Oxidative phosphorylation"
"map00190","K00337","WP_372479224.1","ACAH01_RS11180","NADH-quinone oxidoreductase subunit H","Oxidative phosphorylation"
"map00190","K00240","WP_170094079.1","ACAH01_RS10400","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","Oxidative phosphorylation"
"map00190","K13378","WP_372480270.1","ACAH01_RS03730","NADH-quinone oxidoreductase subunit D","Oxidative phosphorylation"
"map00190","K00239","WP_372479552.1","ACAH01_RS13560","L-aspartate oxidase","Oxidative phosphorylation"
"map00190","K00239","WP_153553208.1","ACAH01_RS10395","FAD-binding protein","Oxidative phosphorylation"
"map00190","K02274","WP_372479064.1","ACAH01_RS09940","cytochrome c oxidase subunit I","Oxidative phosphorylation"
"map00190","K02275","WP_170094815.1","ACAH01_RS06580","cytochrome c oxidase subunit II","Oxidative phosphorylation"
"map00190","K02274","WP_372480886.1","ACAH01_RS15930","b(o/a)3-type cytochrome-c oxidase subunit 1","Oxidative phosphorylation"
"map00190","K02259","WP_170093794.1","ACAH01_RS12225","COX15/CtaA family protein","Oxidative phosphorylation"
"map00190","K02274","WP_372479193.1","ACAH01_RS10935","cbb3-type cytochrome c oxidase subunit I","Oxidative phosphorylation"
"map00190","K02124","WP_015762244.1","ACAH01_RS14410","hypothetical protein","Oxidative phosphorylation"
"map00190","K02119","WP_170093432.1","ACAH01_RS14400","V-type ATP synthase subunit C","Oxidative phosphorylation"
"map00190","K03940","WP_015762873.1","ACAH01_RS11190","NADH-quinone oxidoreductase subunit B","Oxidative phosphorylation"
"map00190","K03885","WP_170094709.1","ACAH01_RS06895","NAD(P)/FAD-dependent oxidoreductase","Oxidative phosphorylation"
"map00190","K02276","WP_170093983.1","ACAH01_RS10990","heme-copper oxidase subunit III","Oxidative phosphorylation"
"map00190","K02122","WP_153552411.1","ACAH01_RS14395","V-type ATP synthase subunit F","Oxidative phosphorylation"
"map00190","K01507","WP_018258046.1","ACAH01_RS05335","inorganic diphosphatase","Oxidative phosphorylation"
"map00190","K00341","WP_372479223.1","ACAH01_RS11155","NADH-quinone oxidoreductase subunit L","Oxidative phosphorylation"
"map00190","K00343","WP_372479222.1","ACAH01_RS11145","NADH-quinone oxidoreductase subunit N","Oxidative phosphorylation"
"map00190","K02123","WP_170093431.1","ACAH01_RS14415","V-type ATP synthase subunit I","Oxidative phosphorylation"
"map00190","K00241","WP_015763031.1","ACAH01_RS10410","succinate dehydrogenase-2C cytochrome b556 subunit","Oxidative phosphorylation"
"map00190","K03661","WP_372479776.1","ACAH01_RS15410","hypothetical protein","Oxidative phosphorylation"
"map00190","K03941","WP_015762876.1","ACAH01_RS11175","NADH-quinone oxidoreductase subunit I","Oxidative phosphorylation"
"map00190","K00425","WP_372479243.1","ACAH01_RS11325","cytochrome ubiquinol oxidase subunit I","Oxidative phosphorylation"
"map00190","K00242","WP_372479125.1","ACAH01_RS10405","succinate dehydrogenase hydrophobic membrane anchor subunit","Oxidative phosphorylation"
"map00190","K00342","WP_170093946.1","ACAH01_RS11150","NuoM family protein","Oxidative phosphorylation"
"map00190","K02120","WP_372479653.1","ACAH01_RS14365","V-type ATP synthase subunit D","Oxidative phosphorylation"
"map00190","K00340","WP_015762879.1","ACAH01_RS11160","NADH-quinone oxidoreductase subunit NuoK","Oxidative phosphorylation"
"map00190","K02118","WP_153552413.1","ACAH01_RS14385","V-type ATP synthase subunit B","Oxidative phosphorylation"
"map00190","K02257","WP_372480628.1","ACAH01_RS06575","heme o synthase","Oxidative phosphorylation"
"map00190","K13378","WP_170093942.1","ACAH01_RS11185","NADH-quinone oxidoreductase subunit D","Oxidative phosphorylation"
"map00190","K00937","WP_372479334.1","ACAH01_RS11995","polyphosphate kinase 1","Oxidative phosphorylation"
"map00190","K02275","WP_153555088.1","ACAH01_RS15925","cytochrome C oxidase subunit II","Oxidative phosphorylation"
"map00190","K00426","WP_372479242.1","ACAH01_RS11320","cytochrome d ubiquinol oxidase subunit II","Oxidative phosphorylation"
"map00190","K03890","WP_372480782.1","ACAH01_RS07950","ubiquinol-cytochrome c reductase iron-sulfur subunit","Oxidative phosphorylation"
"map00190","K02117","WP_372479656.1","ACAH01_RS14390","ATP synthase subunit A","Oxidative phosphorylation"
"map00220","K23265","WP_208628411.1","ACAH01_RS13635","phosphoribosylformylglycinamidine synthase I","Arginine biosynthesis"
"map00220","K01915","WP_372480900.1","ACAH01_RS16025","gamma-glutamylputrescine synthetase","Arginine biosynthesis"
"map00220","K00261","WP_372480460.1","ACAH01_RS05090","Glu/Leu/Phe/Val dehydrogenase","Arginine biosynthesis"
"map00220","K01476","WP_372480670.1","ACAH01_RS06910","arginase","Arginine biosynthesis"
"map00220","K01955","WP_372479434.1","ACAH01_RS12705","carbamoyl-phosphate synthase large subunit","Arginine biosynthesis"
"map00220","K01438","WP_372480216.1","ACAH01_RS03265","M20 family metallopeptidase","Arginine biosynthesis"
"map00220","K00812","WP_372480541.1","ACAH01_RS05835","pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis"
"map00220","K01956","WP_372479483.1","ACAH01_RS13075","glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","Arginine biosynthesis"
"map00220","K05830","WP_372479901.1","ACAH01_RS00625","aspartate aminotransferase family protein","Arginine biosynthesis"
"map00220","K00261","WP_170092883.1","ACAH01_RS15890","glutamate dehydrogenase GdhB","Arginine biosynthesis"
"map00220","K05831","WP_372479902.1","ACAH01_RS00630","[LysW]-lysine hydrolase","Arginine biosynthesis"
"map00220","K01915","WP_170093148.1","ACAH01_RS00205","type I glutamate--ammonia ligase","Arginine biosynthesis"
"map00220","K01755","WP_372479897.1","ACAH01_RS00600","argininosuccinate lyase","Arginine biosynthesis"
"map00220","K00611","WP_153554847.1","ACAH01_RS00635","ornithine carbamoyltransferase","Arginine biosynthesis"
"map00220","K00261","WP_153554133.1","ACAH01_RS04975","Glu/Leu/Phe/Val dehydrogenase","Arginine biosynthesis"
"map00220","K00812","WP_372479229.1","ACAH01_RS11225","pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis"
"map00220","K05829","WP_372479899.1","ACAH01_RS00615","N-acetyl-gamma-glutamyl-phosphate reductase","Arginine biosynthesis"
"map00220","K00812","WP_372480615.1","ACAH01_RS06460","pyridoxal phosphate-dependent aminotransferase","Arginine biosynthesis"
"map00220","K01940","WP_170093096.1","ACAH01_RS00595","argininosuccinate synthase","Arginine biosynthesis"
"map00220","K05828","WP_372479900.1","ACAH01_RS00620","acetylglutamate/acetylaminoadipate kinase","Arginine biosynthesis"
"map00230","K00602","WP_372480429.1","ACAH01_RS04840","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","Purine metabolism"
"map00230","K19710","WP_372479510.1","ACAH01_RS13295","HIT domain-containing protein","Purine metabolism"
"map00230","K00948","WP_372479957.1","ACAH01_RS01050","ribose-phosphate diphosphokinase","Purine metabolism"
"map00230","K01945","WP_372478969.1","ACAH01_RS09180","phosphoribosylamine--glycine ligase","Purine metabolism"
"map00230","K03787","WP_153553254.1","ACAH01_RS09000","5'/3'-nucleotidase SurE","Purine metabolism"
"map00230","K23269","WP_372479197.1","ACAH01_RS10955","phosphoribosylformylglycinamidine synthase subunit PurL","Purine metabolism"
"map00230","K01939","WP_372480013.1","ACAH01_RS01465","adenylosuccinate synthase","Purine metabolism"
"map00230","K01951","WP_372480370.1","ACAH01_RS04360","GMP synthase subunit A","Purine metabolism"
"map00230","K01588","WP_372479225.1","ACAH01_RS11200","5-(carboxyamino)imidazole ribonucleotide mutase","Purine metabolism"
"map00230","K01519","WP_153552320.1","ACAH01_RS14920","non-canonical purine NTP pyrophosphatase","Purine metabolism"
"map00230","K01951","WP_372479582.1","ACAH01_RS13790","glutamine-hydrolyzing GMP synthase","Purine metabolism"
"map00230","K01923","WP_372479566.1","ACAH01_RS13665","phosphoribosylaminoimidazolesuccinocarboxamide synthase","Purine metabolism"
"map00230","K01951","WP_170093316.1","ACAH01_RS15215","type 1 glutamine amidotransferase","Purine metabolism"
"map00230","K01515","WP_153554718.1","ACAH01_RS01970","NUDIX hydrolase","Purine metabolism"
"map00230","K15778","WP_372480818.1","ACAH01_RS01305","phosphoglucosamine mutase","Purine metabolism"
"map00230","K18532","WP_372478909.1","ACAH01_RS08635","adenylate kinase family protein","Purine metabolism"
"map00230","K01933","WP_372480667.1","ACAH01_RS06855","phosphoribosylformylglycinamidine cyclo-ligase","Purine metabolism"
"map00230","K01515","WP_372480078.1","ACAH01_RS01965","NUDIX hydrolase","Purine metabolism"
"map00230","K00088","WP_372478951.1","ACAH01_RS08985","IMP dehydrogenase","Purine metabolism"
"map00230","K11176","WP_372479960.1","ACAH01_RS01065","IMP cyclohydrolase","Purine metabolism"
"map00230","K01939","WP_372479062.1","ACAH01_RS09915","adenylosuccinate synthase","Purine metabolism"
"map00230","K05873","WP_372478977.1","ACAH01_RS09230","class IV adenylate cyclase","Purine metabolism"
"map00230","K01515","WP_372479551.1","ACAH01_RS13540","NUDIX hydrolase","Purine metabolism"
"map00230","K01756","WP_372480426.1","ACAH01_RS04825","adenylosuccinate lyase","Purine metabolism"
"map00230","K00939","WP_372479377.1","ACAH01_RS12320","adenylate kinase","Purine metabolism"
"map00230","K00764","WP_170094096.1","ACAH01_RS10305","amidophosphoribosyltransferase","Purine metabolism"
"map00230","K00759","WP_153553910.1","ACAH01_RS06235","hypoxanthine/guanine phosphoribosyltransferase","Purine metabolism"
"map00230","K00525","WP_372479354.1","ACAH01_RS12155","adenosylcobalamin-dependent ribonucleoside-diphosphate reductase","Purine metabolism"
"map00230","K23265","WP_208628411.1","ACAH01_RS13635","phosphoribosylformylglycinamidine synthase I","Purine metabolism"
"map00230","K00940","WP_170094582.1","ACAH01_RS07455","nucleoside-diphosphate kinase","Purine metabolism"
"map00240","K00610","WP_153553300.1","ACAH01_RS09245","aspartate carbamoyltransferase regulatory subunit","Pyrimidine metabolism"
"map00240","K00757","WP_170094711.1","ACAH01_RS06890","nucleoside phosphorylase","Pyrimidine metabolism"
"map00240","K00940","WP_170094582.1","ACAH01_RS07455","nucleoside-diphosphate kinase","Pyrimidine metabolism"
"map00240","K00762","WP_372479993.1","ACAH01_RS01320","orotate phosphoribosyltransferase","Pyrimidine metabolism"
"map00240","K00609","WP_170094281.1","ACAH01_RS09250","aspartate carbamoyltransferase","Pyrimidine metabolism"
"map00240","K03787","WP_153553254.1","ACAH01_RS09000","5'/3'-nucleotidase SurE","Pyrimidine metabolism"
"map00240","K00757","WP_372479503.1","ACAH01_RS13215","nucleoside phosphorylase","Pyrimidine metabolism"
"map00240","K00761","WP_170092990.1","ACAH01_RS01215","uracil phosphoribosyltransferase","Pyrimidine metabolism"
"map00240","K01955","WP_372479434.1","ACAH01_RS12705","carbamoyl-phosphate synthase large subunit","Pyrimidine metabolism"
"map00240","K00525","WP_372479354.1","ACAH01_RS12155","adenosylcobalamin-dependent ribonucleoside-diphosphate reductase","Pyrimidine metabolism"
"map00240","K00943","WP_372479573.1","ACAH01_RS13710","dTMP kinase","Pyrimidine metabolism"
"map00240","K00254","WP_372480036.1","ACAH01_RS01610","quinone-dependent dihydroorotate dehydrogenase","Pyrimidine metabolism"
"map00240","K09903","WP_372479647.1","ACAH01_RS14330","UMP kinase","Pyrimidine metabolism"
"map00240","K00560","WP_372480515.1","ACAH01_RS05615","thymidylate synthase","Pyrimidine metabolism"
"map00240","K00945","WP_170093779.1","ACAH01_RS12330","(d)CMP kinase","Pyrimidine metabolism"
"map00240","K00876","WP_170093469.1","ACAH01_RS14145","uridine kinase","Pyrimidine metabolism"
"map00240","K01520","WP_372480072.1","ACAH01_RS01930","deoxyuridine 5'-triphosphate nucleotidohydrolase","Pyrimidine metabolism"
"map00240","K01937","WP_170093527.1","ACAH01_RS13795","glutamine hydrolyzing CTP synthase","Pyrimidine metabolism"
"map00240","K01591","WP_208628734.1","ACAH01_RS11965","orotidine-5'-phosphate decarboxylase","Pyrimidine metabolism"
"map00240","K01489","WP_170094713.1","ACAH01_RS06885","cytidine deaminase","Pyrimidine metabolism"
"map00240","K01465","WP_372480257.1","ACAH01_RS03635","dihydroorotase","Pyrimidine metabolism"
"map00240","K01494","WP_170095198.1","ACAH01_RS04395","dCTP deaminase","Pyrimidine metabolism"
"map00240","K01956","WP_372479483.1","ACAH01_RS13075","glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit","Pyrimidine metabolism"
"map00250","K01756","WP_372480426.1","ACAH01_RS04825","adenylosuccinate lyase","Alanine, aspartate and glutamate metabolism"
"map00250","K00135","WP_372479035.1","ACAH01_RS09710","NAD-dependent succinate-semialdehyde dehydrogenase","Alanine, aspartate and glutamate metabolism"
"map00250","K01915","WP_170093148.1","ACAH01_RS00205","type I glutamate--ammonia ligase","Alanine, aspartate and glutamate metabolism"
