"protein_id","gene","product","KO"
"WP_015763624.1","ACAH01_RS07190","HVO_2753 family zinc finger protein","K07580"
"WP_015763627.1","ACAH01_RS07175","transcription initiation factor IIB family protein","K03124"
"WP_015763675.1","ACAH01_RS06940","DNA topoisomerase IV subunit A","K03166"
"WP_015763690.1","ACAH01_RS06870","DUF555 domain-containing protein","K09731"
"WP_015763808.1","ACAH01_RS06285","Na(+)/H(+) antiporter subunit B","K05566"
"WP_015763809.1","ACAH01_RS06280","cation:proton antiporter subunit C","K05567"
"WP_015763826.1","ACAH01_RS06190","30S ribosomal protein S27e","K02978"
"WP_015763873.1","ACAH01_RS05950","metal-dependent transcriptional regulator","K03709"
"WP_015764032.1","ACAH01_RS05235","transcriptional regulator","K07743"
"WP_018256778.1","ACAH01_RS01695","cold-shock protein","K03704"
"WP_018256786.1","ACAH01_RS01655","Hsp20/alpha crystallin family protein","K13993"
"WP_018258046.1","ACAH01_RS05335","inorganic diphosphatase","K01507"
"WP_018258255.1","ACAH01_RS06905","HTH domain-containing protein","K07744"
"WP_018258275.1","ACAH01_RS07010","succinate--CoA ligase subunit alpha","K01902"
"WP_018258376.1","ACAH01_RS07665","30S ribosomal protein S17e","K02962"
"WP_018259107.1","ACAH01_RS11835","50S ribosomal protein L3","K02906"
"WP_049940679.1","ACAH01_RS04430","50S ribosomal protein L37ae","K02921"
"WP_153552027.1","ACAH01_RS00905","SDR family NAD(P)-dependent oxidoreductase","K00059"
"WP_153552028.1","ACAH01_RS00910","Rid family detoxifying hydrolase","K09022"
"WP_153552064.1","ACAH01_RS01010","chemotaxis protein CheC","K03410"
"WP_153552089.1","ACAH01_RS01140","Holliday junction resolvase Hjc","K03552"
"WP_153552101.1","ACAH01_RS15260","DUF120 domain-containing protein","K07732"
"WP_153552151.1","ACAH01_RS15615","HIT family protein","K02503"
"WP_153552168.1","ACAH01_RS15725","RPA family protein","K09746"
"WP_153552179.1","ACAH01_RS15775","23S rRNA (uridine(2552)-2'-O)-methyltransferase","K02427"
"WP_153552181.1","ACAH01_RS15795","DNA polymerase sliding clamp","K04802"
"WP_153552239.1","ACAH01_RS01295","phosphoribosyl-AMP cyclohydrolase","K01496"
"WP_153552258.1","ACAH01_RS15125","GIY-YIG nuclease family protein","K07461"
"WP_153552306.1","ACAH01_RS14995","VOC family protein","K01759"
"WP_153552320.1","ACAH01_RS14920","non-canonical purine NTP pyrophosphatase","K01519"
"WP_153552327.1","ACAH01_RS14880","DNA repair and recombination protein RadA","K04483"
"WP_153552334.1","ACAH01_RS14840","oligopeptide/dipeptide ABC transporter ATP-binding protein","K12372"
"WP_153552375.1","ACAH01_RS14585","50S ribosomal protein L31e","K02910"
"WP_153552411.1","ACAH01_RS14395","V-type ATP synthase subunit F","K02122"
"WP_153552413.1","ACAH01_RS14385","V-type ATP synthase subunit B","K02118"
"WP_153552430.1","ACAH01_RS14300","DNA-binding protein","K06875"
"WP_153552440.1","ACAH01_RS14250","pyruvoyl-dependent arginine decarboxylase","K02626"
"WP_153552463.1","ACAH01_RS14160","SDR family oxidoreductase","K28138"
"WP_153552473.1","ACAH01_RS14115","cysteine synthase A","K01738"
"WP_153552501.1","ACAH01_RS13910","metalloregulator ArsR/SmtB family transcription factor","K07721"
"WP_153552562.1","ACAH01_RS12820","4a-hydroxytetrahydrobiopterin dehydratase","K01724"
"WP_153552578.1","ACAH01_RS12715","glutamine--fructose-6-phosphate transaminase (isomerizing)","K00820"
"WP_153552681.1","ACAH01_RS13245","tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase","K15865"
"WP_153552684.1","ACAH01_RS13260","ABC transporter ATP-binding protein","K02003"
"WP_153552828.1","ACAH01_RS13495","ABC transporter ATP-binding protein","K01990"
"WP_153552857.1","ACAH01_RS12305","hydroxymethylglutaryl-CoA synthase","K01641"
"WP_153552862.1","ACAH01_RS12280","helix-turn-helix domain-containing protein","K07731"
"WP_153552979.1","ACAH01_RS11815","30S ribosomal protein S19","K02965"
"WP_153552980.1","ACAH01_RS11805","30S ribosomal protein S3","K02982"
"WP_153552982.1","ACAH01_RS11780","50S ribosomal protein L24","K02895"
"WP_153552984.1","ACAH01_RS11770","50S ribosomal protein L5","K02931"
"WP_153552986.1","ACAH01_RS11745","50S ribosomal protein L19e","K02885"
"WP_153553004.1","ACAH01_RS11545","ABC transporter permease","K02033"
"WP_153553031.1","ACAH01_RS11405","precorrin-6Y C5%2C15-methyltransferase (decarboxylating) subunit CbiT","K02191"
"WP_153553063.1","ACAH01_RS11220","6%2C7-dimethyl-8-ribityllumazine synthase","K00794"
"WP_153553089.1","ACAH01_RS11065","ParA family protein","K03496"
"WP_153553108.1","ACAH01_RS10965","imidazole glycerol phosphate synthase subunit HisF","K02500"
"WP_153553208.1","ACAH01_RS10395","FAD-binding protein","K00239"
"WP_153553254.1","ACAH01_RS09000","5'/3'-nucleotidase SurE","K03787"
"WP_153553262.1","ACAH01_RS09035","chorismate mutase","K04093"
"WP_153553300.1","ACAH01_RS09245","aspartate carbamoyltransferase regulatory subunit","K00610"
"WP_153553319.1","ACAH01_RS09350","beta-ketoacyl-ACP reductase","K00059"
"WP_153553336.1","ACAH01_RS09445","TrmB family transcriptional regulator","K23356"
"WP_153553359.1","ACAH01_RS09585","NOP5/NOP56 family protein","K14564"
"WP_153553373.1","ACAH01_RS09635","UPF0179 family protein","K09730"
"WP_153553412.1","ACAH01_RS09855","50S ribosomal protein L11","K02867"
"WP_153553413.1","ACAH01_RS09860","50S ribosomal protein L1","K02863"
"WP_153553420.1","ACAH01_RS09895","CbiX/SirB N-terminal domain-containing protein","K03795"
"WP_153553458.1","ACAH01_RS10130","30S ribosomal protein S3ae","K02984"
"WP_153553493.1","ACAH01_RS08645","multiprotein bridging factor aMBF1","K03627"
"WP_153553494.1","ACAH01_RS08640","CDP-alcohol phosphatidyltransferase family protein","K17884"
"WP_153553510.1","ACAH01_RS08540","RNA-binding protein","K07581"
"WP_153553563.1","ACAH01_RS08210","ABC transporter ATP-binding protein","K01996"
"WP_153553578.1","ACAH01_RS08125","ROK family protein","K25026"
"WP_153553599.1","ACAH01_RS08010","METTL5 family protein","K07579"
"WP_153553667.1","ACAH01_RS07625","30S ribosomal protein S4","K02986"
"WP_153553670.1","ACAH01_RS07585","DNA-directed RNA polymerase subunit K","K03055"
"WP_153553697.1","ACAH01_RS07405","GTP cyclohydrolase III","K08096"
"WP_153553719.1","ACAH01_RS07300","ketol-acid reductoisomerase","K00053"
"WP_153553731.1","ACAH01_RS07235","methionine synthase","K00549"
"WP_153553770.1","ACAH01_RS07020","transcriptional regulator","K09228"
"WP_153553772.1","ACAH01_RS07005","ADP-forming succinate--CoA ligase subunit beta","K01903"
"WP_153553851.1","ACAH01_RS06540","cobalamin B12-binding domain-containing protein","K01849"
"WP_153553910.1","ACAH01_RS06235","hypoxanthine/guanine phosphoribosyltransferase","K00759"
"WP_153553916.1","ACAH01_RS06195","50S ribosomal protein L44e","K02929"
"WP_153553968.1","ACAH01_RS05895","cell division protein FtsZ","K03531"
"WP_153553970.1","ACAH01_RS05880","transcription elongation factor Spt5","K15172"
"WP_153553993.1","ACAH01_RS05745","methylaspartate mutase subunit S","K01846"
"WP_153554007.1","ACAH01_RS05255","HD domain-containing protein","K06950"
"WP_153554010.1","ACAH01_RS05280","DUF371 domain-containing protein","K09738"
"WP_153554021.1","ACAH01_RS05345","tubulin/FtsZ family protein","K22222"
"WP_153554043.1","ACAH01_RS05465","2-amino-3%2C7-dideoxy-D-threo-hept-6-ulosonate synthase","K16306"
"WP_153554044.1","ACAH01_RS05470","3-dehydroquinate synthase II","K11646"
"WP_153554049.1","ACAH01_RS05495","transcription initiation factor IIB family protein","K03124"
"WP_153554123.1","ACAH01_RS05030","phosphoadenosine phosphosulfate reductase family protein","K00390"
"WP_153554133.1","ACAH01_RS04975","Glu/Leu/Phe/Val dehydrogenase","K00261"
"WP_153554182.1","ACAH01_RS04680","tRNA (adenine-N1)-methyltransferase","K07442"
"WP_153554185.1","ACAH01_RS04665","transcription factor S","K03057"
"WP_153554206.1","ACAH01_RS04535","ABC transporter ATP-binding protein","K02003"
"WP_153554213.1","ACAH01_RS04485","bifunctional nuclease family protein","K08999"
"WP_153554226.1","ACAH01_RS04410","archaeal proteasome endopeptidase complex subunit beta","K03433"
"WP_153554227.1","ACAH01_RS04405","archaeal proteasome endopeptidase complex subunit alpha","K03432"
"WP_153554233.1","ACAH01_RS04370","DUF192 domain-containing protein","K09005"
"WP_153554267.1","ACAH01_RS04125","galactonate dehydratase","K01684"
"WP_153554274.1","ACAH01_RS04090","ABC transporter permease","K02034"
"WP_153554343.1","ACAH01_RS03820","cell division protein FtsZ","K03531"
"WP_153554388.1","ACAH01_RS03560","ATPase domain-containing protein","K07331"
"WP_153554404.1","ACAH01_RS03470","protein-glutamate O-methyltransferase CheR","K00575"
"WP_153554409.1","ACAH01_RS03445","30S ribosomal protein S6e","K02991"
"WP_153554451.1","ACAH01_RS03160","archaemetzincin family Zn-dependent metalloprotease","K06974"
"WP_153554454.1","ACAH01_RS03145","ribosome biogenesis/translation initiation ATPase RLI","K06174"
"WP_153554479.1","ACAH01_RS02975","cold-shock protein","K03704"
"WP_153554485.1","ACAH01_RS02945","metallophosphoesterase family protein","K07095"
"WP_153554540.1","ACAH01_RS02655","ZIP family metal transporter","K07238"
"WP_153554543.1","ACAH01_RS02630","2Fe-2S iron-sulfur cluster-binding protein","K02639"
"WP_153554557.1","ACAH01_RS02540","helix-turn-helix transcriptional regulator","K07729"
"WP_153554591.1","ACAH01_RS02380","DNA-directed RNA polymerase subunit B''","K03045"
"WP_153554592.1","ACAH01_RS02375","DNA-directed RNA polymerase subunit H","K03053"
"WP_153554618.1","ACAH01_RS02225","GTPase","K06943"
"WP_153554621.1","ACAH01_RS02210","multidrug efflux SMR transporter","K11741"
"WP_153554622.1","ACAH01_RS02205","phosphoribosyl-ATP diphosphatase","K01523"
"WP_153554681.1","ACAH01_RS01790","histone","K24450"
"WP_153554703.1","ACAH01_RS01915","7-cyano-7-deazaguanine synthase QueC","K06920"
"WP_153554704.1","ACAH01_RS01920","methylglyoxal synthase","K01734"
"WP_153554718.1","ACAH01_RS01970","NUDIX hydrolase","K01515"
"WP_153554778.1","ACAH01_RS00165","KH domain-containing protein","K06961"
"WP_153554800.1","ACAH01_RS00295","rubrerythrin-like domain-containing protein","K09228"
"WP_153554802.1","ACAH01_RS00310","DNA-directed RNA polymerase","K03049"
"WP_153554804.1","ACAH01_RS00320","translation initiation factor IF-2 subunit gamma","K03242"
"WP_153554820.1","ACAH01_RS00425","DUF367 family protein","K09140"
"WP_153554837.1","ACAH01_RS00575","ABC transporter ATP-binding protein","K01990"
"WP_153554847.1","ACAH01_RS00635","ornithine carbamoyltransferase","K00611"
"WP_153555088.1","ACAH01_RS15925","cytochrome C oxidase subunit II","K02275"
"WP_170092425.1","ACAH01_RS04200","glucose-1-phosphate thymidylyltransferase","K00973"
"WP_170092454.1","ACAH01_RS04045","ABC transporter ATP-binding protein","K02032"
"WP_170092456.1","ACAH01_RS04035","ABC transporter permease","K02034"
"WP_170092481.1","ACAH01_RS03885","threonine-phosphate decarboxylase","K04720"
"WP_170092506.1","ACAH01_RS03745","deoxyribonuclease IV","K01151"
"WP_170092516.1","ACAH01_RS03670","S49 family peptidase","K04773"
"WP_170092521.1","ACAH01_RS03640","lipoate--protein ligase family protein","K16869"
"WP_170092538.1","ACAH01_RS03565","type II/IV secretion system ATPase subunit","K07332"
"WP_170092542.1","ACAH01_RS03540","chemotaxis protein CheD","K03411"
"WP_170092549.1","ACAH01_RS03485","chemotaxis protein CheW","K03408"
"WP_170092550.1","ACAH01_RS03480","chemotaxis response regulator protein-glutamate methylesterase","K03412"
"WP_170092553.1","ACAH01_RS03465","HEAT repeat domain-containing protein","K22221"
"WP_170092554.1","ACAH01_RS03460","CheF family chemotaxis protein","K09156"
"WP_170092568.1","ACAH01_RS03340","ribonuclease R family protein","K12573"
"WP_170092572.1","ACAH01_RS03320","50S ribosomal protein L15e","K02877"
"WP_170092586.1","ACAH01_RS03235","gamma-glutamyltransferase","K00681"
"WP_170092591.1","ACAH01_RS03205","energy-coupling factor ABC transporter permease","K02007"
"WP_170092594.1","ACAH01_RS03180","NADPH-dependent F420 reductase","K06988"
"WP_170092611.1","ACAH01_RS03040","IclR family transcriptional regulator","K19333"
"WP_170092613.1","ACAH01_RS03025","carbohydrate ABC transporter permease","K05815"
"WP_170092626.1","ACAH01_RS02920","ABC transporter ATP-binding protein","K19340"
"WP_170092632.1","ACAH01_RS02890","phosphate ABC transporter permease subunit PstC","K02037"
"WP_170092633.1","ACAH01_RS02885","PstS family phosphate ABC transporter substrate-binding protein","K02040"
"WP_170092661.1","ACAH01_RS02710","iron ABC transporter permease","K02015"
"WP_170092662.1","ACAH01_RS02705","ABC transporter ATP-binding protein","K23188"
"WP_170092688.1","ACAH01_RS02515","nitrite/sulfite reductase","K00366"
"WP_170092724.1","ACAH01_RS02465","homoserine dehydrogenase","K00003"
"WP_170092729.1","ACAH01_RS02435","elongation factor EF-2","K03234"
"WP_170092733.1","ACAH01_RS02400","NusA-like transcription termination signal-binding factor","K02600"
"WP_170092734.1","ACAH01_RS02395","DNA-directed RNA polymerase subunit A''","K03042"
"WP_170092735.1","ACAH01_RS02390","DNA-directed RNA polymerase subunit A'","K03041"
"WP_170092736.1","ACAH01_RS02385","DNA-directed RNA polymerase subunit B","K03044"
"WP_170092749.1","ACAH01_RS02300","type II glyceraldehyde-3-phosphate dehydrogenase","K00150"
"WP_170092750.1","ACAH01_RS02295","metallophosphoesterase","K07095"
"WP_170092755.1","ACAH01_RS02270","ABC transporter ATP-binding protein","K02031"
"WP_170092793.1","ACAH01_RS01835","dihydroneopterin aldolase family protein","K09739"
"WP_170092798.1","ACAH01_RS01865","tryptophan synthase subunit beta","K01696"
"WP_170092820.1","ACAH01_RS01985","endonuclease NucS","K07503"
"WP_170092838.1","ACAH01_RS02095","MoxR family ATPase","K03924"
"WP_170092854.1","ACAH01_RS01690","carbonic anhydrase","K01673"
"WP_170092883.1","ACAH01_RS15890","glutamate dehydrogenase GdhB","K00261"
"WP_170092891.1","ACAH01_RS16700","thioredoxin","K03671"
"WP_170092893.1","ACAH01_RS16690","glutamate 5-kinase","K00931"
"WP_170092895.1","ACAH01_RS16680","extracellular solute-binding protein","K02055"
"WP_170092905.1","ACAH01_RS16635","pyridoxamine 5'-phosphate oxidase family protein","K07005"
"WP_170092909.1","ACAH01_RS16615","IclR family transcriptional regulator","K19333"
"WP_170092922.1","ACAH01_RS16550","ABC transporter ATP-binding protein","K10112"
"WP_170092930.1","ACAH01_RS01585","endonuclease NucS domain-containing protein","K03168"
"WP_170092938.1","ACAH01_RS01535","ABC transporter ATP-binding protein","K01990"
"WP_170092962.1","ACAH01_RS01405","threonine ammonia-lyase","K01754"
"WP_170092973.1","ACAH01_RS01315","phosphoribosyltransferase","K07101"
"WP_170092983.1","ACAH01_RS01250","imidazoleglycerol-phosphate dehydratase HisB","K01693"
"WP_170092987.1","ACAH01_RS01230","amino acid-binding protein","K07103"
"WP_170092990.1","ACAH01_RS01215","uracil phosphoribosyltransferase","K00761"
"WP_170092996.1","ACAH01_RS01180","inorganic phosphate transporter","K03306"
"WP_170092997.1","ACAH01_RS01175","hemolysin family protein","K03699"
"WP_170092998.1","ACAH01_RS01165","redoxin domain-containing protein","K24129"
"WP_170092999.1","ACAH01_RS01160","L-threonylcarbamoyladenylate synthase","K07566"
"WP_170093023.1","ACAH01_RS01020","cyclic pyranopterin monophosphate synthase MoaC","K03637"
"WP_170093026.1","ACAH01_RS00995","ammonium transporter","K03320"
"WP_170093039.1","ACAH01_RS00920","radical SAM protein","K07129"
"WP_170093046.1","ACAH01_RS00870","IclR family transcriptional regulator","K21827"
"WP_170093056.1","ACAH01_RS00830","metallophosphoesterase","K07095"
"WP_170093068.1","ACAH01_RS00770","DNA-directed DNA polymerase II small subunit","K02323"
"WP_170093069.1","ACAH01_RS00765","S26 family signal peptidase","K13280"
"WP_170093084.1","ACAH01_RS00670","phosphoglycerate dehydrogenase","K00058"
"WP_170093096.1","ACAH01_RS00595","argininosuccinate synthase","K01940"
"WP_170093103.1","ACAH01_RS00540","PPC domain-containing DNA-binding protein","K06934"
"WP_170093107.1","ACAH01_RS00510","hemolysin family protein","K03699"
"WP_170093109.1","ACAH01_RS00500","aspartate kinase","K00928"
"WP_170093114.1","ACAH01_RS00475","ATP phosphoribosyltransferase","K00765"
"WP_170093132.1","ACAH01_RS00350","thiolase family protein","K00632"
"WP_170093138.1","ACAH01_RS00300","GTP-dependent dephospho-CoA kinase family protein","K09735"
"WP_170093148.1","ACAH01_RS00205","type I glutamate--ammonia ligase","K01915"
"WP_170093152.1","ACAH01_RS00170","serine/threonine-protein kinase Rio1","K07178"
"WP_170093159.1","ACAH01_RS00115","peroxiredoxin","K03564"
"WP_170093160.1","ACAH01_RS00110","Hsp20/alpha crystallin family protein","K13993"
"WP_170093161.1","ACAH01_RS00105","prephenate dehydratase","K04518"
"WP_170093163.1","ACAH01_RS00095","dihydrolipoyl dehydrogenase","K00382"
"WP_170093168.1","ACAH01_RS00070","poly(R)-hydroxyalkanoic acid synthase subunit PhaE","K22881"
"WP_170093172.1","ACAH01_RS00045","maltose acetyltransferase domain-containing protein","K00661"
"WP_170093173.1","ACAH01_RS00035","twin-arginine translocase subunit TatC","K03118"
"WP_170093213.1","ACAH01_RS15750","SDR family oxidoreductase","K00059"
"WP_170093254.1","ACAH01_RS15635","MinD/ParA family protein","K03609"
"WP_170093263.1","ACAH01_RS15560","bacteriorhodopsin","K04642"
"WP_170093269.1","ACAH01_RS15520","CPBP family intramembrane glutamic endopeptidase","K07052"
"WP_170093280.1","ACAH01_RS15450","ABC transporter ATP-binding protein","K01990"
"WP_170093292.1","ACAH01_RS15380","O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein","K01740"
"WP_170093306.1","ACAH01_RS15290","CDP-2%2C3-bis-(O-geranylgeranyl)-sn-glycerol synthase","K19664"
"WP_170093316.1","ACAH01_RS15215","type 1 glutamine amidotransferase","K01951"
"WP_170093321.1","ACAH01_RS15180","replication factor C small subunit","K04801"
"WP_170093327.1","ACAH01_RS15140","ribose-5-phosphate isomerase RpiA","K01807"
"WP_170093338.1","ACAH01_RS15075","hypothetical protein","K11593"
"WP_170093358.1","ACAH01_RS14915","SDR family oxidoreductase","K07124"
"WP_170093382.1","ACAH01_RS14720","iron-sulfur cluster assembly scaffold protein","K04488"
"WP_170093389.1","ACAH01_RS14675","GTP cyclohydrolase IIa","K08096"
"WP_170093396.1","ACAH01_RS14630","aminotransferase class V-fold PLP-dependent enzyme","K11717"
"WP_170093398.1","ACAH01_RS14610","RNA 2'%2C3'-cyclic phosphodiesterase","K01975"
"WP_170093400.1","ACAH01_RS14600","ZIP family metal transporter","K07238"
"WP_170093404.1","ACAH01_RS14565","signal recognition particle-docking protein FtsY","K03110"
"WP_170093412.1","ACAH01_RS14515","cation acetate symporter","K14393"
"WP_170093431.1","ACAH01_RS14415","V-type ATP synthase subunit I","K02123"
"WP_170093432.1","ACAH01_RS14400","V-type ATP synthase subunit C","K02119"
"WP_170093456.1","ACAH01_RS14210","type II CAAX prenyl endopeptidase Rce1 family protein","K07052"
"WP_170093460.1","ACAH01_RS14190","protein translocase subunit SecF","K03074"
"WP_170093463.1","ACAH01_RS14175","translation initiation factor IF-2 subunit beta","K03238"
"WP_170093469.1","ACAH01_RS14145","uridine kinase","K00876"
"WP_170093480.1","ACAH01_RS14070","VOC family protein","K01759"
"WP_170093483.1","ACAH01_RS14055","beta-ribofuranosylaminobenzene 5'-phosphate synthase family protein","K06984"
"WP_170093487.1","ACAH01_RS14035","thiamine-phosphate synthase family protein","K22206"
"WP_170093491.1","ACAH01_RS14010","NRAMP family divalent metal transporter","K03322"
"WP_170093502.1","ACAH01_RS13965","bisanhydrobacterioruberin hydratase","K08977"
"WP_170093525.1","ACAH01_RS13805","PspA/IM30 family protein","K03969"
"WP_170093527.1","ACAH01_RS13795","glutamine hydrolyzing CTP synthase","K01937"
"WP_170093536.1","ACAH01_RS13740","ABC transporter permease","K02018"
"WP_170093539.1","ACAH01_RS13725","Lrp/AsnC family transcriptional regulator","K03719"
"WP_170093543.1","ACAH01_RS13705","tubulin/FtsZ family protein","K22222"
"WP_170093550.1","ACAH01_RS13670","sodium:calcium antiporter","K07301"
"WP_170093552.1","ACAH01_RS13660","formyltetrahydrofolate deformylase","K01433"
"WP_170093561.1","ACAH01_RS13600","UTP--glucose-1-phosphate uridylyltransferase AglF","K00973"
"WP_170093562.1","ACAH01_RS13595","SDR family oxidoreductase","K08679"
"WP_170093599.1","ACAH01_RS13370","quinolinate synthase NadA","K03517"
"WP_170093607.1","ACAH01_RS13325","NADP-dependent isocitrate dehydrogenase","K00031"
"WP_170093608.1","ACAH01_RS13315","isoaspartyl peptidase/L-asparaginase","K13051"
"WP_170093614.1","ACAH01_RS13270","winged helix-turn-helix domain-containing protein","K09823"
"WP_170093622.1","ACAH01_RS13205","NAD-binding protein","K10716"
"WP_170093640.1","ACAH01_RS13105","undecaprenyl diphosphate synthase family protein","K00806"
"WP_170093641.1","ACAH01_RS13100","polyprenyl diphosphate synthase","K15888"
"WP_170093654.1","ACAH01_RS12995","TrmB family transcriptional regulator","K23356"
"WP_170093668.1","ACAH01_RS12920","ABC transporter permease","K02034"
"WP_170093669.1","ACAH01_RS12915","ABC transporter permease","K02033"
"WP_170093673.1","ACAH01_RS12880","Lrp/AsnC family transcriptional regulator","K03686"
"WP_170093685.1","ACAH01_RS12805","Lrp/AsnC family transcriptional regulator","K22225"
"WP_170093699.1","ACAH01_RS12725","CheF family chemotaxis protein","K09156"
"WP_170093708.1","ACAH01_RS12645","homoserine kinase","K00872"
"WP_170093713.1","ACAH01_RS12615","ubiquitin-like small modifier protein 1","K03636"
"WP_170093715.1","ACAH01_RS12605","Glu-tRNA(Gln) amidotransferase subunit GatD","K09482"
"WP_170093779.1","ACAH01_RS12330","(d)CMP kinase","K00945"
"WP_170093793.1","ACAH01_RS12230","NADP-dependent malic enzyme","K00029"
"WP_170093794.1","ACAH01_RS12225","COX15/CtaA family protein","K02259"
"WP_170093804.1","ACAH01_RS12145","anthranilate synthase component II","K01658"
"WP_170093825.1","ACAH01_RS12030","phosphate signaling complex protein PhoU","K02039"
"WP_170093829.1","ACAH01_RS12010","phosphate ABC transporter permease subunit PstC","K02037"
"WP_170093846.1","ACAH01_RS11910","orc1/cdc6 family replication initiation protein","K10725"
"WP_170093849.1","ACAH01_RS11900","methenyltetrahydromethanopterin cyclohydrolase","K01499"
"WP_170093852.1","ACAH01_RS11875","carbohydrate ABC transporter permease","K17317"
"WP_170093856.1","ACAH01_RS11840","putative RNA uridine N3 methyltransferase","K09142"
"WP_170093858.1","ACAH01_RS11830","50S ribosomal protein L4","K02930"
"WP_170093861.1","ACAH01_RS11730","50S ribosomal protein L30","K02907"
"WP_170093874.1","ACAH01_RS11565","IclR family transcriptional regulator","K19333"
"WP_170093886.1","ACAH01_RS11500","cobyrinic acid a%2Cc-diamide synthase","K02224"
