locus_tag,protein_id,product
ACAH01_RS00170,WP_170093152.1,serine/threonine-protein kinase Rio1
ACAH01_RS00175,WP_015761681.1,translation initiation factor eIF-1A
ACAH01_RS00180,WP_153554780.1,SCP2 sterol-binding domain-containing protein
ACAH01_RS00185,WP_153554781.1,hypothetical protein
ACAH01_RS00190,WP_372479847.1,DUF460 domain-containing protein
ACAH01_RS00195,WP_372479848.1,MATE family efflux transporter
ACAH01_RS00200,WP_170093149.1,HTH-type transcriptional regulator Lrp
ACAH01_RS00205,WP_170093148.1,type I glutamate--ammonia ligase
ACAH01_RS00210,WP_372479850.1,phosphatase PAP2 family protein
ACAH01_RS00215,WP_170093146.1,ribonuclease BN
ACAH01_RS00220,WP_170093145.1,hypothetical protein
ACAH01_RS00225,WP_372479851.1,tRNA (guanine(26)-N(2))-dimethyltransferase
ACAH01_RS00230,WP_170093143.1,hypothetical protein
ACAH01_RS00235,WP_372479852.1,histidine kinase N-terminal 7TM domain-containing protein
ACAH01_RS00240,WP_372479853.1,ArsR family transcriptional regulator
ACAH01_RS00245,WP_372479854.1,helix-turn-helix domain-containing protein
ACAH01_RS00250,WP_372479855.1,hypothetical protein
ACAH01_RS00255,WP_372479856.1,HalOD1 output domain-containing protein
ACAH01_RS00260,WP_372479857.1,imidazole glycerol phosphate synthase subunit HisH
ACAH01_RS00265,WP_372479858.1,uracil-DNA glycosylase family protein
ACAH01_RS00270,WP_372479859.1,DUF3592 domain-containing protein
ACAH01_RS00275,WP_015761698.1,50S ribosomal protein L40e
ACAH01_RS00280,WP_372479860.1,hypothetical protein
ACAH01_RS00285,WP_015761700.1,TATA-box-binding protein
ACAH01_RS00290,WP_372480815.1,methyltransferase domain-containing protein
ACAH01_RS00295,WP_153554800.1,rubrerythrin-like domain-containing protein
ACAH01_RS00300,WP_170093138.1,GTP-dependent dephospho-CoA kinase family protein
ACAH01_RS00305,WP_206039116.1,transcription elongation factor subunit Spt4
ACAH01_RS00310,WP_153554802.1,DNA-directed RNA polymerase
ACAH01_RS00315,WP_153554803.1,DUF188 domain-containing protein
ACAH01_RS00320,WP_153554804.1,translation initiation factor IF-2 subunit gamma
ACAH01_RS00325,WP_153554805.1,response regulator
ACAH01_RS00330,WP_372479861.1,DUF5787 family protein
ACAH01_RS00335,WP_372479862.1,DUF418 domain-containing protein
ACAH01_RS00340,WP_372479863.1,MBL fold metallo-hydrolase
ACAH01_RS00345,WP_170093133.1,ATP-binding protein
ACAH01_RS00350,WP_170093132.1,thiolase family protein
ACAH01_RS00355,WP_372479864.1,PaaI family thioesterase
ACAH01_RS00360,WP_372479865.1,ArsR/SmtB family transcription factor
ACAH01_RS00365,WP_170093129.1,cation:proton antiporter
ACAH01_RS00370,WP_372479866.1,MBL fold metallo-hydrolase
ACAH01_RS00375,WP_372479867.1,catalase/peroxidase HPI
ACAH01_RS00380,WP_015761721.1,hypothetical protein
ACAH01_RS00385,WP_208627575.1,type II toxin-antitoxin system death-on-curing family toxin
ACAH01_RS00390,WP_170093125.1,hypothetical protein
ACAH01_RS00395,WP_372479869.1,alpha/beta fold hydrolase
ACAH01_RS00400,WP_372479870.1,serine--tRNA ligase
ACAH01_RS00405,WP_170093122.1,Lrp/AsnC family transcriptional regulator
ACAH01_RS00410,WP_372479871.1,amino acid permease
ACAH01_RS00415,WP_372479872.1,nuclear transport factor 2 family protein
ACAH01_RS00420,WP_372479873.1,redoxin domain-containing protein
ACAH01_RS00425,WP_153554820.1,DUF367 family protein
ACAH01_RS00430,NA,IS6 family transposase
ACAH01_RS00435,WP_372479874.1,polyprenyl synthetase family protein
ACAH01_RS00440,WP_372479875.1,cyclopropane-fatty-acyl-phospholipid synthase family protein
ACAH01_RS00445,WP_372479876.1,MFS transporter
ACAH01_RS00450,WP_372479877.1,hypothetical protein
ACAH01_RS00455,WP_372479878.1,hypothetical protein
ACAH01_RS00460,WP_372479879.1,hypothetical protein
ACAH01_RS00465,WP_372479880.1,hypothetical protein
ACAH01_RS00470,WP_372479881.1,matrixin family metalloprotease
ACAH01_RS00475,WP_170093114.1,ATP phosphoribosyltransferase
ACAH01_RS00480,WP_372479882.1,amidohydrolase
ACAH01_RS00485,WP_372479883.1,hypothetical protein
ACAH01_RS00490,WP_372479884.1,adenosylhomocysteinase
ACAH01_RS00495,WP_208627560.1,metallophosphoesterase
ACAH01_RS00500,WP_170093109.1,aspartate kinase
ACAH01_RS00505,WP_372479885.1,hypothetical protein
ACAH01_RS00510,WP_170093107.1,hemolysin family protein
ACAH01_RS00515,WP_372479886.1,hypothetical protein
ACAH01_RS00520,WP_372479887.1,hypothetical protein
ACAH01_RS00525,WP_372479888.1,hypothetical protein
ACAH01_RS00530,NA,IS6 family transposase
ACAH01_RS00535,WP_372479889.1,DNA-directed DNA polymerase II large subunit
ACAH01_RS00540,WP_170093103.1,PPC domain-containing DNA-binding protein
ACAH01_RS00545,WP_372479890.1,2'-5' RNA ligase family protein
ACAH01_RS00550,WP_372479891.1,hypothetical protein
ACAH01_RS00555,WP_170092412.1,IS5 family transposase
ACAH01_RS00560,WP_372479458.1,IS5 family transposase
ACAH01_RS00565,WP_372480816.1,ABC transporter permease subunit
ACAH01_RS00570,WP_372479892.1,ABC transporter permease
ACAH01_RS00575,WP_153554837.1,ABC transporter ATP-binding protein
ACAH01_RS00580,WP_372479894.1,helix-turn-helix transcriptional regulator
ACAH01_RS00585,WP_372479895.1,hypothetical protein
ACAH01_RS00590,WP_372479896.1,PGF-CTERM sorting domain-containing protein
ACAH01_RS00595,WP_170093096.1,argininosuccinate synthase
ACAH01_RS00600,WP_372479897.1,argininosuccinate lyase
ACAH01_RS00605,WP_372479898.1,lysine biosynthesis protein LysW
ACAH01_RS00610,WP_170093094.1,lysine biosynthesis protein LysX
ACAH01_RS00615,WP_372479899.1,N-acetyl-gamma-glutamyl-phosphate reductase
ACAH01_RS00620,WP_372479900.1,acetylglutamate/acetylaminoadipate kinase
ACAH01_RS00625,WP_372479901.1,aspartate aminotransferase family protein
ACAH01_RS00630,WP_372479902.1,[LysW]-lysine hydrolase
ACAH01_RS00635,WP_153554847.1,ornithine carbamoyltransferase
ACAH01_RS00640,WP_372479903.1,hypothetical protein
ACAH01_RS00645,WP_372479904.1,fructosamine kinase family protein
ACAH01_RS00650,WP_372479905.1,hypothetical protein
ACAH01_RS00655,WP_153554850.1,helix-turn-helix domain-containing protein
ACAH01_RS00660,WP_372479906.1,threonine synthase
ACAH01_RS00665,WP_372479907.1,hypothetical protein
ACAH01_RS00670,WP_170093084.1,phosphoglycerate dehydrogenase
ACAH01_RS00675,WP_015761773.1,hypothetical protein
ACAH01_RS00680,WP_372479908.1,CBS domain-containing protein
ACAH01_RS00685,WP_372479910.1,glycine--tRNA ligase
ACAH01_RS00690,WP_372479911.1,dolichol kinase
ACAH01_RS00695,WP_372479912.1,DEAD/DEAH box helicase
ACAH01_RS00700,WP_372479913.1,redoxin domain-containing protein
ACAH01_RS00705,WP_372479914.1,Sjogren's syndrome/scleroderma autoantigen 1 family protein
ACAH01_RS00710,WP_208627532.1,malate dehydrogenase
ACAH01_RS00715,WP_372479916.1,hypothetical protein
ACAH01_RS00720,WP_372479917.1,hypothetical protein
ACAH01_RS00725,WP_170093076.1,hypothetical protein
ACAH01_RS00730,WP_372479918.1,hypothetical protein
ACAH01_RS00735,WP_372479919.1,hypothetical protein
ACAH01_RS00740,WP_372479920.1,hypothetical protein
ACAH01_RS00745,WP_372479921.1,Zn-ribbon containing protein
ACAH01_RS00750,WP_015761792.1,DUF2073 domain-containing protein
ACAH01_RS00755,WP_015761793.1,Era-like GTP-binding protein
ACAH01_RS00760,WP_372479922.1,Cdc6/Cdc18 family protein
ACAH01_RS00765,WP_170093069.1,S26 family signal peptidase
ACAH01_RS00770,WP_170093068.1,DNA-directed DNA polymerase II small subunit
ACAH01_RS00775,WP_372479923.1,ABC transporter permease subunit
ACAH01_RS00780,WP_372479924.1,ATP-binding cassette domain-containing protein
ACAH01_RS00785,WP_372479925.1,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein
ACAH01_RS00790,WP_372479926.1,hypothetical protein
ACAH01_RS00795,WP_372479927.1,phosphoserine phosphatase SerB
ACAH01_RS00800,NA,IS6 family transposase
ACAH01_RS00805,WP_372479928.1,hypothetical protein
ACAH01_RS00810,WP_372479929.1,transposase
ACAH01_RS00815,WP_372479930.1,ATP-dependent DNA helicase
ACAH01_RS00820,WP_372479931.1,hypothetical protein
ACAH01_RS00825,WP_372479932.1,cation diffusion facilitator family transporter
ACAH01_RS00830,WP_170093056.1,metallophosphoesterase
ACAH01_RS00835,WP_372479933.1,ArsR/SmtB family transcription factor
ACAH01_RS00840,WP_015761806.1,hypothetical protein
ACAH01_RS00845,WP_372479934.1,aminopeptidase
ACAH01_RS00850,WP_372480817.1,hypothetical protein
ACAH01_RS00860,WP_153552019.1,hypothetical protein
ACAH01_RS00865,WP_372479935.1,DUF373 family protein
ACAH01_RS00870,WP_170093046.1,IclR family transcriptional regulator
ACAH01_RS00875,WP_372479937.1,ABC transporter ATP-binding protein
ACAH01_RS00880,WP_208627508.1,creatininase family protein
ACAH01_RS00885,WP_372479938.1,sugar ABC transporter substrate-binding protein
ACAH01_RS00890,WP_372479939.1,carbohydrate ABC transporter permease
ACAH01_RS00895,WP_372479940.1,carbohydrate ABC transporter permease
ACAH01_RS00900,WP_170093041.1,mandelate racemase/muconate lactonizing enzyme family protein
ACAH01_RS00905,WP_153552027.1,SDR family NAD(P)-dependent oxidoreductase
ACAH01_RS00910,WP_153552028.1,Rid family detoxifying hydrolase
ACAH01_RS00915,WP_170093040.1,MFS transporter
ACAH01_RS00920,WP_170093039.1,radical SAM protein
ACAH01_RS00925,WP_372479941.1,hypothetical protein
ACAH01_RS00930,WP_372479942.1,HalOD1 output domain-containing protein
ACAH01_RS00935,WP_372479943.1,conditioned medium-induced protein 4
ACAH01_RS00940,WP_372479944.1,heterodisulfide reductase-related iron-sulfur binding cluster
ACAH01_RS00945,WP_372479945.1,competence/damage-inducible protein A
ACAH01_RS00950,WP_372479946.1,DUF2309 domain-containing protein
ACAH01_RS00955,WP_372479947.1,proton-conducting transporter membrane subunit
ACAH01_RS00960,WP_372479948.1,hypothetical protein
ACAH01_RS00965,WP_208627487.1,amidohydrolase family protein
ACAH01_RS00970,WP_170093031.1,Lrp/AsnC family transcriptional regulator
ACAH01_RS00975,WP_153552041.1,DedA family protein
ACAH01_RS00980,WP_372479949.1,hypothetical protein
ACAH01_RS00985,WP_372479950.1,porphobilinogen synthase
ACAH01_RS00990,WP_372479951.1,DUF6498-containing protein
ACAH01_RS00995,WP_170093026.1,ammonium transporter
ACAH01_RS01000,WP_015761898.1,P-II family nitrogen regulator
ACAH01_RS01005,WP_170093025.1,Lrp/AsnC family transcriptional regulator
ACAH01_RS01010,WP_153552064.1,chemotaxis protein CheC
ACAH01_RS01015,WP_372479952.1,molybdopterin synthase
ACAH01_RS01020,WP_170093023.1,cyclic pyranopterin monophosphate synthase MoaC
ACAH01_RS01025,WP_372479953.1,molybdenum cofactor biosynthesis protein B
ACAH01_RS01030,WP_170093021.1,hypothetical protein
ACAH01_RS01035,WP_372479954.1,glutamate-1-semialdehyde 2%2C1-aminomutase
ACAH01_RS01040,WP_372479955.1,DUF4349 domain-containing protein
ACAH01_RS01045,WP_372479956.1,hypothetical protein
ACAH01_RS01050,WP_372479957.1,ribose-phosphate diphosphokinase
ACAH01_RS01055,WP_372479958.1,hypothetical protein
ACAH01_RS01060,WP_372479959.1,NifU family protein
ACAH01_RS01065,WP_372479960.1,IMP cyclohydrolase
ACAH01_RS01070,WP_372479961.1,hypothetical protein
ACAH01_RS01075,WP_208627470.1,hypothetical protein
ACAH01_RS01085,WP_372479962.1,universal stress protein
ACAH01_RS01090,WP_372479964.1,anion permease
ACAH01_RS01095,WP_372479965.1,phytoene/squalene synthase family protein
ACAH01_RS01100,WP_372479966.1,leucine--tRNA ligase
ACAH01_RS01105,WP_372479967.1,hypothetical protein
ACAH01_RS01110,WP_170093008.1,acyl-CoA thioesterase
ACAH01_RS01115,WP_372479968.1,DUF123 domain-containing protein
ACAH01_RS01120,WP_372479969.1,hypothetical protein
ACAH01_RS01125,WP_372479970.1,trans-aconitate 2-methyltransferase
ACAH01_RS01130,WP_372479971.1,DUF2237 family protein
ACAH01_RS01135,WP_372479972.1,TetR/AcrR family transcriptional regulator
ACAH01_RS01140,WP_153552089.1,Holliday junction resolvase Hjc
ACAH01_RS01145,WP_372479973.1,polysaccharide deacetylase family protein
ACAH01_RS01150,WP_372479081.1,IS6 family transposase
ACAH01_RS01155,WP_372479974.1,hypothetical protein
ACAH01_RS01160,WP_170092999.1,L-threonylcarbamoyladenylate synthase
ACAH01_RS01165,WP_170092998.1,redoxin domain-containing protein
ACAH01_RS01170,WP_015761863.1,glutathione S-transferase N-terminal domain-containing protein
ACAH01_RS01175,WP_170092997.1,hemolysin family protein
ACAH01_RS01180,WP_170092996.1,inorganic phosphate transporter
ACAH01_RS01185,WP_372479975.1,PKD domain-containing protein
ACAH01_RS01190,WP_153552053.1,DUF5828 family protein
ACAH01_RS01195,WP_372479976.1,TAXI family TRAP transporter solute-binding subunit
ACAH01_RS01200,WP_372479977.1,DUF1850 domain-containing protein
ACAH01_RS01205,WP_372479978.1,TRAP transporter permease
ACAH01_RS01210,WP_170092991.1,copper-binding protein
ACAH01_RS01215,WP_170092990.1,uracil phosphoribosyltransferase
ACAH01_RS01220,WP_170092989.1,YigZ family protein
ACAH01_RS01225,WP_372479979.1,2Fe-2S iron-sulfur cluster-binding protein
ACAH01_RS01230,WP_170092987.1,amino acid-binding protein
ACAH01_RS01235,WP_372479980.1,hypothetical protein
ACAH01_RS01240,WP_372479981.1,hypothetical protein
ACAH01_RS01245,WP_372479982.1,CNNM domain-containing protein
ACAH01_RS01250,WP_170092983.1,imidazoleglycerol-phosphate dehydratase HisB
ACAH01_RS01255,WP_372479983.1,hypothetical protein
ACAH01_RS01260,WP_346775217.1,MFS transporter
ACAH01_RS01265,WP_372479984.1,TrmB family transcriptional regulator
ACAH01_RS01270,WP_372479985.1,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
ACAH01_RS01275,WP_372479986.1,hypothetical protein
ACAH01_RS01280,WP_372479987.1,anion permease
ACAH01_RS01285,WP_015761835.1,ferredoxin Fer
ACAH01_RS01290,WP_372479989.1,prepilin peptidase
ACAH01_RS01295,WP_153552239.1,phosphoribosyl-AMP cyclohydrolase
ACAH01_RS01300,WP_372479991.1,hypothetical protein
ACAH01_RS01305,WP_372480818.1,phosphoglucosamine mutase
ACAH01_RS01310,WP_170092974.1,PAS domain S-box protein
ACAH01_RS01315,WP_170092973.1,phosphoribosyltransferase
ACAH01_RS01320,WP_372479993.1,orotate phosphoribosyltransferase
ACAH01_RS01325,WP_372479995.1,NCS2 family permease
ACAH01_RS01330,WP_372479996.1,glutathione S-transferase N-terminal domain-containing protein
ACAH01_RS01335,WP_372479997.1,hypothetical protein
ACAH01_RS01340,WP_372479998.1,transcriptional regulator
ACAH01_RS01345,WP_372479999.1,DUF1743 domain-containing protein
ACAH01_RS01350,WP_170092969.1,hypothetical protein
ACAH01_RS01355,WP_372480000.1,glycoside hydrolase family 9 protein
ACAH01_RS01360,WP_372480001.1,hypothetical protein
ACAH01_RS01365,WP_372480002.1,pyridoxal-phosphate dependent enzyme
ACAH01_RS01370,WP_372480003.1,succinylglutamate desuccinylase/aspartoacylase family protein
ACAH01_RS01375,WP_153552221.1,hypothetical protein
ACAH01_RS01380,WP_170092964.1,potassium channel family protein
ACAH01_RS01385,WP_372480004.1,citrate synthase
ACAH01_RS01395,WP_153552218.1,hypothetical protein
ACAH01_RS01400,WP_015761814.1,Rid family detoxifying hydrolase
ACAH01_RS01405,WP_170092962.1,threonine ammonia-lyase
ACAH01_RS01410,WP_372480005.1,TrkA family potassium uptake protein
ACAH01_RS01415,WP_170092959.1,hypothetical protein
ACAH01_RS01420,WP_208627418.1,hypothetical protein
ACAH01_RS01425,WP_372480006.1,thermosome subunit beta
ACAH01_RS01430,WP_372480007.1,cupin domain-containing protein
ACAH01_RS01435,WP_372480008.1,hypothetical protein
ACAH01_RS01440,WP_372480009.1,alkaline phosphatase PhoX
ACAH01_RS01445,WP_372480010.1,cell surface protein
ACAH01_RS01450,WP_208627413.1,reverse transcriptase-like protein
ACAH01_RS01460,WP_372480012.1,DUF1684 domain-containing protein
ACAH01_RS01465,WP_372480013.1,adenylosuccinate synthase
ACAH01_RS01470,WP_372480014.1,hypothetical protein
ACAH01_RS01475,WP_372480015.1,KEOPS complex subunit Cgi121
ACAH01_RS01480,WP_372480016.1,ATP-dependent DNA helicase
ACAH01_RS01485,WP_153554767.1,ferredoxin
ACAH01_RS01490,WP_372480017.1,MFS transporter
ACAH01_RS01495,WP_372480018.1,FAD-dependent oxidoreductase
ACAH01_RS01500,WP_372480019.1,MATE family efflux transporter
ACAH01_RS01505,WP_372480020.1,hypothetical protein
ACAH01_RS01510,WP_372480021.1,NAD-dependent epimerase/dehydratase family protein
ACAH01_RS01515,WP_372480022.1,bacterio-opsin activator domain-containing protein
ACAH01_RS01520,WP_372480023.1,leucine--tRNA ligase
ACAH01_RS01525,WP_372480024.1,NADH:flavin oxidoreductase
ACAH01_RS01530,WP_372480025.1,hypothetical protein
ACAH01_RS01535,WP_170092938.1,ABC transporter ATP-binding protein
ACAH01_RS01540,WP_372480026.1,dihydrolipoamide acetyltransferase family protein
ACAH01_RS01545,WP_372480028.1,alpha-ketoacid dehydrogenase subunit beta
ACAH01_RS01550,WP_372480819.1,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
ACAH01_RS01555,WP_170092935.1,hypothetical protein
ACAH01_RS01560,WP_372480029.1,lipoyl synthase
ACAH01_RS01565,WP_170092933.1,DEAD/DEAH box helicase
ACAH01_RS01570,WP_372480031.1,HAD family hydrolase
ACAH01_RS01575,WP_170092931.1,hypothetical protein
ACAH01_RS01580,WP_240936930.1,hypothetical protein
ACAH01_RS01585,WP_170092930.1,endonuclease NucS domain-containing protein
ACAH01_RS01590,WP_372480032.1,tRNA-intron lyase
ACAH01_RS01595,WP_372480033.1,tryptophan--tRNA ligase
ACAH01_RS01600,WP_372480034.1,phenylalanine--tRNA ligase subunit alpha
ACAH01_RS01605,WP_372480035.1,phenylalanine--tRNA ligase subunit beta
ACAH01_RS01610,WP_372480036.1,quinone-dependent dihydroorotate dehydrogenase
ACAH01_RS01615,WP_015761641.1,hypothetical protein
ACAH01_RS01620,WP_015761640.1,non-histone chromosomal MC1 family protein
ACAH01_RS01650,WP_372480038.1,type I glyceraldehyde-3-phosphate dehydrogenase
ACAH01_RS01655,WP_018256786.1,Hsp20/alpha crystallin family protein
ACAH01_RS01660,WP_372480039.1,RimK family alpha-L-glutamate ligase
ACAH01_RS01665,WP_015761633.1,50S ribosomal protein L16
ACAH01_RS01670,WP_372480040.1,glutathione S-transferase family protein
ACAH01_RS01675,WP_372480041.1,type IV pilin
ACAH01_RS01680,WP_170092856.1,hypothetical protein
ACAH01_RS01685,WP_170092855.1,glycosyltransferase family 87 protein
ACAH01_RS01690,WP_170092854.1,carbonic anhydrase
ACAH01_RS01695,WP_018256778.1,cold-shock protein
ACAH01_RS01700,WP_208628891.1,DUF429 domain-containing protein
ACAH01_RS01705,WP_372480042.1,aldo/keto reductase
ACAH01_RS01710,WP_372480043.1,Gfo/Idh/MocA family protein
ACAH01_RS01715,WP_372480044.1,hypothetical protein
ACAH01_RS01720,WP_170092849.1,helix-turn-helix domain-containing protein
ACAH01_RS01725,WP_372480045.1,hypothetical protein
ACAH01_RS01730,WP_372480046.1,hypothetical protein
ACAH01_RS01735,WP_372480047.1,Gfo/Idh/MocA family protein
ACAH01_RS01740,WP_372480048.1,hypothetical protein
ACAH01_RS01745,WP_372480049.1,sulfatase
ACAH01_RS01750,WP_372480050.1,hypothetical protein
ACAH01_RS01755,WP_372480051.1,hypothetical protein
ACAH01_RS01760,WP_372479458.1,IS5 family transposase
ACAH01_RS01765,WP_372480052.1,CRISPR-associated CARF protein Csa3
ACAH01_RS01780,WP_372480053.1,CCA tRNA nucleotidyltransferase
ACAH01_RS01785,WP_170092785.1,histone deacetylase
ACAH01_RS01790,WP_153554681.1,histone
ACAH01_RS01795,WP_372480054.1,single-stranded DNA binding protein
ACAH01_RS01800,WP_372480055.1,hypothetical protein
ACAH01_RS01810,WP_372480056.1,phytanoyl-CoA dioxygenase family protein
ACAH01_RS01815,WP_372480057.1,hypothetical protein
ACAH01_RS01820,WP_372480058.1,DUF309 domain-containing protein
ACAH01_RS01825,WP_170092791.1,hypothetical protein
ACAH01_RS01830,WP_372480059.1,NAD-dependent glucose-6-phosphate dehydrogenase Azf
ACAH01_RS01835,WP_170092793.1,dihydroneopterin aldolase family protein
ACAH01_RS01840,WP_170092794.1,hypothetical protein
ACAH01_RS01845,WP_372480060.1,DUF5790 family protein
ACAH01_RS01850,WP_372480061.1,creatininase family protein
ACAH01_RS01855,WP_372480062.1,DUF6789 family protein
ACAH01_RS01860,WP_372480063.1,PQQ-binding-like beta-propeller repeat protein
ACAH01_RS01865,WP_170092798.1,tryptophan synthase subunit beta
ACAH01_RS01870,WP_170092799.1,GNAT family N-acetyltransferase
ACAH01_RS01875,WP_372480064.1,NADP-dependent oxidoreductase
ACAH01_RS01880,WP_372480065.1,hypothetical protein
ACAH01_RS01885,WP_372480066.1,hypothetical protein
ACAH01_RS01890,WP_170092801.1,mechanosensitive ion channel domain-containing protein
ACAH01_RS01895,WP_372480067.1,hypothetical protein
ACAH01_RS01900,WP_372480068.1,6-pyruvoyl tetrahydropterin synthase family protein
ACAH01_RS01905,WP_372480069.1,7-carboxy-7-deazaguanine synthase QueE
ACAH01_RS01910,WP_372480070.1,GTP cyclohydrolase I
ACAH01_RS01915,WP_153554703.1,7-cyano-7-deazaguanine synthase QueC
ACAH01_RS01920,WP_153554704.1,methylglyoxal synthase
ACAH01_RS01925,WP_372480071.1,HalOD1 output domain-containing protein
ACAH01_RS01930,WP_372480072.1,deoxyuridine 5'-triphosphate nucleotidohydrolase
ACAH01_RS01935,WP_372480073.1,aconitate hydratase
ACAH01_RS01940,WP_372480074.1,enhanced intracellular survival protein Eis
ACAH01_RS01945,WP_208628925.1,ribosomal protein S18-alanine N-acetyltransferase
ACAH01_RS01950,WP_372480075.1,DUF5810 domain-containing protein
ACAH01_RS01955,WP_372480076.1,DUF5809 family protein
ACAH01_RS01960,WP_372480077.1,hypothetical protein
ACAH01_RS01965,WP_372480078.1,NUDIX hydrolase
ACAH01_RS01970,WP_153554718.1,NUDIX hydrolase
ACAH01_RS01975,WP_170092818.1,rhodanese-like domain-containing protein
ACAH01_RS01980,WP_170092819.1,MBL fold metallo-hydrolase
ACAH01_RS01985,WP_170092820.1,endonuclease NucS
ACAH01_RS01990,WP_372480079.1,DUF6735 family protein
ACAH01_RS01995,WP_372480080.1,hypothetical protein
ACAH01_RS02000,WP_372480081.1,transcription antitermination protein
ACAH01_RS02005,WP_372480082.1,MBL fold metallo-hydrolase
ACAH01_RS02010,WP_153554727.1,DUF6432 family protein
ACAH01_RS02015,WP_372480083.1,hypothetical protein
ACAH01_RS02020,WP_153554729.1,DUF5611 family protein
ACAH01_RS02025,WP_015761596.1,ABC transporter permease
ACAH01_RS02030,WP_372480084.1,ATP-binding cassette domain-containing protein
ACAH01_RS02035,WP_153554732.1,cell division protein SepF
ACAH01_RS02040,WP_372480085.1,DUF1028 domain-containing protein
ACAH01_RS02045,WP_170092829.1,SIMPL domain-containing protein
ACAH01_RS02050,WP_170092830.1,TIGR00341 family protein
ACAH01_RS02055,WP_372480086.1,PKD domain-containing protein
ACAH01_RS02060,WP_372480087.1,Gfo/Idh/MocA family protein
ACAH01_RS02065,WP_372480088.1,Gfo/Idh/MocA family protein
ACAH01_RS02070,WP_170092834.1,GTP-binding protein EngB
ACAH01_RS02075,WP_372480089.1,ATP-binding protein
ACAH01_RS02080,WP_015761607.1,stress response translation initiation inhibitor YciH
ACAH01_RS02085,WP_372480090.1,transglutaminaseTgpA domain-containing protein
ACAH01_RS02090,WP_372480091.1,DUF58 domain-containing protein
ACAH01_RS02095,WP_170092838.1,MoxR family ATPase
ACAH01_RS02100,WP_372480092.1,hypothetical protein
ACAH01_RS02105,WP_372480093.1,hypothetical protein
ACAH01_RS02110,WP_372480094.1,N-acetyltransferase family protein
ACAH01_RS02120,WP_372480095.1,hypothetical protein
ACAH01_RS02125,WP_372480096.1,minichromosome maintenance protein MCM
ACAH01_RS02130,WP_372479458.1,IS5 family transposase
ACAH01_RS02135,WP_372480097.1,hypothetical protein
ACAH01_RS02140,WP_372480098.1,hypothetical protein
ACAH01_RS02145,WP_372480099.1,hypothetical protein
ACAH01_RS02150,WP_372480100.1,VWA domain-containing protein
ACAH01_RS02155,WP_153554630.1,HVO_0416 family zinc finger protein
ACAH01_RS02160,WP_170092768.1,PadR family transcriptional regulator
ACAH01_RS02165,WP_012808086.1,helix-turn-helix domain-containing protein
ACAH01_RS02170,WP_170092767.1,hypothetical protein
ACAH01_RS02175,WP_372480101.1,UvrD-helicase domain-containing protein
ACAH01_RS02180,WP_170092765.1,hypothetical protein
ACAH01_RS02185,WP_372480102.1,riboflavin synthase
ACAH01_RS02190,WP_372480103.1,PrsW family intramembrane metalloprotease
