Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HA|WP_005538431.1,HA,WP_005538431.1,HM|WP_153553137.1; HS|WP_010902407.1
HA|WP_007187877.1,HA,WP_007187877.1,HM|WP_015761970.1; HS|WP_010903684.1
HA|WP_008306949.1,HA,WP_008306949.1,HM|WP_170093377.1; HS|WP_136360931.1
HA|WP_008307079.1,HA,WP_008307079.1,HM|WP_170093133.1; HS|WP_205251079.1
HA|WP_008307270.1,HA,WP_008307270.1,HM|WP_015761863.1; HS|WP_010903722.1
HA|WP_008307801.1,HA,WP_008307801.1,HM|WP_170092531.1; HS|WP_010903885.1
HA|WP_008308010.1,HA,WP_008308010.1,HM|WP_153554729.1; HS|WP_010903979.1
HA|WP_008309112.1,HA,WP_008309112.1,HM|WP_015763758.1; HS|WP_010902336.1
HA|WP_008309166.1,HA,WP_008309166.1,HM|WP_372478986.1; HS|WP_235262762.1
HA|WP_008309440.1,HA,WP_008309440.1,HM|WP_372480543.1; HS|WP_205251458.1
HA|WP_008309479.1,HA,WP_008309479.1,HM|WP_153554013.1; HS|WP_010902274.1
HA|WP_008310783.1,HA,WP_008310783.1,HM|WP_018257790.1; HS|WP_010903327.1
HA|WP_008310891.1,HA,WP_008310891.1,HM|WP_170093665.1; HS|WP_010903405.1
HA|WP_008311118.1,HA,WP_008311118.1,HM|WP_170093429.1; HS|WP_012289442.1
HA|WP_008311619.1,HA,WP_008311619.1,HM|WP_372479213.1; HS|WP_010902067.1
HA|WP_008311924.1,HA,WP_008311924.1,HM|WP_170093915.1; HS|WP_136361278.1
HA|WP_008312200.1,HA,WP_008312200.1,HM|WP_372479327.1; HS|WP_010902501.1
HA|WP_008312482.1,HA,WP_008312482.1,HM|WP_170094994.1; HS|WP_010902191.1
HA|WP_008312616.1,HA,WP_008312616.1,HM|WP_153552855.1; HS|WP_205250880.1
HA|WP_008312872.1,HA,WP_008312872.1,HM|WP_208628761.1; HS|WP_010903194.1
HA|WP_008313337.1,HA,WP_008313337.1,HM|WP_372479067.1; HS|WP_010902445.1
HA|WP_014031052.1,HA,WP_014031052.1,HM|WP_372480873.1; HS|WP_012289716.1
HA|WP_014031056.1,HA,WP_014031056.1,HM|WP_208628509.1; HS|WP_136361230.1
HA|WP_014031064.1,HA,WP_014031064.1,HM|WP_372480892.1; HS|WP_205251365.1
HA|WP_014039251.1,HA,WP_014039251.1,HM|WP_015762031.1; HS|WP_010903427.1
HA|WP_014039269.1,HA,WP_014039269.1,HM|WP_170093895.1; HS|WP_010903140.1
HA|WP_014039332.1,HA,WP_014039332.1,HM|WP_372479959.1; HS|WP_010903744.1
HA|WP_014039369.1,HA,WP_014039369.1,HM|WP_153552369.1; HS|WP_010903845.1
HA|WP_014039492.1,HA,WP_014039492.1,HM|WP_170093556.1; HS|WP_010903429.1
HA|WP_014039498.1,HA,WP_014039498.1,HM|WP_208628401.1; HS|WP_205251020.1
HA|WP_014039532.1,HA,WP_014039532.1,HM|WP_372480480.1; HS|WP_010902151.1
HA|WP_014039534.1,HA,WP_014039534.1,HM|WP_015763848.1; HS|WP_205251531.1
HA|WP_014039587.1,HA,WP_014039587.1,HM|WP_153552599.1; HS|WP_010903389.1
HA|WP_014039610.1,HA,WP_014039610.1,HM|WP_170093613.1; HS|WP_010903363.1
HA|WP_014039710.1,HA,WP_014039710.1,HM|WP_170094543.1; HS|WP_345944595.1
HA|WP_014039738.1,HA,WP_014039738.1,HM|WP_170094798.1; HS|WP_049892505.1
HA|WP_014039740.1,HA,WP_014039740.1,HM|WP_170094801.1; HS|WP_010902991.1
HA|WP_014039786.1,HA,WP_014039786.1,HM|WP_372480729.1; HS|WP_010903129.1
HA|WP_014039877.1,HA,WP_014039877.1,HM|WP_153553227.1; HS|WP_010902953.1
HA|WP_014039946.1,HA,WP_014039946.1,HM|WP_153553809.1; HS|WP_235158086.1
HA|WP_014040094.1,HA,WP_014040094.1,HM|WP_153553597.1; HS|WP_010903020.1
HA|WP_014040180.1,HA,WP_014040180.1,HM|WP_170095103.1; HS|WP_205251493.1
HA|WP_014040233.1,HA,WP_014040233.1,HM|WP_170095074.1; HS|WP_205251558.1
HA|WP_014040235.1,HA,WP_014040235.1,HM|WP_372480469.1; HS|WP_010902394.1
HA|WP_014040293.1,HA,WP_014040293.1,HM|WP_153553229.1; HS|WP_205250830.1
HA|WP_014040334.1,HA,WP_014040334.1,HM|WP_372478962.1; HS|WP_136361126.1
HA|WP_014040339.1,HA,WP_014040339.1,HM|WP_372479020.1; HS|WP_010903013.1
HA|WP_014040368.1,HA,WP_014040368.1,HM|WP_372478993.1; HS|WP_012289248.1
HA|WP_014040374.1,HA,WP_014040374.1,HM|WP_372478997.1; HS|WP_010902647.1
HA|WP_014040571.1,HA,WP_014040571.1,HM|WP_372478891.1; HS|WP_010902917.1
HA|WP_014040585.1,HA,WP_014040585.1,HM|WP_372478900.1; HS|WP_010902935.1
HA|WP_014040678.1,HA,WP_014040678.1,HM|WP_372479136.1; HS|WP_010902485.1
HA|WP_014040725.1,HA,WP_014040725.1,HM|WP_372479195.1; HS|WP_136361417.1
HA|WP_014040756.1,HA,WP_014040756.1,HM|WP_170093960.1; HS|WP_010902798.1
HA|WP_014040778.1,HA,WP_014040778.1,HM|WP_153553059.1; HS|WP_010902543.1
HA|WP_014040821.1,HA,WP_014040821.1,HM|WP_372479250.1; HS|WP_205250877.1
HA|WP_014040911.1,HA,WP_014040911.1,HM|WP_170093122.1; HS|WP_010902895.1
HA|WP_014040927.1,HA,WP_014040927.1,HM|WP_153554224.1; HS|WP_205251406.1
HA|WP_014040964.1,HA,WP_014040964.1,HM|WP_372479494.1; HS|WP_049892517.1
HA|WP_014040988.1,HA,WP_014040988.1,HM|WP_372479364.1; HS|WP_010903184.1
HA|WP_014040992.1,HA,WP_014040992.1,HM|WP_372479246.1; HS|WP_205251387.1
HA|WP_014041035.1,HA,WP_014041035.1,HM|WP_153554199.1; HS|WP_012289133.1
HA|WP_014041042.1,HA,WP_014041042.1,HM|WP_153554008.1; HS|WP_010902245.1
HA|WP_014041068.1,HA,WP_014041068.1,HM|WP_372480492.1; HS|WP_205251420.1
HA|WP_014041127.1,HA,WP_014041127.1,HM|WP_208627487.1; HS|WP_205250702.1
HA|WP_014041500.1,HA,WP_014041500.1,HM|WP_372479747.1; HS|WP_136361659.1
HA|WP_014041511.1,HA,WP_014041511.1,HM|WP_372480786.1; HS|WP_235157095.1
HA|WP_014041531.1,HA,WP_014041531.1,HM|WP_170093008.1; HS|WP_205251254.1
HA|WP_014041592.1,HA,WP_014041592.1,HM|WP_170092989.1; HS|WP_010903713.1
HA|WP_014041609.1,HA,WP_014041609.1,HM|WP_208627711.1; HS|WP_010903792.1
HA|WP_014041700.1,HA,WP_014041700.1,HM|WP_372479908.1; HS|WP_010903755.1
HA|WP_023843248.1,HA,WP_023843248.1,HM|WP_372478903.1; HS|WP_205251696.1
HA|WP_023843261.1,HA,WP_023843261.1,HM|WP_170094267.1; HS|WP_136361279.1
HA|WP_023843268.1,HA,WP_023843268.1,HM|WP_372479099.1; HS|WP_205250832.1
HA|WP_044951606.1,HA,WP_044951606.1,HM|WP_372479578.1; HS|WP_205250970.1
HA|WP_050006902.1,HA,WP_050006902.1,HM|WP_170094564.1; HS|WP_205251486.1
HA|WP_050007155.1,HA,WP_050007155.1,HM|WP_372478979.1; HS|WP_235158083.1
HA|WP_050007162.1,HA,WP_050007162.1,HM|WP_170093812.1; HS|WP_010903212.1
HA|WP_050007463.1,HA,WP_050007463.1,HM|WP_170092748.1; HS|WP_205251344.1
HA|WP_050007583.1,HA,WP_050007583.1,HM|WP_372479793.1; HS|WP_205251068.1
HA|WP_050007778.1,HA,WP_050007778.1,HM|WP_153552585.1; HS|WP_205250961.1
HA|WP_050036879.1,HA,WP_050036879.1,HM|WP_372479453.1; HS|WP_205250947.1
HA|WP_050036924.1,HA,WP_050036924.1,HM|WP_153554083.1; HS|WP_010902193.1
HA|WP_050037020.1,HA,WP_050037020.1,HM|WP_372480281.1; HS|WP_010902098.1
HA|WP_050037129.1,HA,WP_050037129.1,HM|WP_170092785.1; HS|WP_010902051.1
HA|WP_050037158.1,HA,WP_050037158.1,HM|WP_372480123.1; HS|WP_010903729.1
HA|WP_050037312.1,HA,WP_050037312.1,HM|WP_372479817.1; HS|WP_012289447.1
HA|WP_050037372.1,HA,WP_050037372.1,HM|WP_372479791.1; HS|WP_010903859.1
HA|WP_050037486.1,HA,WP_050037486.1,HM|WP_170093421.1; HS|WP_205251262.1
HA|WP_050037765.1,HA,WP_050037765.1,HM|WP_372479010.1; HS|WP_205250878.1
HA|WP_050037865.1,HA,WP_050037865.1,HM|WP_372478843.1; HS|WP_049892496.1
HA|WP_050038025.1,HA,WP_050038025.1,HM|WP_170094317.1; HS|WP_010902902.1
HA|WP_050038100.1,HA,WP_050038100.1,HM|WP_372478897.1; HS|WP_205251822.1
HA|WP_050038238.1,HA,WP_050038238.1,HM|WP_372480064.1; HS|WP_012289230.1
HA|WP_050038247.1,HA,WP_050038247.1,HM|WP_372480277.1; HS|WP_012289115.1
HA|WP_050038361.1,HA,WP_050038361.1,HM|WP_372480881.1; HS|WP_136361231.1
HA|WP_058990855.1,HA,WP_058990855.1,HM|WP_170092834.1; HS|WP_010903933.1
HA|WP_064287928.1,HA,WP_064287928.1,HM|WP_170094480.1; HS|WP_205251653.1
HA|WP_064288166.1,HA,WP_064288166.1,HM|WP_170094071.1; HS|WP_010902861.1
HA|WP_064288578.1,HA,WP_064288578.1,HM|WP_372479944.1; HS|WP_338416963.1
HA|WP_129755114.1,HA,WP_129755114.1,HM|WP_153553939.1; HS|WP_205251600.1
HA|WP_129755847.1,HA,WP_129755847.1,HM|WP_170093129.1; HS|WP_205251083.1
HA|WP_146416869.1,HA,WP_146416869.1,HM|WP_372480258.1; HS|WP_205251286.1
HA|WP_146416875.1,HA,WP_146416875.1,HM|WP_372480254.1; HS|WP_010903887.1
HA|WP_146417154.1,HA,WP_146417154.1,HM|WP_208628133.1; HS|WP_205251569.1
HA|WP_151102657.1,HA,WP_151102657.1,HM|WP_208626234.1; HS|WP_205251547.1
HA|WP_151102919.1,HA,WP_151102919.1,HM|WP_153552582.1; HS|WP_010903322.1
HA|WP_151102947.1,HA,WP_151102947.1,HM|WP_170093509.1; HS|WP_012289390.1
HA|WP_151103013.1,HA,WP_151103013.1,HM|WP_372480800.1; HS|WP_205250801.1
HA|WP_151103299.1,HA,WP_151103299.1,HM|WP_372479247.1; HS|WP_235157069.1
HA|WP_151103300.1,HA,WP_151103300.1,HM|WP_170095104.1; HS|WP_010902279.1
HA|WP_151103531.1,HA,WP_151103531.1,HM|WP_170094001.1; HS|WP_235157846.1
HA|WP_151103804.1,HA,WP_151103804.1,HM|WP_372480229.1; HS|WP_205251306.1
HA|WP_151104117.1,HA,WP_151104117.1,HM|WP_372478874.1; HS|WP_205251301.1
HA|WP_175055171.1,HA,WP_175055171.1,HM|WP_170094295.1; HS|WP_136361477.1
HA|WP_191449344.1,HA,WP_191449344.1,HM|WP_372479024.1; HS|WP_010902519.1
HA|WP_420181775.1,HA,WP_420181775.1,HM|WP_372478885.1; HS|WP_338416925.1
HA|WP_420181923.1,HA,WP_420181923.1,HM|WP_372480391.1; HS|WP_010902168.1
HA|WP_420181936.1,HA,WP_420181936.1,HM|WP_372480490.1; HS|WP_205251419.1
HA|WP_420181937.1,HA,WP_420181937.1,HM|WP_372480506.1; HS|WP_012289131.1
HA|WP_420181943.1,HA,WP_420181943.1,HM|WP_372480501.1; HS|WP_136361084.1
HA|WP_420182025.1,HA,WP_420182025.1,HM|WP_372479093.1; HS|WP_235158055.1
HA|WP_420182026.1,HA,WP_420182026.1,HM|WP_372480206.1; HS|WP_010903949.1
HA|WP_420182036.1,HA,WP_420182036.1,HM|WP_372480148.1; HS|WP_205251510.1
HA|WP_420182045.1,HA,WP_420182045.1,HM|WP_372480785.1; HS|WP_205251555.1
HA|WP_420182165.1,HA,WP_420182165.1,HM|WP_372479717.1; HS|WP_205251076.1
HA|WP_420182171.1,HA,WP_420182171.1,HM|WP_170092964.1; HS|WP_205251102.1
HA|WP_420182178.1,HA,WP_420182178.1,HM|WP_372479996.1; HS|WP_010903557.1
HA|WP_420182197.1,HA,WP_420182197.1,HM|WP_372479744.1; HS|WP_010903692.1
HA|WP_420182203.1,HA,WP_420182203.1,HM|WP_372479978.1; HS|WP_205251538.1
HA|WP_420182205.1,HA,WP_420182205.1,HM|WP_153552053.1; HS|WP_010903719.1
HA|WP_420182243.1,HA,WP_420182243.1,HM|WP_372479912.1; HS|WP_010903758.1
HA|WP_420182258.1,HA,WP_420182258.1,HM|WP_372479814.1; HS|WP_136361555.1
HA|WP_420182294.1,HA,WP_420182294.1,HM|WP_170093375.1; HS|WP_205251266.1
HA|WP_420182328.1,HA,WP_420182328.1,HM|WP_372479259.1; HS|WP_205250856.1
HA|WP_420182353.1,HA,WP_420182353.1,HM|WP_372480811.1; HS|WP_010903487.1
HA|WP_420182413.1,HA,WP_420182413.1,HM|WP_372479429.1; HS|WP_205250959.1
HA|WP_420182414.1,HA,WP_420182414.1,HM|WP_372479430.1; HS|WP_010903320.1
HA|WP_420182441.1,HA,WP_420182441.1,HM|WP_372479417.1; HS|WP_205251006.1
HA|WP_420182467.1,HA,WP_420182467.1,HM|WP_170094913.1; HS|WP_010902365.1
HA|WP_420182488.1,HA,WP_420182488.1,HM|WP_372480702.1; HS|WP_010903123.1
HA|WP_420182518.1,HA,WP_420182518.1,HM|WP_372480108.1; HS|WP_205251637.1
HA|WP_420182543.1,HA,WP_420182543.1,HM|WP_372480401.1; HS|WP_012289142.1
HA|WP_420182547.1,HA,WP_420182547.1,HM|WP_372480621.1; HS|WP_205251530.1
HA|WP_420182569.1,HA,WP_420182569.1,HM|WP_372479444.1; HS|WP_010902659.1
HA|WP_420182584.1,HA,WP_420182584.1,HM|WP_170094533.1; HS|WP_205250905.1
HA|WP_420182586.1,HA,WP_420182586.1,HM|WP_372480759.1; HS|WP_010902573.1
HA|WP_420182613.1,HA,WP_420182613.1,HM|WP_372480668.1; HS|WP_205251671.1
HA|WP_420182615.1,HA,WP_420182615.1,HM|WP_170094718.1; HS|WP_010902616.1
HA|WP_420182631.1,HA,WP_420182631.1,HM|WP_372478845.1; HS|WP_010902593.1
HA|WP_420182700.1,HA,WP_420182700.1,HM|WP_372478960.1; HS|WP_205251629.1
HA|WP_420182741.1,HA,WP_420182741.1,HM|WP_170094172.1; HS|WP_205251893.1
HA|WP_420182986.1,HA,WP_420182986.1,HM|WP_372480893.1; HS|WP_136361232.1
HA|WP_420182990.1,HA,WP_420182990.1,HM|WP_372480880.1; HS|WP_136361229.1
HA|WP_420183000.1,HA,WP_420183000.1,HM|WP_372480935.1; HS|WP_235157173.1
HA|WP_420183012.1,HA,WP_420183012.1,HM|WP_372480560.1; HS|WP_010902425.1
HM|WP_012807841.1,HM,WP_012807841.1,HA|WP_004514919.1; HS|WP_010903955.1
HM|WP_012807936.1,HM,WP_012807936.1,HA|WP_004516241.1; HS|WP_012289220.1
HM|WP_015761721.1,HM,WP_015761721.1,HA|WP_005532887.1; HS|WP_136360916.1
HM|WP_015761863.1,HM,WP_015761863.1,HA|WP_008307270.1; HS|WP_010903722.1
HM|WP_015761970.1,HM,WP_015761970.1,HA|WP_007187877.1; HS|WP_010903684.1
HM|WP_015762002.1,HM,WP_015762002.1,HA|WP_004515935.1; HS|WP_010903601.1
HM|WP_015762031.1,HM,WP_015762031.1,HA|WP_014039251.1; HS|WP_010903427.1
HM|WP_015762043.1,HM,WP_015762043.1,HA|WP_004516474.1; HS|WP_012289514.1
HM|WP_015762108.1,HM,WP_015762108.1,HA|WP_004517708.1; HS|WP_010903690.1
HM|WP_015762147.1,HM,WP_015762147.1,HA|WP_004590574.1; HS|WP_010903504.1
HM|WP_015762719.1,HM,WP_015762719.1,HA|WP_004591539.1; HS|WP_010903196.1
HM|WP_015763052.1,HM,WP_015763052.1,HA|WP_004517917.1; HS|WP_012289341.1
HM|WP_015763347.1,HM,WP_015763347.1,HA|WP_004515500.1; HS|WP_205251823.1
HM|WP_015763361.1,HM,WP_015763361.1,HA|WP_004592453.1; HS|WP_010902916.1
HM|WP_015763363.1,HM,WP_015763363.1,HA|WP_004515550.1; HS|WP_010902914.1
HM|WP_015763403.1,HM,WP_015763403.1,HA|WP_004593332.1; HS|WP_012289329.1
HM|WP_015763486.1,HM,WP_015763486.1,HA|WP_004517946.1; HS|WP_010902778.1
HM|WP_015763487.1,HM,WP_015763487.1,HA|WP_004517945.1; HS|WP_010902779.1
HM|WP_015763560.1,HM,WP_015763560.1,HA|WP_004593526.1; HS|WP_010903863.1
HM|WP_015763696.1,HM,WP_015763696.1,HA|WP_004515723.1; HS|WP_010903037.1
HM|WP_015763758.1,HM,WP_015763758.1,HA|WP_008309112.1; HS|WP_010902336.1
HM|WP_015763848.1,HM,WP_015763848.1,HA|WP_014039534.1; HS|WP_205251531.1
HM|WP_015763884.1,HM,WP_015763884.1,HA|WP_004592944.1; HS|WP_205251461.1
HM|WP_015763918.1,HM,WP_015763918.1,HA|WP_004516852.1; HS|WP_012289171.1
HM|WP_015763936.1,HM,WP_015763936.1,HA|WP_050036925.1; HS|WP_205251437.1
HM|WP_018256205.1,HM,WP_018256205.1,HA|WP_004591318.1; HS|WP_010902171.1
HM|WP_018257790.1,HM,WP_018257790.1,HA|WP_008310783.1; HS|WP_010903327.1
HM|WP_018258646.1,HM,WP_018258646.1,HA|WP_004517952.1; HS|WP_010902769.1
HM|WP_018258663.1,HM,WP_018258663.1,HA|WP_004592831.1; HS|WP_010902537.1
HM|WP_049940806.1,HM,WP_049940806.1,HA|WP_004956717.1; HS|WP_010902783.1
HM|WP_153552053.1,HM,WP_153552053.1,HA|WP_420182205.1; HS|WP_010903719.1
HM|WP_153552253.1,HM,WP_153552253.1,HA|WP_008307296.1; HS|WP_012289498.1
HM|WP_153552425.1,HM,WP_153552425.1,HA|WP_004518404.1; HS|WP_010903482.1
HM|WP_153552582.1,HM,WP_153552582.1,HA|WP_151102919.1; HS|WP_010903322.1
HM|WP_153552585.1,HM,WP_153552585.1,HA|WP_050007778.1; HS|WP_205250961.1
HM|WP_153552599.1,HM,WP_153552599.1,HA|WP_014039587.1; HS|WP_010903389.1
HM|WP_153552855.1,HM,WP_153552855.1,HA|WP_008312616.1; HS|WP_205250880.1
HM|WP_153552946.1,HM,WP_153552946.1,HA|WP_014041303.1; HS|WP_010902294.1
HM|WP_153553059.1,HM,WP_153553059.1,HA|WP_014040778.1; HS|WP_010902543.1
HM|WP_153553137.1,HM,WP_153553137.1,HA|WP_005538431.1; HS|WP_010902407.1
HM|WP_153553227.1,HM,WP_153553227.1,HA|WP_014039877.1; HS|WP_010902953.1
HM|WP_153553229.1,HM,WP_153553229.1,HA|WP_014040293.1; HS|WP_205250830.1
HM|WP_153553424.1,HM,WP_153553424.1,HA|WP_004516266.1; HS|WP_012289276.1
HM|WP_153553597.1,HM,WP_153553597.1,HA|WP_014040094.1; HS|WP_010903020.1
HM|WP_153553756.1,HM,WP_153553756.1,HA|WP_008309827.1; HS|WP_010902385.1
HM|WP_153553809.1,HM,WP_153553809.1,HA|WP_014039946.1; HS|WP_235158086.1
HM|WP_153553939.1,HM,WP_153553939.1,HA|WP_129755114.1; HS|WP_205251600.1
HM|WP_153554008.1,HM,WP_153554008.1,HA|WP_014041042.1; HS|WP_010902245.1
HM|WP_153554013.1,HM,WP_153554013.1,HA|WP_008309479.1; HS|WP_010902274.1
HM|WP_153554019.1,HM,WP_153554019.1,HA|WP_004518536.1; HS|WP_205251416.1
HM|WP_153554083.1,HM,WP_153554083.1,HA|WP_050036924.1; HS|WP_010902193.1
HM|WP_153554176.1,HM,WP_153554176.1,HA|WP_004516675.1; HS|WP_010902263.1
HM|WP_153554199.1,HM,WP_153554199.1,HA|WP_014041035.1; HS|WP_012289133.1
HM|WP_153554224.1,HM,WP_153554224.1,HA|WP_014040927.1; HS|WP_205251406.1
HM|WP_153554456.1,HM,WP_153554456.1,HA|WP_004514908.1; HS|WP_010903942.1
HM|WP_153554554.1,HM,WP_153554554.1,HA|WP_004591044.1; HS|WP_010903982.1
HM|WP_153554630.1,HM,WP_153554630.1,HA|WP_004515335.1; HS|WP_012289528.1
HM|WP_153554729.1,HM,WP_153554729.1,HA|WP_008308010.1; HS|WP_010903979.1
HM|WP_170092624.1,HM,WP_170092624.1,HA|WP_050038369.1; HS|WP_136361235.1
HM|WP_170092748.1,HM,WP_170092748.1,HA|WP_050007463.1; HS|WP_205251344.1
HM|WP_170092785.1,HM,WP_170092785.1,HA|WP_050037129.1; HS|WP_010902051.1
HM|WP_170092834.1,HM,WP_170092834.1,HA|WP_058990855.1; HS|WP_010903933.1
HM|WP_170092964.1,HM,WP_170092964.1,HA|WP_420182171.1; HS|WP_205251102.1
HM|WP_170092989.1,HM,WP_170092989.1,HA|WP_014041592.1; HS|WP_010903713.1
HM|WP_170093122.1,HM,WP_170093122.1,HA|WP_014040911.1; HS|WP_010902895.1
HM|WP_170093129.1,HM,WP_170093129.1,HA|WP_129755847.1; HS|WP_205251083.1
HM|WP_170093133.1,HM,WP_170093133.1,HA|WP_008307079.1; HS|WP_205251079.1
HM|WP_170093149.1,HM,WP_170093149.1,HA|WP_005536716.1; HS|WP_010903541.1
HM|WP_170093375.1,HM,WP_170093375.1,HA|WP_420182294.1; HS|WP_205251266.1
HM|WP_170093377.1,HM,WP_170093377.1,HA|WP_008306949.1; HS|WP_136360931.1
HM|WP_170093421.1,HM,WP_170093421.1,HA|WP_050037486.1; HS|WP_205251262.1
HM|WP_170093429.1,HM,WP_170093429.1,HA|WP_008311118.1; HS|WP_012289442.1
HM|WP_170093509.1,HM,WP_170093509.1,HA|WP_151102947.1; HS|WP_012289390.1
HM|WP_170093556.1,HM,WP_170093556.1,HA|WP_014039492.1; HS|WP_010903429.1
HM|WP_170093613.1,HM,WP_170093613.1,HA|WP_014039610.1; HS|WP_010903363.1
HM|WP_170093665.1,HM,WP_170093665.1,HA|WP_008310891.1; HS|WP_010903405.1
HM|WP_170093812.1,HM,WP_170093812.1,HA|WP_050007162.1; HS|WP_010903212.1
HM|WP_170093895.1,HM,WP_170093895.1,HA|WP_014039269.1; HS|WP_010903140.1
HM|WP_170093915.1,HM,WP_170093915.1,HA|WP_008311924.1; HS|WP_136361278.1
HM|WP_170093960.1,HM,WP_170093960.1,HA|WP_014040756.1; HS|WP_010902798.1
HM|WP_170094001.1,HM,WP_170094001.1,HA|WP_151103531.1; HS|WP_235157846.1
HM|WP_170094071.1,HM,WP_170094071.1,HA|WP_064288166.1; HS|WP_010902861.1
HM|WP_170094085.1,HM,WP_170094085.1,HA|WP_005534398.1; HS|WP_012289339.1
HM|WP_170094172.1,HM,WP_170094172.1,HA|WP_420182741.1; HS|WP_205251893.1
HM|WP_170094198.1,HM,WP_170094198.1,HA|WP_004961170.1; HS|WP_205250796.1
HM|WP_170094267.1,HM,WP_170094267.1,HA|WP_023843261.1; HS|WP_136361279.1
HM|WP_170094295.1,HM,WP_170094295.1,HA|WP_175055171.1; HS|WP_136361477.1
HM|WP_170094310.1,HM,WP_170094310.1,HA|WP_004592822.1; HS|WP_010902535.1
HM|WP_170094317.1,HM,WP_170094317.1,HA|WP_050038025.1; HS|WP_010902902.1
HM|WP_170094328.1,HM,WP_170094328.1,HA|WP_004961693.1; HS|WP_205251706.1
HM|WP_170094480.1,HM,WP_170094480.1,HA|WP_064287928.1; HS|WP_205251653.1
HM|WP_170094543.1,HM,WP_170094543.1,HA|WP_014039710.1; HS|WP_345944595.1
HM|WP_170094564.1,HM,WP_170094564.1,HA|WP_050006902.1; HS|WP_205251486.1
HM|WP_170094590.1,HM,WP_170094590.1,HA|WP_004593490.1; HS|WP_010902883.1
HM|WP_170094718.1,HM,WP_170094718.1,HA|WP_420182615.1; HS|WP_010902616.1
