Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HA|WP_008310038.1,HA,WP_008310038.1,HM|WP_170094498.1
HA|WP_008310086.1,HA,WP_008310086.1,HM|WP_170094621.1
HA|WP_008310160.1,HA,WP_008310160.1,HM|WP_372480406.1
HA|WP_008310249.1,HA,WP_008310249.1,HM|WP_170093688.1
HA|WP_008310586.1,HA,WP_008310586.1,HM|WP_206039146.1
HA|WP_008310589.1,HA,WP_008310589.1,HM|WP_170093735.1
HA|WP_008310705.1,HA,WP_008310705.1,HM|WP_170093605.1
HA|WP_008311270.1,HA,WP_008311270.1,HM|WP_372479769.1
HA|WP_008311379.1,HA,WP_008311379.1,HM|WP_170092686.1
HA|WP_008311569.1,HA,WP_008311569.1,HM|WP_372479332.1
HA|WP_008311884.1,HA,WP_008311884.1,HM|WP_372479787.1
HA|WP_008312395.1,HA,WP_008312395.1,HM|WP_170095019.1
HA|WP_008312442.1,HA,WP_008312442.1,HM|WP_170094955.1
HA|WP_008313026.1,HA,WP_008313026.1,HM|WP_372479221.1
HA|WP_008313170.1,HA,WP_008313170.1,HM|WP_372479192.1
HA|WP_008313171.1,HA,WP_008313171.1,HM|WP_015762928.1
HA|WP_008313216.1,HA,WP_008313216.1,HM|WP_153553138.1
HA|WP_008313331.1,HA,WP_008313331.1,HM|WP_170094159.1
HA|WP_008313373.1,HA,WP_008313373.1,HM|WP_372479074.1
HA|WP_014030918.1,HA,WP_014030918.1,HM|WP_372480845.1
HA|WP_014031033.1,HA,WP_014031033.1,HM|WP_372480895.1
HA|WP_014031048.1,HA,WP_014031048.1,HM|WP_372480155.1
HA|WP_014031089.1,HA,WP_014031089.1,HM|WP_153553634.1
HA|WP_014031111.1,HA,WP_014031111.1,HM|WP_240936983.1
HA|WP_014031120.1,HA,WP_014031120.1,HM|WP_153554209.1
HA|WP_014031125.1,HA,WP_014031125.1,HM|WP_170093031.1
HA|WP_014031205.1,HA,WP_014031205.1,HM|WP_170093041.1
HA|WP_014031236.1,HA,WP_014031236.1,HM|WP_372479333.1
HA|WP_014031243.1,HA,WP_014031243.1,HM|WP_346775241.1
HA|WP_014039049.1,HA,WP_014039049.1,HM|WP_372479932.1
HA|WP_014039070.1,HA,WP_014039070.1,HM|WP_018257160.1
HA|WP_014039077.1,HA,WP_014039077.1,HM|WP_372480814.1
HA|WP_014039081.1,HA,WP_014039081.1,HM|WP_170093250.1
HA|WP_014039100.1,HA,WP_014039100.1,HM|WP_170093143.1
HA|WP_014039103.1,HA,WP_014039103.1,HM|WP_372480805.1
HA|WP_014039146.1,HA,WP_014039146.1,HM|WP_170093186.1
HA|WP_014039168.1,HA,WP_014039168.1,HM|WP_170093166.1
HA|WP_014039177.1,HA,WP_014039177.1,HM|WP_153552137.1
HA|WP_014039197.1,HA,WP_014039197.1,HM|WP_372479797.1
HA|WP_014039200.1,HA,WP_014039200.1,HM|WP_170093314.1
HA|WP_014039217.1,HA,WP_014039217.1,HM|WP_012807947.1
HA|WP_014039218.1,HA,WP_014039218.1,HM|WP_153554548.1
HA|WP_014039299.1,HA,WP_014039299.1,HM|WP_372479778.1
HA|WP_014039323.1,HA,WP_014039323.1,HM|WP_153552104.1
HA|WP_014039330.1,HA,WP_014039330.1,HM|WP_372479749.1
HA|WP_014039343.1,HA,WP_014039343.1,HM|WP_372479683.1
HA|WP_014039394.1,HA,WP_014039394.1,HM|WP_372479094.1
HA|WP_014039457.1,HA,WP_014039457.1,HM|WP_372479673.1
HA|WP_014039503.1,HA,WP_014039503.1,HM|WP_208628396.1
HA|WP_014039517.1,HA,WP_014039517.1,HM|WP_208628717.1
HA|WP_014039529.1,HA,WP_014039529.1,HM|WP_372480479.1
HA|WP_014039530.1,HA,WP_014039530.1,HM|WP_153554018.1
HA|WP_014039535.1,HA,WP_014039535.1,HM|WP_346775259.1
HA|WP_014039536.1,HA,WP_014039536.1,HM|WP_372480599.1
HA|WP_014039537.1,HA,WP_014039537.1,HM|WP_372480600.1
HA|WP_014039551.1,HA,WP_014039551.1,HM|WP_372479378.1
HA|WP_014039561.1,HA,WP_014039561.1,HM|WP_018257712.1
HA|WP_014039583.1,HA,WP_014039583.1,HM|WP_153552602.1
HA|WP_014039584.1,HA,WP_014039584.1,HM|WP_372479416.1
HA|WP_014039590.1,HA,WP_014039590.1,HM|WP_372479421.1
HA|WP_014039637.1,HA,WP_014039637.1,HM|WP_372479594.1
HA|WP_014039638.1,HA,WP_014039638.1,HM|WP_372479586.1
HA|WP_014039651.1,HA,WP_014039651.1,HM|WP_372479580.1
HA|WP_014039675.1,HA,WP_014039675.1,HM|WP_170094915.1
HA|WP_014039736.1,HA,WP_014039736.1,HM|WP_015763732.1
HA|WP_014039737.1,HA,WP_014039737.1,HM|WP_372480633.1
HA|WP_014039760.1,HA,WP_014039760.1,HM|WP_372480743.1
HA|WP_014039779.1,HA,WP_014039779.1,HM|WP_372480731.1
HA|WP_014039861.1,HA,WP_014039861.1,HM|WP_170095140.1
HA|WP_014039924.1,HA,WP_014039924.1,HM|WP_372480769.1
HA|WP_014039931.1,HA,WP_014039931.1,HM|WP_170094515.1
HA|WP_014039960.1,HA,WP_014039960.1,HM|WP_170093484.1
HA|WP_014040012.1,HA,WP_014040012.1,HM|WP_015763632.1
HA|WP_014040024.1,HA,WP_014040024.1,HM|WP_153553746.1
HA|WP_014040025.1,HA,WP_014040025.1,HM|WP_372480699.1
HA|WP_014040076.1,HA,WP_014040076.1,HM|WP_372480666.1
HA|WP_014040079.1,HA,WP_014040079.1,HM|WP_372480664.1
HA|WP_014040140.1,HA,WP_014040140.1,HM|WP_170094461.1
HA|WP_014040158.1,HA,WP_014040158.1,HM|WP_372480609.1
HA|WP_014040198.1,HA,WP_014040198.1,HM|WP_208626565.1
HA|WP_014040232.1,HA,WP_014040232.1,HM|WP_153554092.1
HA|WP_014040341.1,HA,WP_014040341.1,HM|WP_018256069.1
HA|WP_014040390.1,HA,WP_014040390.1,HM|WP_170094833.1
HA|WP_014040391.1,HA,WP_014040391.1,HM|WP_170094831.1
HA|WP_014040403.1,HA,WP_014040403.1,HM|WP_372479111.1
HA|WP_014040460.1,HA,WP_014040460.1,HM|WP_170092437.1
HA|WP_014040498.1,HA,WP_014040498.1,HM|WP_372479804.1
HA|WP_014040517.1,HA,WP_014040517.1,HM|WP_372480007.1
HA|WP_014040541.1,HA,WP_014040541.1,HM|WP_372478887.1
HA|WP_014040613.1,HA,WP_014040613.1,HM|WP_372479602.1
HA|WP_014040614.1,HA,WP_014040614.1,HM|WP_372479603.1
HA|WP_014040615.1,HA,WP_014040615.1,HM|WP_372479604.1
HA|WP_014040617.1,HA,WP_014040617.1,HM|WP_372479606.1
HA|WP_014040640.1,HA,WP_014040640.1,HM|WP_164731970.1
HA|WP_014040656.1,HA,WP_014040656.1,HM|WP_208627912.1
HA|WP_014040806.1,HA,WP_014040806.1,HM|WP_372479212.1
HA|WP_014040885.1,HA,WP_014040885.1,HM|WP_372480552.1
HA|WP_014040908.1,HA,WP_014040908.1,HM|WP_170095015.1
HA|WP_014040930.1,HA,WP_014040930.1,HM|WP_170095038.1
HA|WP_014040946.1,HA,WP_014040946.1,HM|WP_153552557.1
HA|WP_014040954.1,HA,WP_014040954.1,HM|WP_170095344.1
HA|WP_014040955.1,HA,WP_014040955.1,HM|WP_015762511.1
HA|WP_014040958.1,HA,WP_014040958.1,HM|WP_372479485.1
HA|WP_014041036.1,HA,WP_014041036.1,HM|WP_170095177.1
HA|WP_014041043.1,HA,WP_014041043.1,HM|WP_372480475.1
HA|WP_014041044.1,HA,WP_014041044.1,HM|WP_170095063.1
HA|WP_014041052.1,HA,WP_014041052.1,HM|WP_372480568.1
HA|WP_014041124.1,HA,WP_014041124.1,HM|WP_372479386.1
HA|WP_014041184.1,HA,WP_014041184.1,HM|WP_153554492.1
HA|WP_014041243.1,HA,WP_014041243.1,HM|WP_372480228.1
HA|WP_014041254.1,HA,WP_014041254.1,HM|WP_153554732.1
HA|WP_014041255.1,HA,WP_014041255.1,HM|WP_372479668.1
HA|WP_014041278.1,HA,WP_014041278.1,HM|WP_372480184.1
HA|WP_014041290.1,HA,WP_014041290.1,HM|WP_372480156.1
HA|WP_014041303.1,HA,WP_014041303.1,HM|WP_153552946.1
HA|WP_014041308.1,HA,WP_014041308.1,HM|WP_372480076.1
HA|WP_014041334.1,HA,WP_014041334.1,HM|WP_153554389.1
HA|WP_014041351.1,HA,WP_014041351.1,HM|WP_170092555.1
HA|WP_014041354.1,HA,WP_014041354.1,HM|WP_372480250.1
HA|WP_014041357.1,HA,WP_014041357.1,HM|WP_170092532.1
HA|WP_014041358.1,HA,WP_014041358.1,HM|WP_153554377.1
HA|WP_014041373.1,HA,WP_014041373.1,HM|WP_170092691.1
HA|WP_014041391.1,HA,WP_014041391.1,HM|WP_170092767.1
HA|WP_014041395.1,HA,WP_014041395.1,HM|WP_372479715.1
HA|WP_014041411.1,HA,WP_014041411.1,HM|WP_372480060.1
HA|WP_014041413.1,HA,WP_014041413.1,HM|WP_372480062.1
HA|WP_014041423.1,HA,WP_014041423.1,HM|WP_170092791.1
HA|WP_014041456.1,HA,WP_014041456.1,HM|WP_170092830.1
HA|WP_014041532.1,HA,WP_014041532.1,HM|WP_153552835.1
HA|WP_014041535.1,HA,WP_014041535.1,HM|WP_170093346.1
HA|WP_014041581.1,HA,WP_014041581.1,HM|WP_372480503.1
HA|WP_014041587.1,HA,WP_014041587.1,HM|WP_372478875.1
HA|WP_014041593.1,HA,WP_014041593.1,HM|WP_372479979.1
HA|WP_014041616.1,HA,WP_014041616.1,HM|WP_372479042.1
HA|WP_014041631.1,HA,WP_014041631.1,HM|WP_372479974.1
HA|WP_014041632.1,HA,WP_014041632.1,HM|WP_372479943.1
HA|WP_014041672.1,HA,WP_014041672.1,HM|WP_372479962.1
HA|WP_014041699.1,HA,WP_014041699.1,HM|WP_015761773.1
HA|WP_023843110.1,HA,WP_023843110.1,HM|WP_372480573.1
HA|WP_023843125.1,HA,WP_023843125.1,HM|WP_153552637.1
HA|WP_023843141.1,HA,WP_023843141.1,HM|WP_372479581.1
HA|WP_023843157.1,HA,WP_023843157.1,HM|WP_015763544.1
HA|WP_023843193.1,HA,WP_023843193.1,HM|WP_372480619.1
HA|WP_023843197.1,HA,WP_023843197.1,HM|WP_170094392.1
HA|WP_023843291.1,HA,WP_023843291.1,HM|WP_170094446.1
HA|WP_023843299.1,HA,WP_023843299.1,HM|WP_153554117.1
HA|WP_023843411.1,HA,WP_023843411.1,HM|WP_153554455.1
HA|WP_023843438.1,HA,WP_023843438.1,HM|WP_170092730.1
HA|WP_023843446.1,HA,WP_023843446.1,HM|WP_206039138.1
HA|WP_023843467.1,HA,WP_023843467.1,HM|WP_170093261.1
HA|WP_044951579.1,HA,WP_044951579.1,HM|WP_372479796.1
HA|WP_044951700.1,HA,WP_044951700.1,HM|WP_015763764.1
HA|WP_044951721.1,HA,WP_044951721.1,HM|WP_372480732.1
HA|WP_044951757.1,HA,WP_044951757.1,HM|WP_153553715.1
HA|WP_044951863.1,HA,WP_044951863.1,HM|WP_170094445.1
HA|WP_044951920.1,HA,WP_044951920.1,HM|WP_170094171.1
HA|WP_044952087.1,HA,WP_044952087.1,HM|WP_208627718.1
HA|WP_050006899.1,HA,WP_050006899.1,HM|WP_170094593.1
HA|WP_050007125.1,HA,WP_050007125.1,HM|WP_208626706.1
HA|WP_050007148.1,HA,WP_050007148.1,HM|WP_170094123.1
HA|WP_050007157.1,HA,WP_050007157.1,HM|WP_372480794.1
HA|WP_050007199.1,HA,WP_050007199.1,HM|WP_170093360.1
HA|WP_050007264.1,HA,WP_050007264.1,HM|WP_372480246.1
HA|WP_050007268.1,HA,WP_050007268.1,HM|WP_372480242.1
HA|WP_050007300.1,HA,WP_050007300.1,HM|WP_372480478.1
HA|WP_050007444.1,HA,WP_050007444.1,HM|WP_372479572.1
HA|WP_050007445.1,HA,WP_050007445.1,HM|WP_372479574.1
HA|WP_050007457.1,HA,WP_050007457.1,HM|WP_372480601.1
HA|WP_050007469.1,HA,WP_050007469.1,HM|WP_372480331.1
HA|WP_050007574.1,HA,WP_050007574.1,HM|WP_170093167.1
HA|WP_050007612.1,HA,WP_050007612.1,HM|WP_170094199.1
HA|WP_050007733.1,HA,WP_050007733.1,HM|WP_372480137.1
HA|WP_050007744.1,HA,WP_050007744.1,HM|WP_170094616.1
HA|WP_050007795.1,HA,WP_050007795.1,HM|WP_018257138.1
HA|WP_050007886.1,HA,WP_050007886.1,HM|WP_372480418.1
HA|WP_050036701.1,HA,WP_050036701.1,HM|WP_372479060.1
HA|WP_050036795.1,HA,WP_050036795.1,HM|WP_372479350.1
HA|WP_050036796.1,HA,WP_050036796.1,HM|WP_170093811.1
HA|WP_050036878.1,HA,WP_050036878.1,HM|WP_170092799.1
HA|WP_050036920.1,HA,WP_050036920.1,HM|WP_170094998.1
HA|WP_050036925.1,HA,WP_050036925.1,HM|WP_015763936.1
HA|WP_050036991.1,HA,WP_050036991.1,HM|WP_372480303.1
HA|WP_050037068.1,HA,WP_050037068.1,HM|WP_170092657.1
HA|WP_050037098.1,HA,WP_050037098.1,HM|WP_153554400.1
HA|WP_050037113.1,HA,WP_050037113.1,HM|WP_372480788.1
HA|WP_050037157.1,HA,WP_050037157.1,HM|WP_372480124.1
HA|WP_050037171.1,HA,WP_050037171.1,HM|WP_372480171.1
HA|WP_050037246.1,HA,WP_050037246.1,HM|WP_170093025.1
HA|WP_050037291.1,HA,WP_050037291.1,HM|WP_372479933.1
HA|WP_050037338.1,HA,WP_050037338.1,HM|WP_372479864.1
HA|WP_050037371.1,HA,WP_050037371.1,HM|WP_372479790.1
HA|WP_050037390.1,HA,WP_050037390.1,HM|WP_372480239.1
HA|WP_050037418.1,HA,WP_050037418.1,HM|WP_153554559.1
HA|WP_050037523.1,HA,WP_050037523.1,HM|WP_372479436.1
HA|WP_050037579.1,HA,WP_050037579.1,HM|WP_372479414.1
HA|WP_050037601.1,HA,WP_050037601.1,HM|WP_372479813.1
HA|WP_050037669.1,HA,WP_050037669.1,HM|WP_153553847.1
HA|WP_050037716.1,HA,WP_050037716.1,HM|WP_372479554.1
HA|WP_050037774.1,HA,WP_050037774.1,HM|WP_153553609.1
HA|WP_050037777.1,HA,WP_050037777.1,HM|WP_372478836.1
HA|WP_050037794.1,HA,WP_050037794.1,HM|WP_170094614.1
HA|WP_050037880.1,HA,WP_050037880.1,HM|WP_170094474.1
HA|WP_050037982.1,HA,WP_050037982.1,HM|WP_015764031.1
HA|WP_050038028.1,HA,WP_050038028.1,HM|WP_208628037.1
HA|WP_050038109.1,HA,WP_050038109.1,HM|WP_372479048.1
HA|WP_050038155.1,HA,WP_050038155.1,HM|WP_372479454.1
HA|WP_050038165.1,HA,WP_050038165.1,HM|WP_170094290.1
HA|WP_050038293.1,HA,WP_050038293.1,HM|WP_372480607.1
HA|WP_050038294.1,HA,WP_050038294.1,HM|WP_372480610.1
HA|WP_050038298.1,HA,WP_050038298.1,HM|WP_372479097.1
HA|WP_050038346.1,HA,WP_050038346.1,HM|WP_372479636.1
HA|WP_050038369.1,HA,WP_050038369.1,HM|WP_170092624.1
HA|WP_050038427.1,HA,WP_050038427.1,HM|WP_170094385.1
HA|WP_058990830.1,HA,WP_058990830.1,HM|WP_372479341.1
HA|WP_064287358.1,HA,WP_064287358.1,HM|WP_372479669.1
HA|WP_064287445.1,HA,WP_064287445.1,HM|WP_372479069.1
HA|WP_064287669.1,HA,WP_064287669.1,HM|WP_170093850.1
HA|WP_064287997.1,HA,WP_064287997.1,HM|WP_153554099.1
HA|WP_064288008.1,HA,WP_064288008.1,HM|WP_208626516.1
HA|WP_064288051.1,HA,WP_064288051.1,HM|WP_372479123.1
HA|WP_064288361.1,HA,WP_064288361.1,HM|WP_170095108.1
HA|WP_064288423.1,HA,WP_064288423.1,HM|WP_372480649.1
HA|WP_064288551.1,HA,WP_064288551.1,HM|WP_170093094.1
HA|WP_064288843.1,HA,WP_064288843.1,HM|WP_372480536.1
HA|WP_079980840.1,HA,WP_079980840.1,HM|WP_170093994.1
HA|WP_127014031.1,HA,WP_127014031.1,HM|WP_153552326.1
HA|WP_129754957.1,HA,WP_129754957.1,HM|WP_372480646.1
HA|WP_129754994.1,HA,WP_129754994.1,HM|WP_372480618.1
HA|WP_129755167.1,HA,WP_129755167.1,HM|WP_372478998.1
HA|WP_129755314.1,HA,WP_129755314.1,HM|WP_208628154.1
HA|WP_129755427.1,HA,WP_129755427.1,HM|WP_372480793.1
HA|WP_129755628.1,HA,WP_129755628.1,HM|WP_170092819.1
HA|WP_129755721.1,HA,WP_129755721.1,HM|WP_153552834.1
HA|WP_129755764.1,HA,WP_129755764.1,HM|WP_372479015.1
HA|WP_129755962.1,HA,WP_129755962.1,HM|WP_372479657.1
HA|WP_146416999.1,HA,WP_146416999.1,HM|WP_372479388.1
HA|WP_146417049.1,HA,WP_146417049.1,HM|WP_372479500.1
HA|WP_146417067.1,HA,WP_146417067.1,HM|WP_372480545.1
HA|WP_146417128.1,HA,WP_146417128.1,HM|WP_372479371.1
HA|WP_146417178.1,HA,WP_146417178.1,HM|WP_170094157.1
HA|WP_146417197.1,HA,WP_146417197.1,HM|WP_372479200.1
HA|WP_146417265.1,HA,WP_146417265.1,HM|WP_372480773.1
HA|WP_146417272.1,HA,WP_146417272.1,HM|WP_170094938.1
HA|WP_146417388.1,HA,WP_146417388.1,HM|WP_372478910.1
HA|WP_146417527.1,HA,WP_146417527.1,HM|WP_372479498.1
HA|WP_146417528.1,HA,WP_146417528.1,HM|WP_372480755.1
HA|WP_146417747.1,HA,WP_146417747.1,HM|WP_372479794.1
HA|WP_146417825.1,HA,WP_146417825.1,HM|WP_372480177.1
HA|WP_146417873.1,HA,WP_146417873.1,HM|WP_170093659.1
HA|WP_146418001.1,HA,WP_146418001.1,HM|WP_372479666.1
HA|WP_146418065.1,HA,WP_146418065.1,HM|WP_372480775.1
HA|WP_146418067.1,HA,WP_146418067.1,HM|WP_372480777.1
HA|WP_151102720.1,HA,WP_151102720.1,HM|WP_372479820.1
HA|WP_151102983.1,HA,WP_151102983.1,HM|WP_372479499.1
HA|WP_151103034.1,HA,WP_151103034.1,HM|WP_153553687.1
HA|WP_151103170.1,HA,WP_151103170.1,HM|WP_170094600.1
HA|WP_151103367.1,HA,WP_151103367.1,HM|WP_170094451.1
HA|WP_151103485.1,HA,WP_151103485.1,HM|WP_372480778.1
HA|WP_151103496.1,HA,WP_151103496.1,HM|WP_372478974.1
HA|WP_151103533.1,HA,WP_151103533.1,HM|WP_170093999.1
HA|WP_151103674.1,HA,WP_151103674.1,HM|WP_372480525.1
HA|WP_151103677.1,HA,WP_151103677.1,HM|WP_372480392.1
HA|WP_151103715.1,HA,WP_151103715.1,HM|WP_372480290.1
HA|WP_151103719.1,HA,WP_151103719.1,HM|WP_153554324.1
HA|WP_151103770.1,HA,WP_151103770.1,HM|WP_372480327.1
HA|WP_151104116.1,HA,WP_151104116.1,HM|WP_372478964.1
HA|WP_151104196.1,HA,WP_151104196.1,HM|WP_372480875.1
HA|WP_151144593.1,HA,WP_151144593.1,HM|WP_015762209.1
HA|WP_151144627.1,HA,WP_151144627.1,HM|WP_372479773.1
HA|WP_151145171.1,HA,WP_151145171.1,HM|WP_153553078.1
HA|WP_151146376.1,HA,WP_151146376.1,HM|WP_372480561.1
HA|WP_151146403.1,HA,WP_151146403.1,HM|WP_372480470.1
HA|WP_151146958.1,HA,WP_151146958.1,HM|WP_372479598.1
HA|WP_151148362.1,HA,WP_151148362.1,HM|WP_372480928.1
HA|WP_165896937.1,HA,WP_165896937.1,HM|WP_372480639.1
HA|WP_170832126.1,HA,WP_170832126.1,HM|WP_372480121.1
HA|WP_191449424.1,HA,WP_191449424.1,HM|WP_208627157.1
HA|WP_191449883.1,HA,WP_191449883.1,HM|WP_372479071.1
HA|WP_191449902.1,HA,WP_191449902.1,HM|WP_372479381.1
HA|WP_191449942.1,HA,WP_191449942.1,HM|WP_372479466.1
HA|WP_191450542.1,HA,WP_191450542.1,HM|WP_372479878.1
HA|WP_191906037.1,HA,WP_191906037.1,HM|WP_208626051.1
HA|WP_336330452.1,HA,WP_336330452.1,HM|WP_372478967.1
HA|WP_336330484.1,HA,WP_336330484.1,HM|WP_372480164.1
HA|WP_369802671.1,HA,WP_369802671.1,HM|WP_372478906.1
HA|WP_420181770.1,HA,WP_420181770.1,HM|WP_372479017.1
HA|WP_420181786.1,HA,WP_420181786.1,HM|WP_015763355.1
HA|WP_420181792.1,HA,WP_420181792.1,HM|WP_372480781.1
HA|WP_420181793.1,HA,WP_420181793.1,HM|WP_372480780.1
HA|WP_420181799.1,HA,WP_420181799.1,HM|WP_372479601.1
HA|WP_420181800.1,HA,WP_420181800.1,HM|WP_372479073.1
HA|WP_420181802.1,HA,WP_420181802.1,HM|WP_170094152.1
HA|WP_420181819.1,HA,WP_420181819.1,HM|WP_372479185.1
HA|WP_420181829.1,HA,WP_420181829.1,HM|WP_372480817.1
HA|WP_420181845.1,HA,WP_420181845.1,HM|WP_372479226.1
HA|WP_420181848.1,HA,WP_420181848.1,HM|WP_372479233.1
HA|WP_420181865.1,HA,WP_420181865.1,HM|WP_372479343.1
HA|WP_420181875.1,HA,WP_420181875.1,HM|WP_049940794.1
HA|WP_420181892.1,HA,WP_420181892.1,HM|WP_372480371.1
HA|WP_420181914.1,HA,WP_420181914.1,HM|WP_170095201.1
HA|WP_420181935.1,HA,WP_420181935.1,HM|WP_372480489.1
HA|WP_420181944.1,HA,WP_420181944.1,HM|WP_372480500.1
HA|WP_420181956.1,HA,WP_420181956.1,HM|WP_170094439.1
HA|WP_420181957.1,HA,WP_420181957.1,HM|WP_372479244.1
HA|WP_420181958.1,HA,WP_420181958.1,HM|WP_170093590.1
HA|WP_420181973.1,HA,WP_420181973.1,HM|WP_372480302.1
HA|WP_420181987.1,HA,WP_420181987.1,HM|WP_372480304.1
HA|WP_420182020.1,HA,WP_420182020.1,HM|WP_372480082.1
HA|WP_420182027.1,HA,WP_420182027.1,HM|WP_372480204.1
HA|WP_420182030.1,HA,WP_420182030.1,HM|WP_170092602.1
HA|WP_420182032.1,HA,WP_420182032.1,HM|WP_372480289.1
HA|WP_420182033.1,HA,WP_420182033.1,HM|WP_170092679.1
HA|WP_420182059.1,HA,WP_420182059.1,HM|WP_153554563.1
HA|WP_420182060.1,HA,WP_420182060.1,HM|WP_372480144.1
HA|WP_420182111.1,HA,WP_420182111.1,HM|WP_372478871.1
HA|WP_420182117.1,HA,WP_420182117.1,HM|WP_372480106.1
HA|WP_420182122.1,HA,WP_420182122.1,HM|WP_372480727.1
HA|WP_420182162.1,HA,WP_420182162.1,HM|WP_372479687.1
HA|WP_420182170.1,HA,WP_420182170.1,HM|WP_372480005.1
HA|WP_420182231.1,HA,WP_420182231.1,HM|WP_208627560.1
HA|WP_420182252.1,HA,WP_420182252.1,HM|WP_170093040.1
HA|WP_420182256.1,HA,WP_420182256.1,HM|WP_372479818.1
HA|WP_420182266.1,HA,WP_420182266.1,HM|WP_372479829.1
