Protein_ID,Organism,Original_ID,RBH_Partner_IDs
HS|WP_010902654.1,HS,WP_010902654.1,None
HS|WP_010902660.1,HS,WP_010902660.1,None
HS|WP_010902669.1,HS,WP_010902669.1,None
HS|WP_010902674.1,HS,WP_010902674.1,None
HS|WP_010902677.1,HS,WP_010902677.1,None
HS|WP_010902696.1,HS,WP_010902696.1,None
HS|WP_010902717.1,HS,WP_010902717.1,None
HS|WP_010902719.1,HS,WP_010902719.1,None
HS|WP_010902726.1,HS,WP_010902726.1,None
HS|WP_010902741.1,HS,WP_010902741.1,None
HS|WP_010902748.1,HS,WP_010902748.1,None
HS|WP_010902777.1,HS,WP_010902777.1,None
HS|WP_010902797.1,HS,WP_010902797.1,None
HS|WP_010902801.1,HS,WP_010902801.1,None
HS|WP_010902805.1,HS,WP_010902805.1,None
HS|WP_010902810.1,HS,WP_010902810.1,None
HS|WP_010902820.1,HS,WP_010902820.1,None
HS|WP_010902849.1,HS,WP_010902849.1,None
HS|WP_010902855.1,HS,WP_010902855.1,None
HS|WP_010902863.1,HS,WP_010902863.1,None
HS|WP_010902867.1,HS,WP_010902867.1,None
HS|WP_010902868.1,HS,WP_010902868.1,None
HS|WP_010902911.1,HS,WP_010902911.1,None
HS|WP_010902930.1,HS,WP_010902930.1,None
HS|WP_010902932.1,HS,WP_010902932.1,None
HS|WP_010902938.1,HS,WP_010902938.1,None
HS|WP_010902944.1,HS,WP_010902944.1,None
HS|WP_010902956.1,HS,WP_010902956.1,None
HS|WP_010902988.1,HS,WP_010902988.1,None
HS|WP_010903008.1,HS,WP_010903008.1,None
HS|WP_010903011.1,HS,WP_010903011.1,None
HS|WP_010903016.1,HS,WP_010903016.1,None
HS|WP_010903019.1,HS,WP_010903019.1,None
HS|WP_010903046.1,HS,WP_010903046.1,None
HS|WP_010903047.1,HS,WP_010903047.1,None
HS|WP_010903065.1,HS,WP_010903065.1,None
HS|WP_010903070.1,HS,WP_010903070.1,None
HS|WP_010903083.1,HS,WP_010903083.1,None
HS|WP_010903085.1,HS,WP_010903085.1,None
HS|WP_010903086.1,HS,WP_010903086.1,None
HS|WP_010903087.1,HS,WP_010903087.1,None
HS|WP_010903088.1,HS,WP_010903088.1,None
HS|WP_010903106.1,HS,WP_010903106.1,None
HS|WP_010903120.1,HS,WP_010903120.1,None
HS|WP_010903161.1,HS,WP_010903161.1,None
HS|WP_010903164.1,HS,WP_010903164.1,None
HS|WP_010903178.1,HS,WP_010903178.1,None
HS|WP_010903187.1,HS,WP_010903187.1,None
HS|WP_010903198.1,HS,WP_010903198.1,None
HS|WP_010903207.1,HS,WP_010903207.1,None
HS|WP_010903213.1,HS,WP_010903213.1,None
HS|WP_010903218.1,HS,WP_010903218.1,None
HS|WP_010903232.1,HS,WP_010903232.1,None
HS|WP_010903260.1,HS,WP_010903260.1,None
HS|WP_010903262.1,HS,WP_010903262.1,None
HS|WP_010903267.1,HS,WP_010903267.1,None
HS|WP_010903270.1,HS,WP_010903270.1,None
HS|WP_010903275.1,HS,WP_010903275.1,None
HS|WP_010903278.1,HS,WP_010903278.1,None
HS|WP_010903299.1,HS,WP_010903299.1,None
HS|WP_010903306.1,HS,WP_010903306.1,None
HS|WP_010903309.1,HS,WP_010903309.1,None
HS|WP_010903317.1,HS,WP_010903317.1,None
HS|WP_010903321.1,HS,WP_010903321.1,None
HS|WP_010903330.1,HS,WP_010903330.1,None
HS|WP_010903335.1,HS,WP_010903335.1,None
HS|WP_010903365.1,HS,WP_010903365.1,None
HS|WP_010903375.1,HS,WP_010903375.1,None
HS|WP_010903384.1,HS,WP_010903384.1,None
HS|WP_010903401.1,HS,WP_010903401.1,None
HS|WP_010903440.1,HS,WP_010903440.1,None
HS|WP_010903468.1,HS,WP_010903468.1,None
HS|WP_010903470.1,HS,WP_010903470.1,None
HS|WP_010903478.1,HS,WP_010903478.1,None
HS|WP_010903491.1,HS,WP_010903491.1,None
HS|WP_010903497.1,HS,WP_010903497.1,None
HS|WP_010903511.1,HS,WP_010903511.1,None
HS|WP_010903519.1,HS,WP_010903519.1,None
HS|WP_010903522.1,HS,WP_010903522.1,None
HS|WP_010903530.1,HS,WP_010903530.1,None
HS|WP_010903550.1,HS,WP_010903550.1,None
HS|WP_010903553.1,HS,WP_010903553.1,None
HS|WP_010903559.1,HS,WP_010903559.1,None
HS|WP_010903563.1,HS,WP_010903563.1,None
HS|WP_010903573.1,HS,WP_010903573.1,None
HS|WP_010903574.1,HS,WP_010903574.1,None
HS|WP_010903585.1,HS,WP_010903585.1,None
HS|WP_010903603.1,HS,WP_010903603.1,None
HS|WP_010903623.1,HS,WP_010903623.1,None
HS|WP_010903624.1,HS,WP_010903624.1,None
HS|WP_010903626.1,HS,WP_010903626.1,None
HS|WP_010903630.1,HS,WP_010903630.1,None
HS|WP_010903655.1,HS,WP_010903655.1,None
HS|WP_010903670.1,HS,WP_010903670.1,None
HS|WP_010903674.1,HS,WP_010903674.1,None
HS|WP_010903680.1,HS,WP_010903680.1,None
HS|WP_010903693.1,HS,WP_010903693.1,None
HS|WP_010903714.1,HS,WP_010903714.1,None
HS|WP_010903717.1,HS,WP_010903717.1,None
HS|WP_010903768.1,HS,WP_010903768.1,None
HS|WP_010903777.1,HS,WP_010903777.1,None
HS|WP_010903785.1,HS,WP_010903785.1,None
HS|WP_010903801.1,HS,WP_010903801.1,None
HS|WP_010903804.1,HS,WP_010903804.1,None
HS|WP_010903818.1,HS,WP_010903818.1,None
HS|WP_010903825.1,HS,WP_010903825.1,None
HS|WP_010903828.1,HS,WP_010903828.1,None
HS|WP_010903834.1,HS,WP_010903834.1,None
HS|WP_010903837.1,HS,WP_010903837.1,None
HS|WP_010903839.1,HS,WP_010903839.1,None
HS|WP_010903846.1,HS,WP_010903846.1,None
HS|WP_010903860.1,HS,WP_010903860.1,None
HS|WP_010903874.1,HS,WP_010903874.1,None
HS|WP_010903884.1,HS,WP_010903884.1,None
HS|WP_010903897.1,HS,WP_010903897.1,None
HS|WP_010903907.1,HS,WP_010903907.1,None
HS|WP_010903909.1,HS,WP_010903909.1,None
HS|WP_010903919.1,HS,WP_010903919.1,None
HS|WP_010903925.1,HS,WP_010903925.1,None
HS|WP_010903928.1,HS,WP_010903928.1,None
HS|WP_010903929.1,HS,WP_010903929.1,None
HS|WP_010903931.1,HS,WP_010903931.1,None
HS|WP_010903934.1,HS,WP_010903934.1,None
HS|WP_010903936.1,HS,WP_010903936.1,None
HS|WP_010903938.1,HS,WP_010903938.1,None
HS|WP_010903944.1,HS,WP_010903944.1,None
HS|WP_010903945.1,HS,WP_010903945.1,None
HS|WP_010903950.1,HS,WP_010903950.1,None
HS|WP_010903954.1,HS,WP_010903954.1,None
HS|WP_010903966.1,HS,WP_010903966.1,None
HS|WP_010903968.1,HS,WP_010903968.1,None
HS|WP_010903970.1,HS,WP_010903970.1,None
HS|WP_010903977.1,HS,WP_010903977.1,None
HS|WP_010903999.1,HS,WP_010903999.1,None
HS|WP_010904031.1,HS,WP_010904031.1,None
HS|WP_010904032.1,HS,WP_010904032.1,None
HS|WP_010904033.1,HS,WP_010904033.1,None
HS|WP_010904034.1,HS,WP_010904034.1,None
HS|WP_010904037.1,HS,WP_010904037.1,None
HS|WP_010904041.1,HS,WP_010904041.1,None
HS|WP_010904043.1,HS,WP_010904043.1,None
HS|WP_010904044.1,HS,WP_010904044.1,None
HS|WP_010904068.1,HS,WP_010904068.1,None
HS|WP_010904073.1,HS,WP_010904073.1,None
HS|WP_010904081.1,HS,WP_010904081.1,None
HS|WP_010904098.1,HS,WP_010904098.1,None
HS|WP_010904100.1,HS,WP_010904100.1,None
HS|WP_010904111.1,HS,WP_010904111.1,None
HS|WP_010904115.1,HS,WP_010904115.1,None
HS|WP_010904130.1,HS,WP_010904130.1,None
HS|WP_010904166.1,HS,WP_010904166.1,None
HS|WP_010904167.1,HS,WP_010904167.1,None
HS|WP_010904170.1,HS,WP_010904170.1,None
HS|WP_010904172.1,HS,WP_010904172.1,None
HS|WP_012289109.1,HS,WP_012289109.1,None
HS|WP_012289120.1,HS,WP_012289120.1,None
HS|WP_012289126.1,HS,WP_012289126.1,None
HS|WP_012289129.1,HS,WP_012289129.1,None
HS|WP_012289137.1,HS,WP_012289137.1,None
HS|WP_012289138.1,HS,WP_012289138.1,None
HS|WP_012289147.1,HS,WP_012289147.1,None
HS|WP_012289149.1,HS,WP_012289149.1,None
HS|WP_012289172.1,HS,WP_012289172.1,None
HS|WP_012289178.1,HS,WP_012289178.1,None
HS|WP_012289181.1,HS,WP_012289181.1,None
HS|WP_012289184.1,HS,WP_012289184.1,None
HS|WP_012289206.1,HS,WP_012289206.1,None
HS|WP_012289213.1,HS,WP_012289213.1,None
HS|WP_012289215.1,HS,WP_012289215.1,None
HS|WP_012289221.1,HS,WP_012289221.1,None
HS|WP_012289224.1,HS,WP_012289224.1,None
HS|WP_012289243.1,HS,WP_012289243.1,None
HS|WP_012289244.1,HS,WP_012289244.1,None
HS|WP_012289268.1,HS,WP_012289268.1,None
HS|WP_012289270.1,HS,WP_012289270.1,None
HS|WP_012289271.1,HS,WP_012289271.1,None
HS|WP_012289275.1,HS,WP_012289275.1,None
HS|WP_012289278.1,HS,WP_012289278.1,None
HS|WP_012289284.1,HS,WP_012289284.1,None
HS|WP_012289285.1,HS,WP_012289285.1,None
HS|WP_012289291.1,HS,WP_012289291.1,None
HS|WP_012289308.1,HS,WP_012289308.1,None
HS|WP_012289310.1,HS,WP_012289310.1,None
HS|WP_012289318.1,HS,WP_012289318.1,None
HS|WP_012289323.1,HS,WP_012289323.1,None
HS|WP_012289336.1,HS,WP_012289336.1,None
HS|WP_012289345.1,HS,WP_012289345.1,None
HS|WP_012289378.1,HS,WP_012289378.1,None
HS|WP_012289391.1,HS,WP_012289391.1,None
HS|WP_012289403.1,HS,WP_012289403.1,None
HS|WP_012289406.1,HS,WP_012289406.1,None
HS|WP_012289417.1,HS,WP_012289417.1,None
HS|WP_012289421.1,HS,WP_012289421.1,None
HS|WP_012289430.1,HS,WP_012289430.1,None
HS|WP_012289443.1,HS,WP_012289443.1,None
HS|WP_012289467.1,HS,WP_012289467.1,None
HS|WP_012289475.1,HS,WP_012289475.1,None
HS|WP_012289479.1,HS,WP_012289479.1,None
HS|WP_012289483.1,HS,WP_012289483.1,None
HS|WP_012289487.1,HS,WP_012289487.1,None
HS|WP_012289488.1,HS,WP_012289488.1,None
HS|WP_012289489.1,HS,WP_012289489.1,None
HS|WP_012289491.1,HS,WP_012289491.1,None
HS|WP_012289510.1,HS,WP_012289510.1,None
HS|WP_012289516.1,HS,WP_012289516.1,None
HS|WP_012289517.1,HS,WP_012289517.1,None
HS|WP_012289521.1,HS,WP_012289521.1,None
HS|WP_012289522.1,HS,WP_012289522.1,None
HS|WP_012289527.1,HS,WP_012289527.1,None
HS|WP_012289609.1,HS,WP_012289609.1,None
HS|WP_012289611.1,HS,WP_012289611.1,None
HS|WP_012289612.1,HS,WP_012289612.1,None
HS|WP_012289614.1,HS,WP_012289614.1,None
HS|WP_012289625.1,HS,WP_012289625.1,None
HS|WP_012289627.1,HS,WP_012289627.1,None
HS|WP_012289645.1,HS,WP_012289645.1,None
HS|WP_012289705.1,HS,WP_012289705.1,None
HS|WP_012289706.1,HS,WP_012289706.1,None
HS|WP_012289712.1,HS,WP_012289712.1,None
HS|WP_012289717.1,HS,WP_012289717.1,None
HS|WP_012289723.1,HS,WP_012289723.1,None
HS|WP_012289724.1,HS,WP_012289724.1,None
HS|WP_012289727.1,HS,WP_012289727.1,None
HS|WP_012289729.1,HS,WP_012289729.1,None
HS|WP_049892487.1,HS,WP_049892487.1,None
HS|WP_049892492.1,HS,WP_049892492.1,None
HS|WP_049892500.1,HS,WP_049892500.1,None
HS|WP_049892503.1,HS,WP_049892503.1,None
HS|WP_049892509.1,HS,WP_049892509.1,None
HS|WP_049892518.1,HS,WP_049892518.1,None
HS|WP_049892519.1,HS,WP_049892519.1,None
HS|WP_049892524.1,HS,WP_049892524.1,None
HS|WP_049892570.1,HS,WP_049892570.1,None
HS|WP_049892579.1,HS,WP_049892579.1,None
HS|WP_049892723.1,HS,WP_049892723.1,None
HS|WP_049892725.1,HS,WP_049892725.1,None
HS|WP_049892758.1,HS,WP_049892758.1,None
HS|WP_049892760.1,HS,WP_049892760.1,None
HS|WP_049892762.1,HS,WP_049892762.1,None
HS|WP_049892765.1,HS,WP_049892765.1,None
HS|WP_049892767.1,HS,WP_049892767.1,None
HS|WP_049892769.1,HS,WP_049892769.1,None
HS|WP_049892772.1,HS,WP_049892772.1,None
HS|WP_049892774.1,HS,WP_049892774.1,None
HS|WP_049892776.1,HS,WP_049892776.1,None
HS|WP_070807656.1,HS,WP_070807656.1,None
HS|WP_070807657.1,HS,WP_070807657.1,None
HS|WP_070807660.1,HS,WP_070807660.1,None
HS|WP_070807663.1,HS,WP_070807663.1,None
HS|WP_081422751.1,HS,WP_081422751.1,None
HS|WP_136360920.1,HS,WP_136360920.1,None
HS|WP_136361002.1,HS,WP_136361002.1,None
HS|WP_136361056.1,HS,WP_136361056.1,None
HS|WP_136361057.1,HS,WP_136361057.1,None
HS|WP_136361063.1,HS,WP_136361063.1,None
HS|WP_136361073.1,HS,WP_136361073.1,None
HS|WP_136361093.1,HS,WP_136361093.1,None
HS|WP_136361097.1,HS,WP_136361097.1,None
HS|WP_136361129.1,HS,WP_136361129.1,None
HS|WP_136361213.1,HS,WP_136361213.1,None
HS|WP_136361214.1,HS,WP_136361214.1,None
HS|WP_136361216.1,HS,WP_136361216.1,None
HS|WP_136361217.1,HS,WP_136361217.1,None
HS|WP_136361220.1,HS,WP_136361220.1,None
HS|WP_136361222.1,HS,WP_136361222.1,None
HS|WP_136361223.1,HS,WP_136361223.1,None
HS|WP_136361236.1,HS,WP_136361236.1,None
HS|WP_136361284.1,HS,WP_136361284.1,None
HS|WP_136361293.1,HS,WP_136361293.1,None
HS|WP_136361296.1,HS,WP_136361296.1,None
HS|WP_136361303.1,HS,WP_136361303.1,None
HS|WP_136361314.1,HS,WP_136361314.1,None
HS|WP_136361388.1,HS,WP_136361388.1,None
HS|WP_136361389.1,HS,WP_136361389.1,None
HS|WP_136361412.1,HS,WP_136361412.1,None
HS|WP_136361415.1,HS,WP_136361415.1,None
HS|WP_136361422.1,HS,WP_136361422.1,None
HS|WP_136361430.1,HS,WP_136361430.1,None
HS|WP_136361471.1,HS,WP_136361471.1,None
HS|WP_136361476.1,HS,WP_136361476.1,None
HS|WP_136361626.1,HS,WP_136361626.1,None
HS|WP_136361634.1,HS,WP_136361634.1,None
HS|WP_136361707.1,HS,WP_136361707.1,None
HS|WP_136361708.1,HS,WP_136361708.1,None
HS|WP_136361709.1,HS,WP_136361709.1,None
HS|WP_136361711.1,HS,WP_136361711.1,None
HS|WP_136361712.1,HS,WP_136361712.1,None
HS|WP_136361716.1,HS,WP_136361716.1,None
HS|WP_136361717.1,HS,WP_136361717.1,None
HS|WP_136361718.1,HS,WP_136361718.1,None
HS|WP_136361719.1,HS,WP_136361719.1,None
HS|WP_136361720.1,HS,WP_136361720.1,None
HS|WP_136361721.1,HS,WP_136361721.1,None
HS|WP_136361722.1,HS,WP_136361722.1,None
HS|WP_136361723.1,HS,WP_136361723.1,None
HS|WP_136361726.1,HS,WP_136361726.1,None
HS|WP_136361728.1,HS,WP_136361728.1,None
HS|WP_136361730.1,HS,WP_136361730.1,None
HS|WP_136361731.1,HS,WP_136361731.1,None
HS|WP_148265493.1,HS,WP_148265493.1,None
HS|WP_148265513.1,HS,WP_148265513.1,None
HS|WP_157849916.1,HS,WP_157849916.1,None
HS|WP_157849923.1,HS,WP_157849923.1,None
HS|WP_157849924.1,HS,WP_157849924.1,None
HS|WP_168731179.1,HS,WP_168731179.1,None
HS|WP_168731180.1,HS,WP_168731180.1,None
HS|WP_168731181.1,HS,WP_168731181.1,None
HS|WP_168731182.1,HS,WP_168731182.1,None
HS|WP_168731183.1,HS,WP_168731183.1,None
HS|WP_168731186.1,HS,WP_168731186.1,None
HS|WP_173362412.1,HS,WP_173362412.1,None
HS|WP_176705160.1,HS,WP_176705160.1,None
HS|WP_176705165.1,HS,WP_176705165.1,None
HS|WP_176705175.1,HS,WP_176705175.1,None
HS|WP_176705203.1,HS,WP_176705203.1,None
HS|WP_176705348.1,HS,WP_176705348.1,None
HS|WP_205250659.1,HS,WP_205250659.1,None
HS|WP_205250660.1,HS,WP_205250660.1,None
HS|WP_205250661.1,HS,WP_205250661.1,None
HS|WP_205250668.1,HS,WP_205250668.1,None
HS|WP_205250670.1,HS,WP_205250670.1,None
HS|WP_205250678.1,HS,WP_205250678.1,None
HS|WP_205250679.1,HS,WP_205250679.1,None
HS|WP_205250681.1,HS,WP_205250681.1,None
HS|WP_205250683.1,HS,WP_205250683.1,None
HS|WP_205250686.1,HS,WP_205250686.1,None
HS|WP_205250687.1,HS,WP_205250687.1,None
HS|WP_205250692.1,HS,WP_205250692.1,None
HS|WP_205250693.1,HS,WP_205250693.1,None
HS|WP_205250694.1,HS,WP_205250694.1,None
HS|WP_205250695.1,HS,WP_205250695.1,None
HS|WP_205250696.1,HS,WP_205250696.1,None
HS|WP_205250699.1,HS,WP_205250699.1,None
HS|WP_205250700.1,HS,WP_205250700.1,None
HS|WP_205250708.1,HS,WP_205250708.1,None
HS|WP_205250713.1,HS,WP_205250713.1,None
HS|WP_205250715.1,HS,WP_205250715.1,None
HS|WP_205250716.1,HS,WP_205250716.1,None
HS|WP_205250717.1,HS,WP_205250717.1,None
HS|WP_205250723.1,HS,WP_205250723.1,None
HS|WP_205250724.1,HS,WP_205250724.1,None
HS|WP_205250762.1,HS,WP_205250762.1,None
HS|WP_205250771.1,HS,WP_205250771.1,None
HS|WP_205250774.1,HS,WP_205250774.1,None
HS|WP_205250777.1,HS,WP_205250777.1,None
HS|WP_205250787.1,HS,WP_205250787.1,None
HS|WP_205250790.1,HS,WP_205250790.1,None
HS|WP_205250792.1,HS,WP_205250792.1,None
HS|WP_205250795.1,HS,WP_205250795.1,None
HS|WP_205250797.1,HS,WP_205250797.1,None
HS|WP_205250798.1,HS,WP_205250798.1,None
HS|WP_205250799.1,HS,WP_205250799.1,None
HS|WP_205250805.1,HS,WP_205250805.1,None
HS|WP_205250808.1,HS,WP_205250808.1,None
HS|WP_205250811.1,HS,WP_205250811.1,None
HS|WP_205250813.1,HS,WP_205250813.1,None
HS|WP_205250815.1,HS,WP_205250815.1,None
HS|WP_205250822.1,HS,WP_205250822.1,None
HS|WP_205250823.1,HS,WP_205250823.1,None
HS|WP_205250826.1,HS,WP_205250826.1,None
HS|WP_205250828.1,HS,WP_205250828.1,None
HS|WP_205250829.1,HS,WP_205250829.1,None
HS|WP_205250833.1,HS,WP_205250833.1,None
HS|WP_205250836.1,HS,WP_205250836.1,None
HS|WP_205250837.1,HS,WP_205250837.1,None
HS|WP_205250838.1,HS,WP_205250838.1,None
HS|WP_205250839.1,HS,WP_205250839.1,None
HS|WP_205250840.1,HS,WP_205250840.1,None
HS|WP_205250842.1,HS,WP_205250842.1,None
HS|WP_205250850.1,HS,WP_205250850.1,None
HS|WP_205250852.1,HS,WP_205250852.1,None
HS|WP_205250853.1,HS,WP_205250853.1,None
HS|WP_205250858.1,HS,WP_205250858.1,None
HS|WP_205250863.1,HS,WP_205250863.1,None
HS|WP_205250866.1,HS,WP_205250866.1,None
HS|WP_205250871.1,HS,WP_205250871.1,None
HS|WP_205250876.1,HS,WP_205250876.1,None
HS|WP_205250881.1,HS,WP_205250881.1,None
HS|WP_205250893.1,HS,WP_205250893.1,None
HS|WP_205250896.1,HS,WP_205250896.1,None
HS|WP_205250897.1,HS,WP_205250897.1,None
HS|WP_205250903.1,HS,WP_205250903.1,None
HS|WP_205250904.1,HS,WP_205250904.1,None
HS|WP_205250906.1,HS,WP_205250906.1,None
HS|WP_205250908.1,HS,WP_205250908.1,None
HS|WP_205250909.1,HS,WP_205250909.1,None
HS|WP_205250910.1,HS,WP_205250910.1,None
HS|WP_205250912.1,HS,WP_205250912.1,None
HS|WP_205250913.1,HS,WP_205250913.1,None
HS|WP_205250915.1,HS,WP_205250915.1,None
HS|WP_205250916.1,HS,WP_205250916.1,None
HS|WP_205250918.1,HS,WP_205250918.1,None
HS|WP_205250923.1,HS,WP_205250923.1,None
HS|WP_205250924.1,HS,WP_205250924.1,None
HS|WP_205250927.1,HS,WP_205250927.1,None
HS|WP_205250930.1,HS,WP_205250930.1,None
HS|WP_205250931.1,HS,WP_205250931.1,None
HS|WP_205250932.1,HS,WP_205250932.1,None
HS|WP_205250934.1,HS,WP_205250934.1,None
HS|WP_205250937.1,HS,WP_205250937.1,None
HS|WP_205250942.1,HS,WP_205250942.1,None
HS|WP_205250943.1,HS,WP_205250943.1,None
HS|WP_205250945.1,HS,WP_205250945.1,None
HS|WP_205250948.1,HS,WP_205250948.1,None
HS|WP_205250954.1,HS,WP_205250954.1,None
HS|WP_205250956.1,HS,WP_205250956.1,None
HS|WP_205250957.1,HS,WP_205250957.1,None
HS|WP_205250960.1,HS,WP_205250960.1,None
HS|WP_205250963.1,HS,WP_205250963.1,None
HS|WP_205250964.1,HS,WP_205250964.1,None
HS|WP_205250965.1,HS,WP_205250965.1,None
HS|WP_205250966.1,HS,WP_205250966.1,None
HS|WP_205250969.1,HS,WP_205250969.1,None
HS|WP_205250973.1,HS,WP_205250973.1,None
HS|WP_205250981.1,HS,WP_205250981.1,None
HS|WP_205250985.1,HS,WP_205250985.1,None
HS|WP_205250996.1,HS,WP_205250996.1,None
HS|WP_205251004.1,HS,WP_205251004.1,None
HS|WP_205251005.1,HS,WP_205251005.1,None
HS|WP_205251007.1,HS,WP_205251007.1,None
HS|WP_205251009.1,HS,WP_205251009.1,None
HS|WP_205251012.1,HS,WP_205251012.1,None
HS|WP_205251015.1,HS,WP_205251015.1,None
HS|WP_205251017.1,HS,WP_205251017.1,None
HS|WP_205251018.1,HS,WP_205251018.1,None
HS|WP_205251019.1,HS,WP_205251019.1,None
HS|WP_205251023.1,HS,WP_205251023.1,None
HS|WP_205251024.1,HS,WP_205251024.1,None
HS|WP_205251028.1,HS,WP_205251028.1,None
HS|WP_205251029.1,HS,WP_205251029.1,None
HS|WP_205251031.1,HS,WP_205251031.1,None
HS|WP_205251032.1,HS,WP_205251032.1,None
HS|WP_205251033.1,HS,WP_205251033.1,None
HS|WP_205251036.1,HS,WP_205251036.1,None
HS|WP_205251037.1,HS,WP_205251037.1,None
HS|WP_205251042.1,HS,WP_205251042.1,None
HS|WP_205251043.1,HS,WP_205251043.1,None
HS|WP_205251044.1,HS,WP_205251044.1,None
HS|WP_205251045.1,HS,WP_205251045.1,None
HS|WP_205251047.1,HS,WP_205251047.1,None
HS|WP_205251049.1,HS,WP_205251049.1,None
HS|WP_205251053.1,HS,WP_205251053.1,None
HS|WP_205251054.1,HS,WP_205251054.1,None
HS|WP_205251057.1,HS,WP_205251057.1,None
HS|WP_205251058.1,HS,WP_205251058.1,None
HS|WP_205251061.1,HS,WP_205251061.1,None
HS|WP_205251063.1,HS,WP_205251063.1,None
HS|WP_205251065.1,HS,WP_205251065.1,None
HS|WP_205251066.1,HS,WP_205251066.1,None
HS|WP_205251067.1,HS,WP_205251067.1,None
HS|WP_205251069.1,HS,WP_205251069.1,None
HS|WP_205251071.1,HS,WP_205251071.1,None
HS|WP_205251072.1,HS,WP_205251072.1,None
HS|WP_205251073.1,HS,WP_205251073.1,None
HS|WP_205251074.1,HS,WP_205251074.1,None
HS|WP_205251075.1,HS,WP_205251075.1,None
HS|WP_205251077.1,HS,WP_205251077.1,None
HS|WP_205251080.1,HS,WP_205251080.1,None
HS|WP_205251086.1,HS,WP_205251086.1,None
HS|WP_205251087.1,HS,WP_205251087.1,None
HS|WP_205251088.1,HS,WP_205251088.1,None
